Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XX(T),899,IP-10,Cuprizone,56.76,33.25916667
XX(T),846,IP-10,Cuprizone,58.34,33.25916667
XX(T),845,IP-10,Cuprizone,46.83,33.25916667
XY(T),854,IP-10,Normal,32.16,33.25916667
XY(T),863,IP-10,Normal,29.79,33.25916667
XY(T),891,IP-10,Normal,25.57,33.25916667
XY(T),887,IP-10,Normal,26.42,33.25916667
XY(T),869,IP-10,Cuprizone,20.46,33.25916667
XY(T),901,IP-10,Cuprizone,34.85,33.25916667
XY(T),900,IP-10,Cuprizone,27.27,33.25916667
XY(T),948,IP-10,Cuprizone,28.4,33.25916667
XX(O),878,KC,Normal,4.25,5.985
XX(O),881,KC,Normal,3.4,5.985
XX(O),784,KC,Normal,18.26,5.985
XX(O),837,KC,Cuprizone,12.13,5.985
XX(O),803,KC,Cuprizone,9.25,5.985
XX(O),815,KC,Cuprizone,10.09,5.985
XX(O),871,KC,Cuprizone,7.96,5.985
XX(O),874,KC,Cuprizone,7.52,5.985
XY(O),859,KC,Normal,7.96,5.985
XY(O),839,KC,Normal,5.7,5.985
XY(O),895,KC,Normal,10.51,5.985
XY(O),882,KC,Cuprizone,9.25,5.985
XY(O),896,KC,Cuprizone,7.96,5.985
XY(O),866,KC,Cuprizone,7.08,5.985
XY(O),819,KC,Cuprizone,7.3,5.985
XX(T),832,KC,Normal,3.4,5.985
XX(T),902,KC,Normal,4.74,5.985
XX(T),899,KC,Cuprizone,3.4,5.985
XX(T),846,KC,Cuprizone,6.63,5.985
XX(T),845,KC,Cuprizone,6.85,5.985
XY(T),854,KC,Normal,3.4,5.985
XY(T),863,KC,Normal,3.4,5.985
XY(T),891,KC,Normal,3.4,5.985
XY(T),887,KC,Normal,3.4,5.985
XY(T),869,KC,Cuprizone,3.4,5.985
XY(T),901,KC,Cuprizone,3.74,5.985
XY(T),900,KC,Cuprizone,4.25,5.985
XY(T),948,KC,Cuprizone,3.4,5.985
XX(O),878,MCP-1,Normal,5.19,16.46916667
XX(O),881,MCP-1,Normal,5.19,16.46916667
XX(O),784,MCP-1,Normal,18.13,16.46916667
XX(O),837,MCP-1,Cuprizone,27.83,16.46916667
XX(O),803,MCP-1,Cuprizone,18.13,16.46916667
XX(O),815,MCP-1,Cuprizone,33.43,16.46916667
XX(O),871,MCP-1,Cuprizone,21.24,16.46916667
XX(O),874,MCP-1,Cuprizone,18.13,16.46916667
XY(O),859,MCP-1,Normal,24.03,16.46916667
XY(O),839,MCP-1,Normal,33.43,16.46916667
XY(O),895,MCP-1,Normal,44.7,16.46916667
XY(O),882,MCP-1,Cuprizone,48.83,16.46916667
XY(O),896,MCP-1,Cuprizone,43.85,16.46916667
XY(O),866,MCP-1,Cuprizone,19.73,16.46916667
XY(O),819,MCP-1,Cuprizone,18.13,16.46916667
XX(T),832,MCP-1,Normal,5.19,16.46916667
XX(T),902,MCP-1,Normal,26.61,16.46916667
XX(T),899,MCP-1,Cuprizone,18.13,16.46916667
XX(T),846,MCP-1,Cuprizone,29.01,16.46916667
XX(T),845,MCP-1,Cuprizone,21.24,16.46916667
XY(T),854,MCP-1,Normal,14.58,16.46916667
XY(T),863,MCP-1,Normal,5.19,16.46916667
XY(T),891,MCP-1,Normal,5.19,16.46916667
XY(T),887,MCP-1,Normal,10.2,16.46916667
XY(T),869,MCP-1,Cuprizone,5.19,16.46916667
XY(T),901,MCP-1,Cuprizone,5.19,16.46916667
XY(T),900,MCP-1,Cuprizone,5.19,16.46916667
XY(T),948,MCP-1,Cuprizone,24.03,16.46916667
XX(O),878,MIP1a,Normal,24.44,36.11416667
XX(O),881,MIP1a,Normal,17.25,36.11416667
XX(O),784,MIP1a,Normal,32.5,36.11416667
XX(O),837,MIP1a,Cuprizone,38,36.11416667
XX(O),803,MIP1a,Cuprizone,31.91,36.11416667
XX(O),815,MIP1a,Cuprizone,41.91,36.11416667
XX(O),871,MIP1a,Cuprizone,33.67,36.11416667
XX(O),874,MIP1a,Cuprizone,41.91,36.11416667
XY(O),859,MIP1a,Normal,44.19,36.11416667
XY(O),839,MIP1a,Normal,41.44,36.11416667
XY(O),895,MIP1a,Normal,42.38,36.11416667
XY(O),882,MIP1a,Cuprizone,54.97,36.11416667
XY(O),896,MIP1a,Cuprizone,58.49,36.11416667
XY(O),866,MIP1a,Cuprizone,35.9,36.11416667
XY(O),819,MIP1a,Cuprizone,29.4,36.11416667
XX(T),832,MIP1a,Normal,27.38,36.11416667
XX(T),902,MIP1a,Normal,62.46,36.11416667
XX(T),899,MIP1a,Cuprizone,35.9,36.11416667
XX(T),846,MIP1a,Cuprizone,51.23,36.11416667
XX(T),845,MIP1a,Cuprizone,32.5,36.11416667
XY(T),854,MIP1a,Normal,35.9,36.11416667
XY(T),863,MIP1a,Normal,34.8,36.11416667
XY(T),891,MIP1a,Normal,33.67,36.11416667
XY(T),887,MIP1a,Normal,36.96,36.11416667
XY(T),869,MIP1a,Cuprizone,37.49,36.11416667
XY(T),901,MIP1a,Cuprizone,30.04,36.11416667
XY(T),900,MIP1a,Cuprizone,25.95,36.11416667
XY(T),948,MIP1a,Cuprizone,49.66,36.11416667
XX(O),878,MIP1b,Normal,14.29,11.1125
XX(O),881,MIP1b,Normal,8.98,11.1125
XX(O),784,MIP1b,Normal,4.24,11.1125
XX(O),837,MIP1b,Cuprizone,28.87,11.1125
XX(O),803,MIP1b,Cuprizone,39.29,11.1125
XX(O),815,MIP1b,Cuprizone,39.99,11.1125
XX(O),871,MIP1b,Cuprizone,28.87,11.1125
XX(O),874,MIP1b,Cuprizone,28.4,11.1125
XY(O),859,MIP1b,Normal,22.67,11.1125
XY(O),839,MIP1b,Normal,23.81,11.1125
XY(O),895,MIP1b,Normal,27.92,11.1125
XY(O),882,MIP1b,Cuprizone,22.67,11.1125
XY(O),896,MIP1b,Cuprizone,32.4,11.1125
XY(O),866,MIP1b,Cuprizone,18.91,11.1125
XY(O),819,MIP1b,Cuprizone,35.22,11.1125
XX(T),832,MIP1b,Normal,4.24,11.1125
XX(T),902,MIP1b,Normal,4.24,11.1125
XX(T),899,MIP1b,Cuprizone,14.29,11.1125
XX(T),846,MIP1b,Cuprizone,21.48,11.1125
XX(T),845,MIP1b,Cuprizone,21.48,11.1125
XY(T),854,MIP1b,Normal,4.24,11.1125
XY(T),863,MIP1b,Normal,10.24,11.1125
XY(T),891,MIP1b,Normal,4.24,11.1125
XY(T),887,MIP1b,Normal,4.24,11.1125
XY(T),869,MIP1b,Cuprizone,4.24,11.1125
XY(T),901,MIP1b,Cuprizone,4.24,11.1125
XY(T),900,MIP1b,Cuprizone,4.24,11.1125
XY(T),948,MIP1b,Cuprizone,4.24,11.1125
XX(O),878,MCSF,Normal,12.28,6.0475
XX(O),881,MCSF,Normal,8.49,6.0475
XX(O),784,MCSF,Normal,3.04,6.0475
XX(O),837,MCSF,Cuprizone,10.42,6.0475
XX(O),803,MCSF,Cuprizone,12.28,6.0475
XX(O),815,MCSF,Cuprizone,7.5,6.0475
XX(O),871,MCSF,Cuprizone,4.36,6.0475
XX(O),874,MCSF,Cuprizone,4.36,6.0475
XY(O),859,MCSF,Normal,8.49,6.0475
XY(O),839,MCSF,Normal,10.42,6.0475
XY(O),895,MCSF,Normal,10.89,6.0475
XY(O),882,MCSF,Cuprizone,6.49,6.0475
XY(O),896,MCSF,Cuprizone,12.28,6.0475
XY(O),866,MCSF,Cuprizone,3.04,6.0475
XY(O),819,MCSF,Cuprizone,5.44,6.0475
