"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"395","XXO",251,"IP10","Cuprizone",134.22,44.34428571,3.0267710450398,1.59777954907414
"396","XXO",235,"IP10","Cuprizone",25.32,44.34428571,0.570986759502367,-0.808470803277789
"397","XXO",236,"IP10","Cuprizone",24.35,44.34428571,0.549112464213374,-0.864826435736426
"402","XXT",243,"IP10","Cuprizone",243.81,44.34428571,5.49811539629826,2.4589371869382
"403","XXT",246,"IP10","Cuprizone",142,44.34428571,3.20221642374945,1.67907081657328
"408","XYO",248,"IP10","Cuprizone",29.2,44.34428571,0.658483940658337,-0.602779838938751
"409","XYO",249,"IP10","Cuprizone",107.75,44.34428571,2.42985084266904,1.28086775615769
"410","XYO",250,"IP10","Cuprizone",92.48,44.34428571,2.08549982301654,1.06039318979455
"414","XYT",257,"IP10","Cuprizone",66.42,44.34428571,1.49782545679886,0.582869514796578
"415","XYT",242,"IP10","Cuprizone",155.82,44.34428571,3.51386875456788,1.81306030669343
"416","XYT",948,"IP10","Cuprizone",76.94,44.34428571,1.73506008199495,0.794985621590484
"420","XXO",247,"KC","Cuprizone",12.56,12.715,0.987809673613842,-0.0176949977984792
"421","XXO",251,"KC","Cuprizone",12.56,12.715,0.987809673613842,-0.0176949977984792
"422","XXO",235,"KC","Cuprizone",9.7,12.715,0.762878489972473,-0.390474809615616
"423","XXO",236,"KC","Cuprizone",5.97,12.715,0.469524184034605,-1.0907286254253
"428","XXT",243,"KC","Cuprizone",23.92,12.715,1.88124262681872,0.911685927507999
"429","XXT",246,"KC","Cuprizone",14.9,12.715,1.17184427841133,0.228780868659418
"434","XYO",248,"KC","Cuprizone",7.52,12.715,0.591427447896186,-0.757726895012469
"435","XYO",249,"KC","Cuprizone",13.14,12.715,1.03342508847818,0.0474338136322235
"436","XYO",250,"KC","Cuprizone",9.7,12.715,0.762878489972473,-0.390474809615616
"440","XYT",257,"KC","Cuprizone",16.68,12.715,1.31183641368462,0.391587826754557
"441","XYT",242,"KC","Cuprizone",11.98,12.715,0.942194258749508,-0.0859035539013206
"442","XYT",948,"KC","Cuprizone",13.14,12.715,1.03342508847818,0.0474338136322235
"446","XXO",247,"MCP1","Cuprizone",18.31,12.12785714,1.50974733529884,0.594307126628667
"447","XXO",251,"MCP1","Cuprizone",15,12.12785714,1.23682195682592,0.306637836214573
"448","XXO",235,"MCP1","Cuprizone",5.75,12.12785714,0.474115083449936,-1.07669080333693
