Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XYO,234,IL12p40,Ctrl,4.04,5.62
XYO,237,IL12p40,Ctrl,13.06,5.62
XYO,248,IL12p40,Cuprizone,9.9,5.62
XYO,249,IL12p40,Cuprizone,6.74,5.62
XYO,250,IL12p40,Cuprizone,4.94,5.62
XYT,253,IL12p40,Ctrl,3.59,5.62
XYT,258,IL12p40,Ctrl,6.29,5.62
XYT,887,IL12p40,Ctrl,8.09,5.62
XYT,257,IL12p40,Cuprizone,4.94,5.62
XYT,242,IL12p40,Cuprizone,4.04,5.62
XYT,948,IL12p40,Cuprizone,4.04,5.62
XXO,229,IL12p70,Ctrl,13.16,11.05785714
XXO,231,IL12p70,Ctrl,2,11.05785714
XXO,233,IL12p70,Ctrl,14.33,11.05785714
XXO,247,IL12p70,Cuprizone,95.2,11.05785714
XXO,251,IL12p70,Cuprizone,10.89,11.05785714
XXO,235,IL12p70,Cuprizone,8.72,11.05785714
XXO,236,IL12p70,Cuprizone,7.69,11.05785714
XXT,240,IL12p70,Ctrl,20.35,11.05785714
XXT,241,IL12p70,Ctrl,8.72,11.05785714
XXT,252,IL12p70,Ctrl,8.72,11.05785714
XXT,254,IL12p70,Ctrl,16.7,11.05785714
XXT,243,IL12p70,Cuprizone,13.16,11.05785714
XXT,246,IL12p70,Cuprizone,10.89,11.05785714
XYO,238,IL12p70,Ctrl,9.8,11.05785714
XYO,230,IL12p70,Ctrl,9.8,11.05785714
XYO,234,IL12p70,Ctrl,5.72,11.05785714
XYO,237,IL12p70,Ctrl,6.68,11.05785714
XYO,248,IL12p70,Cuprizone,8.72,11.05785714
XYO,249,IL12p70,Cuprizone,13.16,11.05785714
XYO,250,IL12p70,Cuprizone,9.8,11.05785714
XYT,253,IL12p70,Ctrl,7.69,11.05785714
XYT,258,IL12p70,Ctrl,12.02,11.05785714
XYT,887,IL12p70,Ctrl,19.12,11.05785714
XYT,257,IL12p70,Cuprizone,8.72,11.05785714
XYT,242,IL12p70,Cuprizone,12.02,11.05785714
XYT,948,IL12p70,Cuprizone,9.8,11.05785714
XXO,229,LIX,Ctrl,19.79,17.20428571
XXO,231,LIX,Ctrl,1.58,17.20428571
XXO,233,LIX,Ctrl,27.38,17.20428571
XXO,247,LIX,Cuprizone,74.88,17.20428571
XXO,251,LIX,Cuprizone,12.34,17.20428571
XXO,235,LIX,Cuprizone,1.58,17.20428571
XXO,236,LIX,Cuprizone,1.58,17.20428571
XXT,240,LIX,Ctrl,42.64,17.20428571
XXT,241,LIX,Ctrl,3.18,17.20428571
XXT,252,LIX,Ctrl,1.58,17.20428571
XXT,254,LIX,Ctrl,50.21,17.20428571
XXT,243,LIX,Cuprizone,27.38,17.20428571
XXT,246,LIX,Cuprizone,19.79,17.20428571
XYO,238,LIX,Ctrl,1.58,17.20428571
XYO,230,LIX,Ctrl,7.58,17.20428571
XYO,234,LIX,Ctrl,3.18,17.20428571
XYO,237,LIX,Ctrl,19.79,17.20428571
XYO,248,LIX,Cuprizone,17.28,17.20428571
XYO,249,LIX,Cuprizone,35.02,17.20428571
XYO,250,LIX,Cuprizone,19.79,17.20428571
XYT,253,LIX,Ctrl,7.58,17.20428571
XYT,258,LIX,Ctrl,22.31,17.20428571
XYT,887,LIX,Ctrl,32.48,17.20428571
XYT,257,LIX,Cuprizone,14.8,17.20428571
XYT,242,LIX,Cuprizone,17.28,17.20428571
XYT,948,LIX,Cuprizone,14.8,17.20428571
XXO,229,IL15,Ctrl,110.4,58.335
XXO,231,IL15,Ctrl,33.63,58.335
XXO,233,IL15,Ctrl,54.02,58.335
XXO,247,IL15,Cuprizone,93.71,58.335
XXO,251,IL15,Cuprizone,59.13,58.335
XXO,235,IL15,Cuprizone,51.47,58.335
XXO,236,IL15,Cuprizone,50.19,58.335
XXT,240,IL15,Ctrl,89.86,58.335
XXT,241,IL15,Ctrl,54.02,58.335
XXT,252,IL15,Ctrl,47.64,58.335
XXT,254,IL15,Ctrl,60.41,58.335
XXT,243,IL15,Cuprizone,48.91,58.335
XXT,246,IL15,Cuprizone,46.36,58.335
XYO,238,IL15,Ctrl,66.8,58.335
XYO,230,IL15,Ctrl,52.74,58.335
XYO,234,IL15,Ctrl,31.08,58.335
XYO,237,IL15,Ctrl,55.3,58.335
XYO,248,IL15,Cuprizone,42.54,58.335
XYO,249,IL15,Cuprizone,54.02,58.335
XYO,250,IL15,Cuprizone,48.91,58.335
XYT,253,IL15,Ctrl,52.74,58.335
XYT,258,IL15,Ctrl,62.96,58.335
XYT,887,IL15,Ctrl,45.09,58.335
XYT,257,IL15,Cuprizone,62.96,58.335
