,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Rragc,3699.168439,0.203813848,0.032639263,6.243611742,4.28E-10,1.76E-08
Exoc5,1581.0144,0.203901059,0.049268719,4.137709072,3.51E-05,0.000488955
Gm5141,17.31724334,0.204202133,0.213987857,0.953056387,0.340561502,0.633716969
Gm11560,145.5312183,0.204349976,0.126181958,1.617206512,0.105833711,0.316285781
Fcnaos,2.272149596,0.204424766,0.145971914,1.184244044,0.236316472,NA
Col14a1,13.12339921,0.20457571,0.211014531,1.010853413,0.312086594,0.603489597
mt-Rnr1,3346.172735,0.20460259,0.072546326,2.820159643,0.004799976,0.031508388
5730409E04Rik,288.6554775,0.204605257,0.097846518,2.094892355,0.036180563,0.150457056
6530402F18Rik,55.38032764,0.204692978,0.180001752,1.105964195,0.268742017,0.55605956
Ttc3,927.6045253,0.204725459,0.05849464,3.497402686,0.000469812,0.004622206
Gabra2,1.604965874,0.204728954,0.128245213,1.787767927,0.073813457,NA
Gm10419,4.741762373,0.205005069,0.175266344,0.964759718,0.334665176,0.626889138
Mir8103,1.726855881,0.205031163,0.125640122,1.504734879,0.132392252,NA
Slc10a3,280.533185,0.205047117,0.098685514,2.074633836,0.038020484,0.15581928
Gm13669,10.69748689,0.20510682,0.212053354,0.932979465,0.350830571,0.64296357
Cldn34c1,22.71742512,0.205156575,0.208361665,0.945793803,0.344253767,0.637499659
Selenok,1117.047772,0.205180292,0.055858506,3.675584388,0.000237306,0.002567315
Atp6v1c1,5018.760464,0.205205851,0.030037436,6.830214749,8.48E-12,4.36E-10
Fut11,424.7904408,0.205312609,0.092906464,2.217860484,0.026564347,0.120347013
Ipp,85.83024034,0.205314425,0.161341125,1.266933324,0.205179132,0.475109829
Adamts1,3722.118045,0.20533395,0.038962643,5.267289331,1.38E-07,3.50E-06
Porcn,37.91689299,0.20538389,0.198551342,1.053151403,0.292271607,0.582197825
Ptprn,105.0991161,0.205424171,0.15713468,1.306729725,0.19130452,0.456633609
Ccdc112,45.66853149,0.205519107,0.191933513,1.081618248,0.279422193,0.569755729
Prkab2,159.6404854,0.205533454,0.127910129,1.613323568,0.106674229,0.318031907
Gm5617,105.3832119,0.205778784,0.147847595,1.384078131,0.166334532,0.421584618
Timm10,222.4781927,0.205839401,0.111617147,1.837646325,0.066114538,0.231752785
Cmtm4,1011.396255,0.205877798,0.055736725,3.695648885,0.000219326,0.002404092
Ccdc93,1371.107439,0.205888585,0.059343688,3.469510952,0.000521407,0.005045698
Ahcyl2,1682.716448,0.205906605,0.042703439,4.821934515,1.42E-06,2.81E-05
Gipc2,5.132962702,0.205948771,0.180592105,0.964476409,0.33480713,0.626913432
Gnrh1,5.902702663,0.205968947,0.180172254,1.558227293,0.119179377,0.341681695
Gm37850,2.417053645,0.206000672,0.136356124,2.459471628,0.01391417,NA
Tox2,17.33470956,0.206136385,0.213966207,1.063635996,0.287493629,0.578182231
Hectd3,1020.540814,0.206315874,0.056498712,3.651204359,0.000261013,0.002800167
Hist1h2bc,1047.31106,0.206385178,0.063888258,3.235536362,0.001214144,0.010197926
Ivd,1553.909866,0.206480136,0.045428112,4.543765279,5.53E-06,9.38E-05
Creb3l2,492.2962578,0.206505087,0.079053663,2.613330233,0.008966462,0.052142515
Vkorc1,40.56035162,0.206590163,0.190668317,1.077743248,0.281148352,0.571514363
BC048403,199.6571633,0.206691547,0.112259443,1.833952393,0.066661061,0.233060937
Gm8941,1.907623545,0.206734254,0.133377476,0.974444349,0.329835958,NA
Foxf2,6.95908825,0.20674253,0.186166315,1.15162656,0.249474562,0.532513833
Msh6,234.5031437,0.206747024,0.107174271,1.931174116,0.053461524,0.199306414
A430108G06Rik,8.382081351,0.206761195,0.204235092,0.988941703,0.322691665,0.614279143
