,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Skap2,3185.525778,0.003324495,0.034590968,0.09631253,0.92327236,0.979723714
Aff4,1617.665963,0.003341073,0.051748629,0.064843134,0.948298898,0.986675728
Cpt1a,4254.8921,0.003342067,0.034378699,0.096903805,0.922802787,0.979483981
Gm16286,1925.979514,0.003359147,0.04299568,0.077927042,0.937886088,0.984888081
Xpo7,949.621434,0.003396747,0.057454076,0.0595052,0.952549724,0.988892738
Sgk3,866.7943626,0.003459966,0.065672127,0.053598589,0.957254981,0.988931203
Gm13408,26.86248878,0.003493102,0.204809694,0.015889444,0.987322591,0.997523148
Gmpr2,215.449737,0.003522724,0.11457068,0.030665982,0.975535921,0.99418932
Ube2i,2305.825701,0.003534107,0.03968137,0.089127257,0.928980775,0.98113386
Chd2,787.7239472,0.003536263,0.066806305,0.053328484,0.957470185,0.989018549
Map10,36.26010998,0.003563984,0.19688735,0.01993559,0.984094754,0.996721105
Phf5a,446.4777605,0.003565005,0.101029361,0.035314122,0.971829263,0.992907712
Zfp143,329.2574925,0.003569617,0.089772637,0.039492982,0.968497349,0.991189414
Arl6ip6,266.3949739,0.00357559,0.098868666,0.036759341,0.970676893,0.992257587
Huwe1,2705.651908,0.003640285,0.079794865,0.045615531,0.96361669,0.990449901
Zfx,586.1364909,0.003642456,0.072533706,0.050281422,0.959898128,0.989806028
Snx9,1695.424298,0.003651206,0.042618447,0.085813769,0.931614461,0.982525223
Zdhhc6,688.9354809,0.00365484,0.066731707,0.054586874,0.956467596,0.988910306
Ubr5,1877.923108,0.003676282,0.048936177,0.07511137,0.940126101,0.985085373
Med28,793.225535,0.003684142,0.061697878,0.059293592,0.952718265,0.988892738
Gm43428,0.699661227,0.003699571,0.075824795,0.041190973,0.96714365,NA
Kpna1,1382.309951,0.003720156,0.049034348,0.075973001,0.939440579,0.985085373
Lrrc8a,113.4810213,0.00374265,0.142276719,0.027217153,0.978286534,0.994692091
Pip4k2c,1573.116845,0.003775447,0.045647295,0.08251276,0.934238972,0.983878894
D030055H07Rik,1.833487816,0.003820696,0.123202287,0.028375163,0.977362934,NA
Nphp1,134.7437648,0.003824736,0.129664198,0.02762901,0.977958044,0.994692091
Slc9b1,1.370455743,0.003826103,0.100371853,0.043349982,0.965422549,NA
Coro1b,5007.289907,0.003867881,0.03237971,0.119542345,0.904845694,0.974838752
Bicd2,1897.258847,0.003871531,0.043028243,0.090043949,0.92825229,0.980636731
Asb7,227.1509781,0.00387607,0.111824254,0.034807329,0.972233376,0.9931514
Usp31,512.1749596,0.003890308,0.073184427,0.05287955,0.957827878,0.989076164
