X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_F
Invs,190.8199517,-0.343065003,0.116627088,-2.942108578,0.003259856,0.046031416,Invs
BE692007,100.9995802,-0.343309234,0.16123199,-2.113524899,0.034555866,0.241118249,BE692007
A930007I19Rik,180.6011717,-0.344104686,0.114859344,-2.98648329,0.002822063,0.041180744,A930007I19Rik
Tmem138,84.1236099,-0.345344492,0.157055835,-2.183018248,0.029034466,0.216052041,Tmem138
Slc37a1,65.66663023,-0.346193743,0.168920708,-2.055703616,0.039811093,0.26174858,Slc37a1
9630013A20Rik,3.6108003,-0.350042648,0.159931633,-2.711058432,0.006706881,NA,9630013A20Rik
Depdc7,98.86186839,-0.352640211,0.165679003,-2.147157648,0.031780733,0.22937934,Depdc7
Nt5dc2,930.6256012,-0.355011916,0.066650107,-5.328653161,9.89E-08,6.36E-06,Nt5dc2
Kif20a,68.5390248,-0.355073633,0.172795718,-2.11645338,0.034306266,0.24001565,Kif20a
Slc7a15,9.141824069,-0.361108434,0.197930508,-2.038584203,0.041491543,NA,Slc7a15
Rmi2,55.86497759,-0.364682898,0.175934963,-2.094706471,0.036197094,0.246970601,Rmi2
Gm3571,89.01783744,-0.36536814,0.184992896,-2.154882429,0.031171036,0.22695778,Gm3571
Adnp,102.6647978,-0.36552,0.155600724,-2.355197225,0.018512877,0.159077207,Adnp
Zfp488,3.813646614,-0.365704854,0.169303839,-2.313760949,0.020680839,NA,Zfp488
Gm13071,5.319146729,-0.366366233,0.187870553,-2.135526899,0.032717995,NA,Gm13071
Nlrx1,168.268382,-0.366569829,0.12781197,-2.879404805,0.003984266,0.053832413,Nlrx1
Nt5e,104.5603142,-0.367900497,0.142938914,-2.565695281,0.010296924,0.106833646,Nt5e
Nipal4,2.526263661,-0.370865357,0.147637339,-2.181515527,0.029145307,NA,Nipal4
1700020L24Rik,3.28950803,-0.373527013,0.162573498,-2.376932461,0.017457284,NA,1700020L24Rik
Plekhg1,221.3157748,-0.376159829,0.109016316,-3.438960363,0.000583953,0.011998845,Plekhg1
Anks1b,49.47648899,-0.376247307,0.187760394,-2.03885145,0.041464856,0.266089847,Anks1b
Gm23722,5.282273141,-0.378772725,0.186142938,-2.038135929,0.041536341,NA,Gm23722
Ncaph,109.3435798,-0.381155635,0.156064627,-2.485375459,0.012941486,0.123714999,Ncaph
Insc,3.468135475,-0.387671814,0.163209074,-1.964744595,0.049443806,NA,Insc
Pcdh17,33.51610162,-0.388641007,0.208670628,-1.994865336,0.046057569,0.281166043,Pcdh17
Gm43029,5.622976974,-0.395617507,0.182933531,-2.168222732,0.030141744,NA,Gm43029
Gm36501,7.512459167,-0.396938812,0.201652216,-1.964464841,0.04947621,NA,Gm36501
Inpp4b,153.3301034,-0.397332993,0.132741666,-3.006601645,0.002641857,0.039519288,Inpp4b
Gm17029,6.600530341,-0.398886786,0.193317501,-2.006537473,0.044798935,NA,Gm17029
Gm29609,4.585451946,-0.40194439,0.179606466,-2.080174937,0.03750949,NA,Gm29609
G430095P16Rik,5.380793777,-0.402937669,0.185632323,-2.551332869,0.010731178,NA,G430095P16Rik
Rfc4,59.00241309,-0.403294824,0.180210757,-2.277913593,0.022731726,0.183554111,Rfc4
Ctse,16.91751268,-0.403506467,0.213353355,-2.184194754,0.02894794,0.215775773,Ctse
Gm6421,46.77295349,-0.406562556,0.191469486,-2.180373508,0.029229786,0.216889648,Gm6421
Gm10282,456.914418,-0.407221275,0.138488968,-2.935201031,0.003333317,0.046840328,Gm10282
Zfp422-ps,9.814670992,-0.407772128,0.203303376,-2.126280355,0.033479923,NA,Zfp422-ps
Aldh1l2,25.92267366,-0.408168534,0.210689298,-2.087200534,0.036870011,0.249733071,Aldh1l2
Prkcz,11.13793528,-0.408193094,0.211292519,-2.017525045,0.04364075,NA,Prkcz
AC122217.3,34.23216016,-0.409235468,0.20442158,-2.046375488,0.040719442,0.264939209,AC122217.3
1700010I14Rik,49.35001519,-0.412401089,0.187395029,-2.208449272,0.02721297,0.207204395,1700010I14Rik
Chadl,19.49959444,-0.412450107,0.212103454,-1.996274652,0.045904036,0.280562725,Chadl
Gm4691,9.972189247,-0.414343969,0.20787569,-2.033667353,0.041985146,NA,Gm4691
Spsb1,261.3322818,-0.414509948,0.091988278,-4.489046604,7.15E-06,0.000280711,Spsb1
Aldh1l1,224.3211714,-0.415180395,0.136617051,-3.11647609,0.001830265,0.029635742,Aldh1l1
Nsl1,52.62289048,-0.419143038,0.187153045,-2.284086938,0.022366422,0.181623995,Nsl1
Gpr84,182.4414849,-0.422967418,0.128378656,-3.299619327,0.000968161,0.018072331,Gpr84
Foxm1,85.49816284,-0.425200625,0.167696251,-2.62819168,0.008584013,0.093972354,Foxm1
Ercc6l,34.95780059,-0.427674238,0.201483843,-2.237125207,0.025278158,0.197287064,Ercc6l
Fanca,168.7225149,-0.427767618,0.113887042,-3.741772137,0.000182727,0.004604724,Fanca
Gm13127,15.71036401,-0.432467149,0.213909501,-2.043818816,0.04097145,0.265315183,Gm13127
Gm4739,19.97938998,-0.432707982,0.213002446,-2.089160021,0.036693321,0.249263493,Gm4739
Carns1,17.37568086,-0.4342456,0.213285364,-2.009969047,0.044434465,0.275740645,Carns1
Akr1c12,19.97409969,-0.435634655,0.212468912,-1.990161034,0.046573199,0.282913483,Akr1c12
6530409C15Rik,10.3552473,-0.435910988,0.208837284,-1.964470373,0.049475569,NA,6530409C15Rik
Gm12669,15.42435005,-0.435979427,0.213921873,-1.99799523,0.045717177,0.280269333,Gm12669
Plxna3,83.97423736,-0.436799208,0.15863142,-2.784341517,0.005363653,0.067258664,Plxna3
Plxnb3,31.84933968,-0.437169171,0.206086085,-2.238167861,0.025210111,0.197259077,Plxnb3
Arhgap15,66.92537261,-0.437907437,0.181874472,-2.518370456,0.011789924,0.116074508,Arhgap15
Pecam1,6.100034586,-0.440339382,0.193728123,-2.153591497,0.031272222,NA,Pecam1
Gpr15,11.20641403,-0.445846007,0.210348183,-2.089582388,0.03665533,NA,Gpr15
Cx3cr1,842.9271751,-0.445886875,0.158733741,-3.329150788,0.000871112,0.016640022,Cx3cr1
Gm37123,13.87090725,-0.446440174,0.213708576,-2.118434511,0.034138286,0.239607979,Gm37123
Sirpb1b,50.67480844,-0.44876679,0.187267378,-2.410806829,0.015917276,0.14198774,Sirpb1b
Gm49484,7.91354333,-0.45004824,0.20646441,-2.051648327,0.040203852,NA,Gm49484
Robo1,4.803453974,-0.451132645,0.182293651,-2.082879394,0.037262218,NA,Robo1
Taf4b,43.22301514,-0.451770555,0.199877016,-2.305307132,0.021149378,0.174302802,Taf4b
Fam110b,58.97808702,-0.452776931,0.172237426,-2.602853921,0.009245134,0.098735315,Fam110b
Nos1,2.358583728,-0.454447899,0.145061408,-2.1314038,0.03305589,NA,Nos1
9330182L06Rik,8.470784506,-0.455619683,0.201097842,-2.309556928,0.020912697,NA,9330182L06Rik
Mag,204.061918,-0.455630601,0.122603918,-3.72621727,0.000194375,0.004803446,Mag
Gm26202,5.921219248,-0.456288218,0.186836219,-2.356160442,0.018464941,NA,Gm26202
Dtl,56.69920371,-0.457153668,0.187829649,-2.521552309,0.01168383,0.115431168,Dtl
