X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Pex11a,258.5763505,0.224715796,0.103251784,2.15968268,0.030797243,0.133468435,Pex11a
Daglb,2163.274978,0.225032216,0.046670003,4.824956362,1.40E-06,2.78E-05,Daglb
Nt5dc1,325.0346691,0.225112967,0.088727537,2.533661688,0.011287765,0.062637601,Nt5dc1
Slmap,1523.326023,0.225245514,0.043861665,5.135379556,2.82E-07,6.72E-06,Slmap
Capn2,1802.842288,0.225271406,0.043903551,5.129447626,2.91E-07,6.90E-06,Capn2
Cbr1,612.9787305,0.225346401,0.073535274,3.067165538,0.002160991,0.01644698,Cbr1
Pla2g15,3761.585524,0.225462598,0.042338014,5.326618691,1.00E-07,2.62E-06,Pla2g15
Tpi1,4703.970981,0.225522593,0.029871023,7.548963174,4.39E-14,3.01E-12,Tpi1
Rnh1,12791.68337,0.225682763,0.029030758,7.773067456,7.66E-15,5.83E-13,Rnh1
Sirpa,27032.19748,0.225995544,0.023227832,9.729960146,2.25E-22,3.33E-20,Sirpa
Ext1,424.8737593,0.226072359,0.084640105,2.667757634,0.007635932,0.045750376,Ext1
Zfyve21,213.4940347,0.226077189,0.115620523,1.971245352,0.048695819,0.185878172,Zfyve21
Cryzl2,285.8521194,0.226183292,0.098847134,2.286543188,0.022222501,0.105546128,Cryzl2
Rhoq,1195.495434,0.226327463,0.057946038,3.908841856,9.27E-05,0.001131887,Rhoq
Gchfr,2.150676609,0.226643903,0.141355936,1.986078151,0.047024647,NA,Gchfr
Xrcc1,468.1145677,0.227322093,0.079533408,2.856761913,0.004279867,0.028713372,Xrcc1
Cpeb4,2593.296706,0.227715257,0.04239601,5.369053803,7.92E-08,2.14E-06,Cpeb4
Zfp991,481.4416662,0.227775651,0.084825257,2.683597489,0.007283474,0.044080588,Zfp991
Pwp1,1012.649099,0.227954359,0.053175224,4.282218703,1.85E-05,0.000272409,Pwp1
Rcsd1,378.0026128,0.22809986,0.097691628,2.372189391,0.017683024,0.088658519,Rcsd1
Snx33,288.2083763,0.228110605,0.097005932,2.345319314,0.01901079,0.093375679,Snx33
2410131K14Rik,376.6726727,0.228169104,0.092366391,2.467745772,0.013596685,0.072667277,2410131K14Rik
Gm35279,1.42027086,0.228260665,0.116806553,2.299272964,0.021489444,NA,Gm35279
Tomm40l,217.9884513,0.228416648,0.114614639,1.990399026,0.046546997,0.180198906,Tomm40l
Tec,1184.755041,0.228593978,0.058046713,3.939812803,8.15E-05,0.001008224,Tec
Atg7,1601.83732,0.228964495,0.053195437,4.302632001,1.69E-05,0.000251457,Atg7
Smc4,471.3264444,0.229549429,0.085905135,2.680191349,0.007358009,0.044448322,Smc4
Abracl,588.1810623,0.229655978,0.078587444,2.924254333,0.003452825,0.023972174,Abracl
Gm6166,230.6087574,0.230221308,0.1161656,1.967548636,0.049119995,0.18718732,Gm6166
Dock2,4081.486814,0.230418496,0.039490373,5.835641033,5.36E-09,1.86E-07,Dock2
Ostm1,1951.758845,0.230726273,0.040918534,5.637981622,1.72E-08,5.40E-07,Ostm1
Kif1bp,441.5764744,0.231146207,0.085971916,2.691941361,0.007103743,0.043138464,Kif1bp
Gadd45a,216.2614491,0.231345208,0.105979989,2.169039223,0.030079706,0.131348539,Gadd45a
Eef2k,574.8385,0.231696116,0.07608208,3.048170354,0.002302394,0.017262603,Eef2k
Pacs1,618.3213128,0.231965754,0.077476742,2.999465134,0.002704541,0.01968325,Pacs1
Agk,236.7290104,0.232525525,0.104362959,2.226066863,0.026009703,0.118592292,Agk
Fblim1,3761.073802,0.232656113,0.038530744,6.036268354,1.58E-09,6.06E-08,Fblim1
Krtcap2,574.3103367,0.23270243,0.07421784,3.133142602,0.001729454,0.013672092,Krtcap2
Slc2a6,372.4784057,0.232892869,0.093904781,2.483870995,0.012996288,0.070085263,Slc2a6
Dars2,229.7507667,0.233081361,0.10438266,2.227829142,0.025891911,0.118380839,Dars2
Mib2,811.7342417,0.233333124,0.064511118,3.621222372,0.000293214,0.003072087,Mib2
Tmem268,1056.241787,0.233375441,0.057807274,4.03585936,5.44E-05,0.000712491,Tmem268
Tmem141,301.2742172,0.233497374,0.101566732,2.304962017,0.021168701,0.101744709,Tmem141
Nek10,1.620749331,0.23379401,0.127415323,2.386940522,0.01698924,NA,Nek10
Pcca,445.6723613,0.234042141,0.083645102,2.795801326,0.005177122,0.033520408,Pcca
Ppt1,1963.524931,0.234462056,0.040508023,5.787579306,7.14E-09,2.43E-07,Ppt1
Slc5a6,191.8314137,0.234514277,0.11638141,2.008004498,0.044642814,0.174832961,Slc5a6
Ppp3r1,2402.928762,0.235039214,0.04084293,5.754736632,8.68E-09,2.90E-07,Ppp3r1
Mpzl1,195.7739972,0.235352818,0.112534656,2.091682936,0.036466888,0.151413597,Mpzl1
Lpin1,473.5355616,0.235633397,0.086596975,2.745899583,0.006034523,0.037827129,Lpin1
Gatc,408.0600554,0.235728949,0.084618564,2.788188348,0.005300372,0.034140319,Gatc
Tmem245,738.9066907,0.2357786,0.068883118,3.421765354,0.00062216,0.005846563,Tmem245
Cltb,994.10679,0.235937558,0.054356987,4.334923963,1.46E-05,0.000220699,Cltb
Cblb,722.895654,0.236111905,0.063910446,3.687484486,0.000226482,0.00246578,Cblb
Pi4ka,2815.325073,0.236180477,0.041111566,5.744111184,9.24E-09,3.05E-07,Pi4ka
Pigu,630.8338661,0.236211645,0.070013968,3.371144572,0.000748566,0.006812243,Pigu
Aldh1b1,424.558809,0.236527633,0.083446618,2.833017841,0.004611081,0.030504221,Aldh1b1
Rhbdd1,530.1689592,0.2365757,0.076249306,3.10566535,0.001898514,0.01478404,Rhbdd1
Praf2,176.9560642,0.236920971,0.116954284,2.009521598,0.044481847,0.17449905,Praf2
Ttc33,335.5490322,0.23735746,0.087787271,2.705380022,0.006822629,0.041856699,Ttc33
Scamp3,1012.736422,0.237486252,0.062251517,3.812391926,0.000137628,0.001594138,Scamp3
Nt5dc3,566.6388799,0.237827052,0.070778647,3.355334733,0.00079269,0.007153274,Nt5dc3
Sat1,3701.662044,0.237842988,0.037006547,6.426825487,1.30E-10,5.71E-09,Sat1
Tom1,595.318705,0.238752815,0.071391156,3.342859961,0.000829197,0.007424583,Tom1
Dcxr,336.7211832,0.238770858,0.084982016,2.806833606,0.005003108,0.032589884,Dcxr
Pskh1,575.1249928,0.239331746,0.07442643,3.218506432,0.001288601,0.010695254,Pskh1
Gm49336,658.9198804,0.239438261,0.064228661,3.726543393,0.000194124,0.002157152,Gm49336
Lin54,242.0614197,0.239843916,0.118319927,2.02975018,0.042381939,0.168555249,Lin54
Chchd10,324.2974715,0.239954453,0.092302681,2.589435676,0.009613338,0.055220122,Chchd10
Tmem106b,1516.329897,0.240242961,0.048410284,4.962135568,6.97E-07,1.49E-05,Tmem106b
Inpp1,202.1370083,0.240255699,0.116858727,2.069326729,0.038515437,0.15708963,Inpp1
Plxnc1,2748.072415,0.240441278,0.043277947,5.556027407,2.76E-08,8.32E-07,Plxnc1
Slc25a10,600.8611162,0.240499818,0.071487767,3.365474247,0.000764122,0.006926465,Slc25a10
Ndufb6,597.8302284,0.24072335,0.069439939,3.462639048,0.000534905,0.005152656,Ndufb6
Gm44672,1.675169443,0.240898847,0.123964363,2.449834529,0.014292188,NA,Gm44672
Chpt1,443.5355632,0.241080346,0.079342407,3.029463421,0.002449886,0.018157513,Chpt1
Tmem273,511.071469,0.241376532,0.084591751,2.873721331,0.004056667,0.027490267,Tmem273
Tspan17,536.5652507,0.241505842,0.079384294,3.051322412,0.002278358,0.017114201,Tspan17
Hsd17b11,1462.784245,0.241532062,0.051118413,4.72700762,2.28E-06,4.29E-05,Hsd17b11
Slc41a3,262.460048,0.241714614,0.103871539,2.328143522,0.019904484,0.096822083,Slc41a3
Dag1,1775.990804,0.24175088,0.048395513,4.998406486,5.78E-07,1.28E-05,Dag1
Rars2,342.6381827,0.241774016,0.094365674,2.556561289,0.010571245,0.059303299,Rars2
Abcg2,286.6417264,0.241935386,0.100601534,2.406695006,0.016097607,0.082586612,Abcg2
Fcgrt,529.2950573,0.242415845,0.089412041,2.721901493,0.006490749,0.040095035,Fcgrt
Tfrc,1049.95282,0.24246663,0.056435327,4.290974165,1.78E-05,0.000263328,Tfrc
Klhl36,231.5051559,0.242589869,0.108937534,2.234075764,0.025478088,0.117052664,Klhl36
Atad2,528.81523,0.242891991,0.076773621,3.164758544,0.001552117,0.01249671,Atad2
Fpgt,604.3417584,0.243266427,0.076029994,3.197555179,0.001385979,0.011368973,Fpgt
Tram1,2245.851447,0.243533658,0.048525875,5.018714003,5.20E-07,1.16E-05,Tram1
Prune1,764.9195301,0.243608423,0.062671544,3.884727444,0.000102445,0.001230786,Prune1
Zbtb8os,275.9864562,0.243759357,0.095721849,2.545233113,0.010920481,0.060906311,Zbtb8os
Hfe,374.3085755,0.244133616,0.090892632,2.700200549,0.006929769,0.042352963,Hfe
Ube2b,860.0872864,0.244730111,0.059373125,4.124816577,3.71E-05,0.000513682,Ube2b
Tbc1d20,2983.427525,0.244803086,0.036800423,6.650936249,2.91E-11,1.38E-09,Tbc1d20
Mcfd2,1816.102056,0.244898549,0.04483467,5.459868026,4.76E-08,1.35E-06,Mcfd2
Gyg,2055.946008,0.245047539,0.039193862,6.251491688,4.07E-10,1.70E-08,Gyg
Gmcl1,429.326842,0.245287677,0.078082211,3.141946988,0.001678284,0.013352621,Gmcl1
Prps2,980.7440588,0.245498286,0.061116473,4.014436184,5.96E-05,0.000766709,Prps2
Pparg,272.6416119,0.245574098,0.107608851,2.291757504,0.02191964,0.104581399,Pparg
Fam53b,1004.124221,0.246078131,0.057879272,4.252168042,2.12E-05,0.000308578,Fam53b
Scrn3,247.3481627,0.246162183,0.105549544,2.333009154,0.019647665,0.095832852,Scrn3
Gpd2,547.0624396,0.24707288,0.078840836,3.125791871,0.00177327,0.013956933,Gpd2
Plxna2,590.4942467,0.247234643,0.073250183,3.366984939,0.000759948,0.006904148,Plxna2
Trim13,183.284845,0.247492231,0.121300151,2.036118542,0.041738453,0.166815402,Trim13
Prkch,549.8338031,0.247652763,0.073250658,3.382822294,0.00071745,0.006584791,Prkch
Cd99l2,526.5776185,0.247811019,0.073239458,3.384991208,0.000711805,0.006540421,Cd99l2
Golm1,624.6673175,0.247890583,0.078846022,3.143107973,0.001671642,0.013312901,Golm1
Bcap29,895.2421981,0.248111444,0.05814949,4.265728801,1.99E-05,0.000291999,Bcap29
Osgin2,251.8424904,0.248175297,0.099674857,2.485076418,0.012952363,0.069941892,Osgin2
Plp2,1195.329267,0.248198025,0.064950311,3.823531882,0.000131554,0.001533683,Plp2
Tent5c,2586.5181,0.248495917,0.053743671,4.620565838,3.83E-06,6.81E-05,Tent5c
Alg10b,1221.003677,0.248580545,0.063775734,3.898335783,9.69E-05,0.001174134,Alg10b
Mzt1,503.0495427,0.24874935,0.081144831,3.066904838,0.002162877,0.016453569,Mzt1
Deptor,249.4378763,0.248872573,0.117835945,2.163022836,0.030539423,0.13250018,Deptor
Asb4,160.6800174,0.248919757,0.117973212,2.098891292,0.035826485,0.149524141,Asb4
Aff4,1617.665963,0.249177874,0.051461636,4.841921516,1.29E-06,2.58E-05,Aff4
Pik3r5,2210.357061,0.249218401,0.041709691,5.973832296,2.32E-09,8.60E-08,Pik3r5
Crat,2044.540838,0.249384651,0.048279925,5.166309148,2.39E-07,5.76E-06,Crat
Gna13,3044.773404,0.249423287,0.037242137,6.696144978,2.14E-11,1.04E-09,Gna13
Bhlhe41,4278.016563,0.24950075,0.037487047,6.654183596,2.85E-11,1.36E-09,Bhlhe41
Hsdl2,440.6376165,0.249542944,0.075799036,3.286394006,0.00101479,0.008774721,Hsdl2
Fndc10,212.7854419,0.249645391,0.113152452,2.196209628,0.028076943,0.125386512,Fndc10
Rassf3,1663.74187,0.249884203,0.046533241,5.374796892,7.67E-08,2.08E-06,Rassf3
Ech1,1169.50036,0.250164298,0.05233265,4.778161858,1.77E-06,3.43E-05,Ech1
Extl3,1875.527948,0.250199439,0.045963427,5.444949285,5.18E-08,1.44E-06,Extl3
Neo1,430.4436799,0.250218516,0.081789325,3.050814509,0.002282215,0.017135199,Neo1
Kctd17,165.8033644,0.250259206,0.117956491,2.115720401,0.034368594,0.144939172,Kctd17
Mef2a,2813.068983,0.250318451,0.039885734,6.278754763,3.41E-10,1.44E-08,Mef2a
Snapc5,356.6868835,0.251209708,0.101120365,2.486422152,0.01290348,0.069747955,Snapc5
Aktip,397.7334995,0.25151032,0.088204816,2.851115862,0.004356609,0.02912772,Aktip
Afg1l,177.8094361,0.252045328,0.113089238,2.22127372,0.026332428,0.119716461,Afg1l
Erlec1,493.5544608,0.252427186,0.08314804,3.033900482,0.002414141,0.017942035,Erlec1
Tcn2,3134.248261,0.252515453,0.036964113,6.830261113,8.48E-12,4.36E-10,Tcn2
Fnip2,6210.516566,0.253010645,0.030482768,8.298718332,1.05E-16,9.87E-15,Fnip2
Mospd2,1003.72802,0.25308482,0.055448901,4.564094166,5.02E-06,8.62E-05,Mospd2
Lpar5,160.0537345,0.253238379,0.129373587,1.980469359,0.047650813,0.183102136,Lpar5
Slc25a16,346.8058351,0.253352226,0.096857994,2.618452078,0.00883297,0.051525657,Slc25a16
Ugp2,1778.000476,0.253840805,0.047962304,5.289621286,1.23E-07,3.17E-06,Ugp2
Ubxn2b,226.8823141,0.254070666,0.10847963,2.348414925,0.018853506,0.092829208,Ubxn2b
Setx,669.2167736,0.25445775,0.073447274,3.468060045,0.00052423,0.005067977,Setx
Dnajc4,211.9674239,0.254810934,0.109602779,2.32370967,0.02014106,0.097619706,Dnajc4
Klf4,250.3855751,0.255235003,0.117232498,2.21180195,0.026980352,0.121770066,Klf4
1500011K16Rik,297.5363238,0.255583242,0.090690342,2.812782613,0.004911484,0.032109724,1500011K16Rik
Ctnnd1,370.8250635,0.256272844,0.096793988,2.649891116,0.008051772,0.047815728,Ctnnd1
Aplp2,11075.48791,0.256342231,0.027647886,9.271381274,1.84E-20,2.37E-18,Aplp2
Ttc7b,576.5718329,0.256494108,0.06866391,3.731298998,0.000190495,0.002124144,Ttc7b
Gpr162,139.016627,0.256564412,0.126763921,1.993124898,0.046247772,0.179511616,Gpr162
Gm47140,2.643303979,0.256706891,0.135913444,2.26808216,0.023324199,NA,Gm47140
Pdcd7,199.5098864,0.257369094,0.11787496,2.189321445,0.028573485,0.126732707,Pdcd7
Tmem9,317.6509404,0.258153463,0.089471533,2.877100502,0.004013477,0.027321269,Tmem9
Akr1c13,238.4080981,0.258266475,0.110458362,2.341111246,0.019226437,0.094119711,Akr1c13
Itgb5,7642.756555,0.258472177,0.038014949,6.799382996,1.05E-11,5.33E-10,Itgb5
Enc1,989.6730256,0.258660013,0.072117975,3.586088529,0.000335675,0.003451955,Enc1
Arhgap24,641.082629,0.258938672,0.063841498,4.048694738,5.15E-05,0.000678936,Arhgap24
Sec22a,161.072975,0.259620142,0.122472093,2.118931269,0.034096276,0.143978909,Sec22a
Gm45428,2.358917448,0.260517327,0.146062992,2.161000212,0.030695323,NA,Gm45428
Tmem5,500.9012026,0.260721447,0.074487806,3.495968854,0.000472344,0.004638629,Tmem5
Unc119,586.4002769,0.260772387,0.075963633,3.432939847,0.000597075,0.005647009,Unc119
Mmgt1,697.3632603,0.260902493,0.064849801,4.021627458,5.78E-05,0.000749045,Mmgt1
Bscl2,1075.1009,0.261073654,0.052755503,4.946544152,7.55E-07,1.60E-05,Bscl2
Slc2a8,225.120887,0.261186274,0.122277671,2.148875448,0.031644275,0.136154765,Slc2a8
Zfp709,202.7914305,0.261430013,0.107323158,2.430759089,0.015067229,0.078447803,Zfp709
Mindy2,1466.580031,0.261655464,0.055642007,4.705902072,2.53E-06,4.71E-05,Mindy2
Fam149a,158.394244,0.261885203,0.124549802,2.091838034,0.036453007,0.15139492,Fam149a
Lin7c,1753.482293,0.262774695,0.046744231,5.621612552,1.89E-08,5.87E-07,Lin7c
Plpp2,426.0290991,0.26301886,0.08488084,3.09568304,0.001963601,0.015166447,Plpp2
Lcmt2,268.4774864,0.263172868,0.103230241,2.5464268,0.010883203,0.060719394,Lcmt2
Bcl6,361.0852879,0.26408396,0.08873307,2.973144981,0.002947652,0.021119166,Bcl6
Gtpbp8,361.6144605,0.264613927,0.086546468,3.060515605,0.002209562,0.016697553,Gtpbp8
Fam217b,197.5675221,0.264735022,0.11205956,2.367426063,0.017912299,0.089367637,Fam217b
Vwa8,873.5674682,0.264816565,0.062476305,4.234281214,2.29E-05,0.000331199,Vwa8
R3hcc1,157.6252477,0.265162619,0.130025089,2.030075059,0.04234891,0.168549499,R3hcc1
Cerk,5703.030202,0.265564395,0.029943418,8.868163735,7.44E-19,8.16E-17,Cerk
Ncapg2,297.243799,0.265617632,0.102235038,2.600102504,0.009319592,0.05376175,Ncapg2
Usp31,512.1749596,0.265956499,0.073386944,3.619989141,0.000294615,0.003082762,Usp31
Rdh13,545.6929732,0.26707589,0.076053918,3.504933524,0.000456721,0.004518209,Rdh13
Ssbp1,341.7106203,0.267316197,0.090281912,2.960349122,0.003072906,0.021841999,Ssbp1
Adcy9,398.5306046,0.267423271,0.08932255,2.987390944,0.002813697,0.020303665,Adcy9
Ugt1a7c,1174.967723,0.2678495,0.059654989,4.494501894,6.97E-06,0.000115636,Ugt1a7c
Nckap5l,723.9330729,0.267869797,0.061350069,4.361327296,1.29E-05,0.000198465,Nckap5l
Tmem35b,223.4941632,0.268028828,0.109256699,2.444226624,0.014516305,0.076194072,Tmem35b
Arhgap19,2906.638593,0.268059531,0.041480723,6.463657643,1.02E-10,4.58E-09,Arhgap19
Aaed1,359.7392718,0.268554492,0.099885071,2.697244049,0.006991601,0.042585686,Aaed1
Gm10773,1.628351165,0.268755117,0.122294269,2.065994245,0.038829023,NA,Gm10773
Tulp4,1784.763792,0.269127181,0.048284991,5.570314501,2.54E-08,7.77E-07,Tulp4
Acot1,144.0756717,0.269166494,0.121197452,2.193491641,0.028271976,0.126013352,Acot1
Gsn,5541.482479,0.269288655,0.035136673,7.664139277,1.80E-14,1.29E-12,Gsn
Kctd12b,336.0359216,0.269394838,0.108039556,2.52270872,0.011645482,0.064305219,Kctd12b
Lgals1,10443.28089,0.269874221,0.026981489,10.00162502,1.50E-23,2.49E-21,Lgals1
Kctd9,266.4616101,0.270221411,0.104937637,2.575127597,0.010020311,0.056928776,Kctd9
Dnajc10,1311.446809,0.270317273,0.058675957,4.606475235,4.10E-06,7.25E-05,Dnajc10
Gm7785,3.499854957,0.271000167,0.159036135,2.029547188,0.042402588,0.168555249,Gm7785
Prkx,1414.431256,0.271263617,0.049324139,5.49856234,3.83E-08,1.11E-06,Prkx
Slc16a7,206.5756963,0.271827543,0.110977893,2.457296133,0.013998724,0.074079833,Slc16a7
Pqlc3,1298.421096,0.27187401,0.048888414,5.559668596,2.70E-08,8.20E-07,Pqlc3
Gga2,1939.343964,0.272868674,0.051164911,5.330950754,9.77E-08,2.56E-06,Gga2
Gm45223,3.35762234,0.273056734,0.160501598,1.996185121,0.045913776,0.178639687,Gm45223
Wrb,324.210341,0.273598546,0.087370726,3.121527269,0.001799156,0.014117319,Wrb
Sgk1,8365.336457,0.273863577,0.031421611,8.713640759,2.94E-18,3.08E-16,Sgk1
D130062J10Rik,1.502706539,0.273998895,0.111768466,2.05809434,0.039581078,NA,D130062J10Rik
Abhd8,217.3885738,0.274141824,0.115621257,2.376986576,0.017454723,0.087735813,Abhd8
Mgmt,242.2425356,0.274701139,0.10884206,2.517730343,0.011811371,0.065087593,Mgmt
Ppt2,447.6827995,0.275570764,0.078202768,3.520387594,0.000430917,0.004281305,Ppt2
Fbxo30,405.0982954,0.27575786,0.076601966,3.595980566,0.000323172,0.003342551,Fbxo30
Slc35a5,475.7104599,0.275784269,0.093970116,2.940237424,0.003279608,0.02300951,Slc35a5
Gm47558,1.26039447,0.275975327,0.111822874,2.462535622,0.013795847,NA,Gm47558
Tmem184c,543.2940254,0.276045879,0.078636699,3.511289499,0.000445938,0.004422383,Tmem184c
Sdc1,593.8427112,0.276262169,0.134250193,2.040684975,0.04128215,0.165487574,Sdc1
Tmem60,224.8485896,0.276826718,0.111230913,2.486189117,0.012911933,0.069770274,Tmem60
Mtm1,718.8443278,0.276968869,0.065294389,4.237509407,2.26E-05,0.000326767,Mtm1
Abcd2,1338.709988,0.277253614,0.055814925,4.963764822,6.91E-07,1.48E-05,Abcd2
Tom1l1,138.6454561,0.277465338,0.139397496,1.983210915,0.047343875,0.182400532,Tom1l1
Plk3,609.4421373,0.277586367,0.074296112,3.733541836,0.000188806,0.002111145,Plk3
Gnpda1,2110.397143,0.278018339,0.041707412,6.664735814,2.65E-11,1.27E-09,Gnpda1
Vamp7,483.8816146,0.27841674,0.077078545,3.612283471,0.000303513,0.003159467,Vamp7
Klc4,1298.264172,0.278589394,0.057647792,4.83767573,1.31E-06,2.63E-05,Klc4
Blvra,980.6055545,0.278678103,0.054949745,5.073896175,3.90E-07,9.02E-06,Blvra
Capn5,258.7602263,0.278905894,0.101089613,2.763610588,0.005716572,0.036128823,Capn5
Gdpgp1,140.7046074,0.279260648,0.126773319,2.197916676,0.027955044,0.125000712,Gdpgp1
Tnfsf12,615.2920092,0.279516729,0.067851459,4.116347475,3.85E-05,0.000529024,Tnfsf12
Fam210a,651.5564129,0.279785751,0.069768252,4.009153378,6.09E-05,0.000783439,Fam210a
Tpra1,1403.28844,0.280151282,0.047879657,5.850350878,4.91E-09,1.72E-07,Tpra1
Mpst,394.8225539,0.280342787,0.079377929,3.526497502,0.000421095,0.004196646,Mpst
Depdc5,354.4234601,0.281115275,0.095912103,2.93229979,0.003364618,0.023481016,Depdc5
Zfp12,211.1239968,0.281737778,0.121308215,2.328698953,0.01987502,0.096737087,Zfp12
Mettl21a,184.6833307,0.282412403,0.125373535,2.25953247,0.023850283,0.111253054,Mettl21a
Kifc3,312.0397921,0.282854104,0.096996474,2.91910151,0.003510419,0.024340614,Kifc3
Rmdn1,117.1435016,0.282903757,0.138770749,2.029411529,0.042416392,0.168568592,Rmdn1
Tnik,124.5164844,0.283583611,0.136909549,2.057153943,0.03967142,0.160869155,Tnik
Pnpla7,2560.224202,0.284334982,0.040637337,6.998612867,2.59E-12,1.43E-10,Pnpla7
Dnajb5,138.8302408,0.284596614,0.13865165,2.062975225,0.039114982,0.158995654,Dnajb5
Aldh6a1,247.5847404,0.284641434,0.112827681,2.528951836,0.011440373,0.063346057,Aldh6a1
Esyt1,6229.797792,0.285107059,0.029309391,9.727060285,2.31E-22,3.39E-20,Esyt1
Numbl,183.981306,0.285163547,0.126932668,2.265800161,0.023463622,0.10987153,Numbl
Nsmce3,397.1361742,0.285321378,0.083396852,3.419644598,0.00062703,0.005882052,Nsmce3
Galnt11,343.1630095,0.286484869,0.09758267,2.946260601,0.003216413,0.022662368,Galnt11
Gstm4,154.5353371,0.287320796,0.127578801,2.250552811,0.024413875,0.113227328,Gstm4
Oxr1,1462.706414,0.287438141,0.047847886,6.009071919,1.87E-09,7.07E-08,Oxr1
Zmat3,1655.815712,0.287614905,0.054368714,5.288091175,1.24E-07,3.19E-06,Zmat3
Galr2,7.492836076,0.287728403,0.189699839,2.235347064,0.025394573,0.116932199,Galr2
Fbxo32,162.0673095,0.287905861,0.120829327,2.382784831,0.017182234,0.086690227,Fbxo32
Pgap1,1382.206868,0.288255037,0.059996901,4.806135407,1.54E-06,3.02E-05,Pgap1
Hadhb,962.2907738,0.288936508,0.065723485,4.391494063,1.13E-05,0.000176177,Hadhb
1110059G10Rik,173.4328398,0.2889826,0.123136389,2.352342596,0.018655584,0.092051328,1110059G10Rik
Atp6v1a,11221.08771,0.289043279,0.028817619,10.0294994,1.13E-23,1.90E-21,Atp6v1a
Gsto1,1532.80458,0.289169585,0.045991289,6.285223028,3.27E-10,1.38E-08,Gsto1
Zfhx3,443.3549675,0.289306086,0.083288936,3.477223224,0.000506636,0.004927408,Zfhx3
Ccdc32,288.5085896,0.289441305,0.101952061,2.84346185,0.004462635,0.029643729,Ccdc32
Vegfb,637.0363306,0.289844918,0.079154894,3.655551087,0.00025663,0.002756809,Vegfb
Cep128,152.3825011,0.29014237,0.132137684,2.213723241,0.026847823,0.12139009,Cep128
Entpd5,358.0815743,0.290509594,0.098652744,2.94379223,0.003242176,0.022774273,Entpd5
Pyurf,97.45156243,0.290752896,0.145953058,1.982502787,0.047422996,0.182574573,Pyurf
Tmem97,473.1820767,0.290857256,0.08962363,3.257788766,0.00112284,0.009550351,Tmem97
Fam213a,297.367601,0.291083856,0.108707049,2.680370379,0.007354074,0.044441192,Fam213a
Tmx4,515.1160059,0.29136645,0.081928777,3.559355742,0.000371766,0.003772603,Tmx4
Tmem65,1789.739938,0.29206467,0.048350877,6.038117173,1.56E-09,6.00E-08,Tmem65
Fam83h,128.3968421,0.292322728,0.142277185,2.041952084,0.041156285,0.165106079,Fam83h
Pik3c3,462.9548901,0.293037431,0.081397147,3.607072934,0.000309671,0.003213206,Pik3c3
Mgst3,290.9485408,0.293089036,0.09964008,2.949034709,0.003187682,0.022499232,Mgst3
Nudt14,103.7544267,0.293343488,0.14849696,1.990053397,0.046585054,0.180294997,Nudt14
Tusc1,490.4441048,0.293445117,0.084607138,3.465342115,0.000529557,0.005107237,Tusc1
Foxp1,300.0828857,0.293576746,0.095908421,3.054299783,0.002255865,0.01697686,Foxp1
Nhlrc3,1673.882984,0.293952108,0.051395046,5.718382375,1.08E-08,3.52E-07,Nhlrc3
Nostrin,113.976753,0.294102851,0.139791448,2.114557367,0.03446769,0.145208616,Nostrin
Pdp2,165.70845,0.294205666,0.125078918,2.377434091,0.017433558,0.087656735,Pdp2
Fam13a,184.5282944,0.294457991,0.114999895,2.547390504,0.010853191,0.060635814,Fam13a
Neu1,2346.567716,0.294641486,0.03895805,7.560344885,4.02E-14,2.80E-12,Neu1
Vma21,930.9745666,0.294715196,0.060843234,4.84067361,1.29E-06,2.60E-05,Vma21
Lcorl,263.4115229,0.295719505,0.107791603,2.739569893,0.006151963,0.038399198,Lcorl
Marveld1,185.5232227,0.295799389,0.11674078,2.540784341,0.011060412,0.06162284,Marveld1
Gnptab,2198.693671,0.296175042,0.043578723,6.79374874,1.09E-11,5.53E-10,Gnptab
Pam,741.9091934,0.296690291,0.065238477,4.541959799,5.57E-06,9.44E-05,Pam
Nudt19,493.0030727,0.297036519,0.082300824,3.609870422,0.00030635,0.003182844,Nudt19
1700066M21Rik,146.6435823,0.297519973,0.137999928,2.150745824,0.031496267,0.135626441,1700066M21Rik
Ppp1r3b,383.895071,0.297596844,0.088514007,3.366407494,0.000761541,0.006906952,Ppp1r3b
Swsap1,126.6548829,0.297822009,0.139079189,2.151055694,0.031471804,0.135557276,Swsap1
Gm37906,1.155455867,0.298685175,0.107279922,2.483131741,0.013023291,NA,Gm37906
Zfp65,207.025578,0.29884209,0.112890839,2.645215807,0.008163883,0.048395,Zfp65
Ypel3,413.6429652,0.300552387,0.097259576,3.130393761,0.001745721,0.013773698,Ypel3
Gm9821,81.13242662,0.300674632,0.150348507,1.98859113,0.046746351,0.180615991,Gm9821
Pdgfc,407.1051862,0.300911243,0.083169106,3.615763826,0.000299463,0.003125382,Pdgfc
Alox5ap,1370.883485,0.301048265,0.051294286,5.870776951,4.34E-09,1.54E-07,Alox5ap
Plxna1,7804.439461,0.301759408,0.055844037,5.402890283,6.56E-08,1.80E-06,Plxna1
Bag2,106.0705768,0.301878169,0.149740775,2.031785727,0.042175353,0.167983045,Bag2
Mpc1,182.8702771,0.30244594,0.125365173,2.403016868,0.016260437,0.083263141,Mpc1
Slc25a13,442.4889709,0.302557198,0.081709186,3.710080607,0.000207193,0.002285074,Slc25a13
