X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Oas1b,63.14704758,-0.698690199,0.19646562,-3.529938295,0.000415657,0.004157854,Oas1b
Irgm1,856.107551,-0.696463768,0.153873169,-4.515400757,6.32E-06,0.000106107,Irgm1
1700016P03Rik,10.02927945,-0.695694535,0.204982565,-3.195472463,0.001396021,0.011433908,1700016P03Rik
Foxg1,17.66623435,-0.694169368,0.213828195,-3.288463188,0.00100736,0.008724502,Foxg1
Jam3,11.11911725,-0.693650025,0.207253026,-3.259773899,0.001115011,0.009493771,Jam3
Nectin4,101.6409976,-0.693021078,0.1601481,-4.334073774,1.46E-05,0.000221139,Nectin4
Frem2,13.05967047,-0.692226449,0.212410353,-3.523526199,0.000425845,0.004233524,Frem2
Sox11,14.46336172,-0.691651769,0.213712206,-3.080826184,0.002064271,0.015815297,Sox11
Gpc4,10.05809825,-0.691020799,0.200817015,-3.653242297,0.00025895,0.002779875,Gpc4
Wwc1,67.38916838,-0.689723968,0.212024946,-3.614332331,0.000301123,0.003138639,Wwc1
Dzip1l,9.471251514,-0.68815402,0.191705202,-3.851862093,0.000117223,0.00138767,Dzip1l
Gm20559,514.3127177,-0.687832104,0.174586271,-3.895503124,9.80E-05,0.001184383,Gm20559
Sorbs2,21.40304514,-0.687398768,0.213468158,-3.572906745,0.000353041,0.003609828,Sorbs2
Pard3,17.84761721,-0.685659268,0.210585319,-3.497160251,0.000470239,0.00462359,Pard3
Crb2,12.68782213,-0.684550384,0.20332662,-3.789177305,0.000151147,0.00173577,Crb2
Ptpn13,10.03138048,-0.684117082,0.206274456,-3.261587766,0.001107901,0.009448196,Ptpn13
Nrbp2,25.98938116,-0.683917736,0.21363314,-3.60066112,0.000317409,0.003289271,Nrbp2
Sdc2,25.28852544,-0.683213645,0.19364591,-4.488449365,7.17E-06,0.000118483,Sdc2
Myo1d,25.77112746,-0.683201593,0.212444976,-3.223747372,0.00126525,0.010550286,Myo1d
Scimp,89.30896735,-0.682119224,0.156760833,-4.299664102,1.71E-05,0.000254144,Scimp
Hr,95.14340375,-0.682010399,0.165966421,-4.086445887,4.38E-05,0.00059094,Hr
Atp1b1,74.72949216,-0.681084067,0.204896706,-3.949184752,7.84E-05,0.000974035,Atp1b1
Plppr5,15.11720929,-0.680106374,0.213747649,-3.059058259,0.00222034,0.016748565,Plppr5
Dtna,27.52906615,-0.679838696,0.209264616,-3.290418488,0.001000385,0.008678069,Dtna
Sema6d,61.2960937,-0.678649168,0.184334409,-3.737185745,0.000186091,0.002082237,Sema6d
Agap2,45.45641623,-0.676981503,0.18965899,-3.562559005,0.000367257,0.003729199,Agap2
Sod3,12.93187787,-0.676839947,0.205062856,-3.704144463,0.000212105,0.00233287,Sod3
Socs3,719.4482275,-0.676615394,0.071577396,-9.440999783,3.69E-21,5.01E-19,Socs3
Apbb1,43.55862462,-0.675925535,0.201791152,-3.362457407,0.00077252,0.006994735,Apbb1
Cdh6,12.6458225,-0.675526204,0.210553201,-3.165568067,0.001547804,0.01246821,Cdh6
Epsti1,603.9352312,-0.675064507,0.124035443,-5.439399801,5.35E-08,1.48E-06,Epsti1
H2-T24,416.3926612,-0.674807032,0.202750425,-3.184772405,0.001448679,0.011823184,H2-T24
Lamb1,20.79141356,-0.674761051,0.190541031,-3.966716053,7.29E-05,0.000914767,Lamb1
Gucy1b1,14.28665895,-0.674752817,0.212127663,-3.161680675,0.001568615,0.012604382,Gucy1b1
B4galt2,14.27407669,-0.674432798,0.21362818,-3.110196718,0.001869628,0.014608448,B4galt2
Gfra1,18.07107166,-0.674362376,0.213347361,-3.062929889,0.002191814,0.016603249,Gfra1
Tnfrsf9,14.37625524,-0.673914503,0.213655834,-2.828030418,0.004683536,0.030882242,Tnfrsf9
Trim12a,220.2819019,-0.673379349,0.130547235,-5.152728338,2.57E-07,6.17E-06,Trim12a
Col5a2,33.65886996,-0.671630571,0.198925646,-3.455820066,0.000548621,0.005259659,Col5a2
Serpine1,178.1696506,-0.671627834,0.213987112,-2.968029931,0.002997151,0.021397805,Serpine1
Cxxc5,188.0565694,-0.67145677,0.134905551,-4.993062346,5.94E-07,1.30E-05,Cxxc5
Sox21,29.05799951,-0.671255848,0.207969157,-3.266804765,0.001087687,0.009305315,Sox21
Reep1,29.95580665,-0.670204733,0.211066521,-3.203913653,0.001355731,0.011160574,Reep1
Cadm2,33.78894654,-0.669717144,0.207733608,-3.223390133,0.001266829,0.010557998,Cadm2
Arhgef26,33.36149401,-0.66917755,0.198054197,-3.358863258,0.000782638,0.007070471,Arhgef26
Pik3ip1,19.27626118,-0.668022262,0.213724524,-3.580703604,0.00034267,0.003516638,Pik3ip1
Hspg2,33.6008661,-0.667973615,0.200458638,-3.909902205,9.23E-05,0.001128637,Hspg2
