"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"457","Pdpk1",4.78e-09,0.138273524,0.327,0.263,0.000128026,"Pdpk1",0.106176,-0.805912,0.031103,0.220543
"458","Esco1",9.4e-10,0.138667482,0.353,0.286,2.52e-05,"Esco1",0.082941,-0.60715,0.485496,0.42734
"459","Wls",8.26e-11,0.14006877,0.465,0.388,2.21e-06,"Wls",0.255588,0.218497,0.163636,0.275984
"460","Arid1b",1.31e-07,0.140254317,0.702,0.636,0.003509544,"Arid1b",0.154412,-0.489966,0.178267,0.27706
"461","Kdm2a",8.27e-09,0.14125325,0.632,0.558,0.00022143,"Kdm2a",0.186765,-0.986798,0.758532,0.568842
"462","St13",2.17e-09,0.142204667,0.276,0.215,5.81e-05,"St13",0.355882,-0.259082,0.300807,0.336819
"463","Zrsr2",3.99e-08,0.143098596,0.284,0.226,0.001069961,"Zrsr2",0.052647,-0.462029,0.247693,0.315532
"464","Eps15",1.48e-11,0.143370836,0.4,0.324,3.96e-07,"Eps15",0.099118,0.615266,1.166539,0.838526
"465","Tyrobp",5.25e-07,0.14447357,0.359,0.299,0.014051297,"Tyrobp",3.335,1.60888,51.473836,49.048449
"466","Zfp407",1.64e-08,0.144812054,0.466,0.396,0.000439481,"Zfp407",0.035882,-3.513813,0.933729,0.675265
"467","Cnot6l",2.11e-12,0.144836544,0.441,0.361,5.65e-08,"Cnot6l",0.251765,-0.313315,0.201556,0.288586
"468","Ddx24",8.26e-11,0.145860719,0.339,0.269,2.21e-06,"Ddx24",0.146176,0.288488,0.20609,0.291248
"469","Acbd3",6.09e-12,0.147899123,0.331,0.261,1.63e-07,"Acbd3",0.139706,-1.387396,1.22869,0.876899
"470","Pafah1b1",3.02e-08,0.149039253,0.669,0.6,0.000807864,"Pafah1b1",0.371176,-1.22636,2.318588,1.69116
"471","Dync1li1",1.45e-07,0.149214747,0.283,0.226,0.003891385,"Dync1li1",0.108824,-0.175857,0.092697,0.244802
"472","Psma3",1.15e-07,0.149407109,0.344,0.282,0.003083327,"Psma3",0.049706,0.18597,0.316803,0.345855
"473","Spop",4.63e-09,0.149687605,0.522,0.448,0.000123911,"Spop",0.116176,0.405926,0.219897,0.29966
"474","Lrmp",1.11e-06,0.149867483,0.285,0.231,0.029715687,"Lrmp",0.107647,0.445545,0.933264,0.675392
"475","Btaf1",1.97e-10,0.150102267,0.506,0.426,5.29e-06,"Btaf1",0.053824,0.800078,0.665937,0.520065
"476","Nf1",2.29e-08,0.150623949,0.733,0.666,0.00061449,"Nf1",0.134706,0.162683,0.510933,0.439655
"477","Dram2",1.12e-08,0.151091183,0.375,0.306,0.000300673,"Dram2",0.270294,-1.172755,2.606564,1.930914
"478","Tln1",1.43e-08,0.151604215,0.37,0.303,0.000383,"Tln1",0.652059,-0.378549,0.362269,0.358924
"479","Caprin1",6.27e-08,0.15206965,0.409,0.342,0.001678668,"Caprin1",0.214118,-0.292128,0.067015,0.23521
"480","Eif3c",1e-10,0.152173207,0.256,0.194,2.69e-06,"Eif3c",0.437647,-0.195444,0.450415,0.405601
"481","Atp6v0c",1.43e-08,0.153003797,0.345,0.279,0.000382052,"Atp6v0c",0.188824,1.5362,16.946474,15.382423
"482","Chd7",8.27e-07,0.153297954,0.65,0.587,0.0221427,"Chd7",0.182941,-0.324687,0.253821,0.31642
"483","Ptma",1.12e-10,0.154622683,0.264,0.199,3.01e-06,"Ptma",0.282353,0.561696,1.891294,1.352398
"484","Tcf4",8.38e-07,0.156719953,0.794,0.748,0.022436931,"Tcf4",0.528235,-1.439451,5.370653,4.396541
"485","Mpeg1",2.61e-07,0.157372919,0.299,0.239,0.006986765,"Mpeg1",2.019118,1.30654,30.323977,28.253978
"486","Pdcd6ip",1.28e-06,0.158184405,0.283,0.228,0.034349169,"Pdcd6ip",0.289118,-0.738398,0.264266,0.320704
"487","Lmbrd1",3.58e-13,0.160736938,0.334,0.256,9.59e-09,"Lmbrd1",0.204706,0.449715,1.118897,0.802976
"488","Srpk2",6.97e-13,0.16101069,0.492,0.404,1.87e-08,"Srpk2",0.038824,0.853657,0.423867,0.390356
"489","Pak2",8.5e-08,0.162015309,0.595,0.525,0.002275866,"Pak2",0.440294,-0.349574,0.771371,0.575922
"490","Eif1",6.01e-09,0.162493918,0.284,0.22,0.000160891,"Eif1",0.429412,-0.156229,0.006763,0.21099
"491","Celf1",5.23e-08,0.162692191,0.686,0.619,0.001400578,"Celf1",0.269412,-1.35619,2.26489,1.646135
"492","Zfp91",2.85e-11,0.165312799,0.32,0.247,7.62e-07,"Zfp91",0.228235,-0.264125,0.177986,0.277126
"493","Crtc3",2.76e-10,0.165520335,0.272,0.208,7.38e-06,"Crtc3",0.077941,-0.449702,0.040231,0.223085
"494","Gab2",5.07e-14,0.166308671,0.946,0.906,1.36e-09,"Gab2",0.083529,-0.497606,0,0.208822
"495","Rnf115",1.52e-06,0.166984497,0.292,0.236,0.04071414,"Rnf115",0.069118,0.277373,0.102415,0.248737
"496","Abi1",1.05e-07,0.169117143,0.671,0.605,0.002811785,"Abi1",0.189412,0.428823,0.070824,0.235238
"497","Fyb",7.24e-07,0.169444184,0.922,0.91,0.019385973,"Fyb",0.425588,-0.675365,1.001386,0.720884
"498","Tmem164",3.34e-10,0.169905424,0.584,0.502,8.96e-06,"Tmem164",0.038529,-0.247265,0.269871,0.321992
"499","Atp6v1h",8.95e-09,0.171183739,0.311,0.247,0.000239804,"Atp6v1h",0.060294,0.437884,0.719798,0.546617
"500","Ogt",9.52e-09,0.171987308,0.593,0.518,0.000255044,"Ogt",0.074118,-0.111895,0.439095,0.399553
"501","Chmp4b",7.27e-08,0.173274265,0.263,0.204,0.001948145,"Chmp4b",0.172647,0.502024,0.441831,0.400858
"502","Mga",8.03e-08,0.173836848,0.37,0.304,0.002149854,"Mga",0.091765,-0.205513,0.056401,0.230824
"503","Ppm1h",3.5e-10,0.173843407,0.857,0.811,9.39e-06,"Ppm1h",0.130294,0.389527,0.479032,0.423356
"504","Stk38",1.23e-09,0.173981978,0.424,0.347,3.29e-05,"Stk38",0.137059,-0.882477,0.204914,0.290429
"505","Cdk19",5.89e-07,0.174477818,0.587,0.522,0.015763772,"Cdk19",0.169706,0.175234,0.275987,0.32569
"506","Ppp4r2",1.61e-10,0.175294116,0.336,0.265,4.32e-06,"Ppp4r2",0.068235,-0.143376,0.013506,0.2135
"507","Mfsd11",8.67e-10,0.176350951,0.276,0.212,2.32e-05,"Mfsd11",0.117647,-0.189842,0.033691,0.220735
"508","Ube2k",6.11e-10,0.177045502,0.488,0.407,1.64e-05,"Ube2k",0.213529,-0.584401,0.094131,0.245393
"509","Polr2a",3.73e-07,0.178453381,0.254,0.199,0.009996802,"Polr2a",0.105588,-0.289556,0.145993,0.270345
"510","Dyrk1a",1.63e-07,0.178509987,0.496,0.427,0.004376766,"Dyrk1a",0.200588,-0.90924,2.294479,1.669809
"511","Htt",1.92e-12,0.179236325,0.37,0.289,5.14e-08,"Htt",0.042353,-0.315595,0.29581,0.333419
"512","Atp6v0b",1.11e-11,0.17967677,0.777,0.701,2.97e-07,"Atp6v0b",0.272941,0.858152,5.619451,4.633923
"513","Gatad2a",2.33e-13,0.180638625,0.267,0.194,6.23e-09,"Gatad2a",0.168824,-0.438127,0.594432,0.482913
"514","Cab39",2.14e-12,0.180728121,0.385,0.303,5.73e-08,"Cab39",0.215588,-1.056351,0.877583,0.639341
"515","Btbd9",2.67e-09,0.183025655,0.765,0.707,7.15e-05,"Btbd9",0.065588,-1.383975,0.805507,0.595493
"516","Senp5",3.4e-13,0.183238218,0.308,0.232,9.11e-09,"Senp5",0.023235,0.435072,1.278195,0.91174
"517","Gns",3.99e-07,0.183248521,0.658,0.602,0.010692411,"Gns",1.493824,0.618019,6.442867,5.40249
"518","Phf20l1",3.96e-09,0.183414612,0.573,0.499,0.000106194,"Phf20l1",0.085588,-0.482549,0.215052,0.296621
"519","Lamp1",9.39e-10,0.184209494,0.52,0.44,2.52e-05,"Lamp1",2.015294,0.653564,7.396632,6.280875
"520","Cyth3",1.28e-07,0.184695583,0.276,0.217,0.003422261,"Cyth3",0.067647,-0.219112,0.186659,0.28145
"521","Sec24a",1.59e-08,0.186111494,0.27,0.209,0.000426933,"Sec24a",0.029412,1.058471,0.371686,0.364048
"522","Mgat5",9.48e-09,0.188045759,0.732,0.673,0.000253865,"Mgat5",0.022941,0.32792,0.278224,0.32647
"523","Trpm7",1.96e-11,0.188058701,0.589,0.502,5.26e-07,"Trpm7",0.115294,-0.705932,0.253037,0.316577
"524","Rlf",3.31e-12,0.189444474,0.43,0.344,8.87e-08,"Rlf",0.088529,-1.172839,1.434571,1.015508
"525","Atf6",1.99e-17,0.189527486,0.504,0.4,5.33e-13,"Atf6",0.189706,-0.108876,0.175373,0.275636
"526","Myo9a",1.35e-12,0.189607795,0.679,0.59,3.62e-08,"Myo9a",0.139412,-0.161963,0.031589,0.220607
"527","Mbnl2",4.54e-07,0.189719277,0.706,0.658,0.012162856,"Mbnl2",0.310882,-0.559162,0.187399,0.28149
"528","Vps13b",5.44e-12,0.191068189,0.665,0.579,1.46e-07,"Vps13b",0.032059,-0.154863,0.159384,0.274994
"529","Psmd1",5.34e-10,0.191604867,0.307,0.237,1.43e-05,"Psmd1",0.192353,-0.273257,0.378089,0.366784
"530","Wdr7",5.43e-08,0.191850805,0.343,0.277,0.001454498,"Wdr7",0.045294,-0.285077,0.039769,0.223122
"531","Vmp1",5.02e-13,0.192694121,0.335,0.255,1.34e-08,"Vmp1",0.107647,-0.175943,0.013583,0.21344
"532","Hexa",5.09e-09,0.194258168,0.47,0.394,0.000136297,"Hexa",1.585,1.191048,24.210447,22.333244
"533","Snx3",1.31e-12,0.195452934,0.27,0.196,3.51e-08,"Snx3",0.261176,0.327565,2.143565,1.545547
"534","Tns1",3.57e-10,0.19712743,0.377,0.302,9.57e-06,"Tns1",0.085294,-0.168038,0.020219,0.216285
"535","Add1",2.36e-13,0.198016874,0.38,0.294,6.33e-09,"Add1",0.204118,-0.712012,0.285563,0.329802
"536","B2m",2.19e-12,0.198174573,0.464,0.376,5.85e-08,"B2m",7.072353,1.374797,59.855107,57.156719
"537","Rhoa",7.39e-15,0.199668222,0.454,0.358,1.98e-10,"Rhoa",0.38,-0.22034,0.100097,0.247891
"538","Cbfb",5.42e-12,0.200718134,0.409,0.325,1.45e-07,"Cbfb",0.184706,-0.338537,0.036254,0.221669
"539","St6gal1",8.31e-08,0.201645362,0.471,0.401,0.002225431,"St6gal1",0.075588,1.314178,2.938745,2.215788
"540","Anxa3",2.27e-12,0.201656217,0.801,0.737,6.08e-08,"Anxa3",0.360588,0.715602,2.429478,1.787519
"541","Klhl6",7.92e-10,0.202312198,0.418,0.341,2.12e-05,"Klhl6",0.143529,1.04843,4.514069,3.605438
"542","Chd4",4.37e-11,0.20303098,0.395,0.314,1.17e-06,"Chd4",0.383235,-0.182504,0.07526,0.23661
"543","Atxn2",9.5e-10,0.204409011,0.44,0.362,2.54e-05,"Atxn2",0.121176,-1.395107,0.987955,0.71076
"544","Ralgapa1",1.59e-13,0.205213138,0.527,0.432,4.26e-09,"Ralgapa1",0.020294,1.247,0.566478,0.469335
"545","Sec24b",3.24e-11,0.20549844,0.367,0.288,8.67e-07,"Sec24b",0.058235,0.247,0.158259,0.275117
"546","Cln3",3.09e-12,0.205900922,0.274,0.201,8.26e-08,"Cln3",0.137353,0.665123,1.537075,1.087274
"547","Clip1",4.94e-17,0.2080648,0.454,0.353,1.32e-12,"Clip1",0.196765,0.498668,2.334135,1.703003
"548","Ankhd1",4.69e-15,0.20845469,0.644,0.545,1.26e-10,"Ankhd1",0.101765,-0.636882,0.11703,0.255994
"549","Rab8b",9.32e-11,0.209899174,0.692,0.618,2.5e-06,"Rab8b",0.237941,-0.422892,1.92045,1.37205
"550","Tsc22d2",6.74e-09,0.2104399,0.417,0.343,0.000180531,"Tsc22d2",0.104706,-0.736881,0.371399,0.363872
"551","Ggnbp2",2.83e-11,0.210696733,0.427,0.343,7.58e-07,"Ggnbp2",0.197941,-0.573816,0.247128,0.315524
"552","Pign",1.1e-09,0.211967023,0.412,0.335,2.94e-05,"Pign",0.018529,0.808878,1.58388,1.121651
"553","Ifngr2",1.33e-14,0.213092864,0.527,0.428,3.56e-10,"Ifngr2",0.565294,-0.166537,0.178181,0.277147
"554","Fam120a",4.63e-11,0.213451397,0.346,0.268,1.24e-06,"Fam120a",0.113529,0.305594,1.121398,0.804576
"555","Tgfbr1",1.13e-14,0.213493396,0.972,0.941,3.03e-10,"Tgfbr1",2.848824,-0.674167,8.196404,7.061793
"556","Cd180",2.4e-08,0.214559354,0.574,0.511,0.000642204,"Cd180",0.39,1.147347,8.198211,7.062116
"557","Bmpr2",4.41e-10,0.215160107,0.506,0.426,1.18e-05,"Bmpr2",0.095,-1.060485,0.994196,0.715351
"558","Npc1",3.55e-08,0.215716712,0.342,0.275,0.000951383,"Npc1",0.350294,-0.295883,0.344467,0.35269
"559","Dnm1l",4.99e-10,0.215751511,0.271,0.202,1.34e-05,"Dnm1l",0.079118,-0.525255,0.041481,0.223477
"560","Ankrd17",9.63e-10,0.215816284,0.631,0.555,2.58e-05,"Ankrd17",0.199118,-0.670183,0.433509,0.395986
"561","Creb3l2",3.24e-08,0.216460009,0.322,0.257,0.000867034,"Creb3l2",0.115294,0.871888,2.126328,1.531316
"562","Zfc3h1",2.45e-10,0.217042265,0.453,0.373,6.57e-06,"Zfc3h1",0.052647,-0.348073,0.021167,0.216956
"563","Rps6ka3",1.1e-09,0.217227759,0.534,0.455,2.96e-05,"Rps6ka3",0.065882,-0.998113,1.250976,0.893032
"564","Trip12",7.3e-13,0.217523893,0.635,0.546,1.96e-08,"Trip12",0.204706,-0.396662,0.708166,0.544439
"565","Znfx1",2.72e-08,0.219345225,0.305,0.24,0.000729579,"Znfx1",0.179412,-0.575213,0.43323,0.396182
"566","Gnb1",5.8e-16,0.219461599,0.569,0.465,1.55e-11,"Gnb1",0.453529,-0.351357,0.306991,0.33999
"567","Coro7",2.02e-11,0.219468711,0.28,0.207,5.4e-07,"Coro7",0.081765,-1.702016,0.06946,0.23536
"568","Arf4",2.12e-13,0.220885906,0.312,0.231,5.68e-09,"Arf4",0.267059,-0.136605,0.34902,0.353493
"569","Trim30a",4.42e-10,0.221678192,0.533,0.452,1.18e-05,"Trim30a",0.285588,-0.343173,0.089389,0.243557
"570","Ube2l3",6.35e-14,0.222196066,0.282,0.202,1.7e-09,"Ube2l3",0.217353,-0.12004,0.861936,0.631341
"571","Tcirg1",4.14e-10,0.222320412,0.459,0.379,1.11e-05,"Tcirg1",0.190588,0.18211,0.921118,0.669111
"572","Snx10",7.57e-11,0.223257619,0.391,0.31,2.03e-06,"Snx10",0.076176,1.233006,1.026406,0.738796
"573","Cap1",2.05e-10,0.223558452,0.417,0.338,5.48e-06,"Cap1",0.589118,-0.463559,0.858451,0.629148
"574","Gse1",4.25e-10,0.224038838,0.309,0.237,1.14e-05,"Gse1",0.072941,-1.056145,0.26819,0.321466
"575","Mbd2",8.5e-12,0.224087249,0.326,0.247,2.28e-07,"Mbd2",0.144706,0.3199,0.808239,0.597166
"576","Ano6",1.9e-12,0.224141925,0.382,0.297,5.09e-08,"Ano6",0.1,-1.168038,1.276989,0.91104
"577","Wdfy1",1.04e-12,0.224700457,0.322,0.241,2.8e-08,"Wdfy1",0.178529,0.327876,0.648449,0.509818
"578","Tnpo1",1.05e-11,0.225161657,0.545,0.46,2.81e-07,"Tnpo1",0.166176,-1.623644,2.401293,1.761711
"579","Blnk",4.81e-13,0.225178433,0.783,0.715,1.29e-08,"Blnk",0.417353,-0.350984,0.194207,0.284076
"580","Raf1",3.91e-13,0.228269351,0.405,0.316,1.05e-08,"Raf1",0.089706,-1.29142,0.388565,0.37266
"581","Cbl",6.67e-10,0.228630121,0.563,0.49,1.79e-05,"Cbl",0.124412,-0.859129,0.554266,0.462797
"582","Atp9b",1.48e-13,0.229291843,0.61,0.519,3.95e-09,"Atp9b",0.109412,-1.006757,0.371019,0.363602
"583","Gpcpd1",2.88e-10,0.229914226,0.45,0.37,7.71e-06,"Gpcpd1",0.050588,0.545249,0.676058,0.525599
"584","Gusb",4.63e-12,0.231029085,0.341,0.259,1.24e-07,"Gusb",0.512059,1.791202,27.188383,25.220374
"585","Klf13",4.05e-13,0.231047167,0.251,0.176,1.08e-08,"Klf13",0.218824,-1.160302,1.396594,0.990739
"586","Vdac2",3.62e-15,0.231290176,0.303,0.217,9.7e-11,"Vdac2",0.454118,0.787364,3.385123,2.612305
"587","Vps54",2.49e-16,0.235751351,0.6,0.495,6.66e-12,"Vps54",0.072941,-0.264253,0.037357,0.22192
"588","Rheb",1.4e-12,0.235919231,0.272,0.196,3.75e-08,"Rheb",0.139412,0.74735,2.090337,1.506309
"589","Map3k1",2.58e-12,0.236046875,0.361,0.277,6.9e-08,"Map3k1",0.121471,-0.500484,0.051013,0.228193
"590","Tmem184b",3.01e-12,0.236232798,0.32,0.24,8.07e-08,"Tmem184b",0.15,0.548415,1.745122,1.241595
"591","Arpc1b",4.84e-15,0.236311489,0.415,0.319,1.3e-10,"Arpc1b",0.405588,0.355297,2.62674,1.946948
"592","Usp32",2.28e-14,0.236904308,0.401,0.308,6.12e-10,"Usp32",0.023235,0.718006,1.080659,0.772765
"593","Atp8a1",7.66e-17,0.237996625,0.827,0.759,2.05e-12,"Atp8a1",0.312353,-0.295793,0.027505,0.219677
"594","Nsf",5.72e-10,0.238534577,0.427,0.349,1.53e-05,"Nsf",0.058235,-0.337963,0.171623,0.274896
"595","Aff1",3.11e-07,0.239016952,0.384,0.322,0.0083188,"Aff1",0.150882,-1.470413,1.408953,0.998367
"596","Rcor1",2.04e-12,0.239459857,0.386,0.3,5.47e-08,"Rcor1",0.053235,1.202481,1.159892,0.833034
"597","Stx6",2.43e-14,0.239487626,0.275,0.194,6.5e-10,"Stx6",0.046176,0.331757,0.452165,0.406748
"598","Xpr1",2.34e-15,0.239496256,0.433,0.335,6.26e-11,"Xpr1",0.105588,-0.280838,0.004659,0.210445
"599","Il10rb",3.92e-13,0.239811833,0.337,0.252,1.05e-08,"Il10rb",0.366471,-0.431536,0.44314,0.401209
"600","Tor1aip1",2.88e-13,0.239839697,0.53,0.436,7.72e-09,"Tor1aip1",0.458235,-0.316137,0.526112,0.4489
"601","Ndel1",3.6e-15,0.240521689,0.296,0.21,9.66e-11,"Ndel1",0.085882,-0.392078,0.10853,0.251658
"602","Vps26a",1.48e-12,0.241587741,0.268,0.192,3.97e-08,"Vps26a",0.118824,0.348676,1.256651,0.896968
"603","Arfgef2",3.7e-11,0.242580737,0.291,0.216,9.9e-07,"Arfgef2",0.037941,0.786519,0.520881,0.446
"604","Ptpra",4.73e-12,0.242613558,0.677,0.605,1.27e-07,"Ptpra",0.516765,0.1392,1.108518,0.793946
"605","Pabpc1",3.83e-12,0.242931957,0.34,0.258,1.03e-07,"Pabpc1",0.645294,0.818751,8.169264,7.036133
"606","Strn",1.92e-15,0.243820605,0.294,0.208,5.13e-11,"Strn",0.043529,0.980061,1.032741,0.742805
"607","Npepps",1.48e-16,0.243856044,0.479,0.375,3.97e-12,"Npepps",0.163824,0.145057,0.015785,0.214129
"608","Clint1",3.08e-17,0.244000809,0.671,0.568,8.26e-13,"Clint1",0.220294,0.549927,0.4843,0.426766
"609","Impact",5.79e-11,0.246794517,0.353,0.275,1.55e-06,"Impact",0.048824,0.363813,0.567707,0.47002
"610","Cnot4",2.44e-15,0.247459827,0.682,0.592,6.52e-11,"Cnot4",0.061176,0.945304,0.975216,0.701301
"611","Nub1",1.24e-10,0.247506113,0.303,0.23,3.32e-06,"Nub1",0.118824,-1.241287,1.130848,0.811539
"612","Nek6",1.92e-11,0.24792001,0.38,0.298,5.14e-07,"Nek6",0.184706,0.255018,0.849842,0.624027
"613","Ahcyl1",1.95e-14,0.248576385,0.286,0.203,5.23e-10,"Ahcyl1",0.115588,-0.262861,0.388581,0.372564
"614","Pcnx",1.98e-15,0.24918137,0.3,0.214,5.29e-11,"Pcnx",0.037647,-0.213842,0.316499,0.346059
"615","Eef1a1",1.58e-15,0.249620563,0.536,0.434,4.24e-11,"Eef1a1",0.319412,0.609791,4.689214,3.761678
"616","Etv6",1.49e-12,0.251467942,0.82,0.783,4e-08,"Etv6",0.109118,-0.179751,0.183688,0.279962
"617","Zmiz1",5.31e-17,0.251697477,0.713,0.621,1.42e-12,"Zmiz1",0.162647,-0.716931,1.890091,1.352321
"618","Tmcc1",7.76e-16,0.251961131,0.685,0.591,2.08e-11,"Tmcc1",0.049412,-1.653465,1.358973,0.965668
"619","Daam1",5.1e-14,0.252404885,0.325,0.239,1.37e-09,"Daam1",0.040882,0.297984,1.415839,1.003851
"620","Klhl24",2.89e-10,0.252553175,0.402,0.327,7.74e-06,"Klhl24",0.146176,-0.44566,0.603985,0.487376
"621","Mat2a",2.71e-17,0.253679238,0.353,0.256,7.25e-13,"Mat2a",0.364412,-0.536108,0.877769,0.639339
"622","Ext1",1.3e-11,0.255869038,0.511,0.424,3.47e-07,"Ext1",0.030294,0.211551,0.252952,0.316586
"623","Tnfrsf1b",2.82e-11,0.255887156,0.311,0.235,7.55e-07,"Tnfrsf1b",0.507647,-1.594825,5.832865,4.83127
"624","Rin2",1.21e-08,0.256490106,0.466,0.406,0.00032524,"Rin2",0.473235,-0.116083,0.130383,0.261941
"625","P4ha1",9.24e-12,0.258335009,0.534,0.453,2.47e-07,"P4ha1",0.447353,-0.997375,1.350698,0.960607
"626","Usp9x",1.14e-13,0.262913103,0.569,0.478,3.06e-09,"Usp9x",0.083235,-1.335416,0.759578,0.569214
"627","Mnat1",2.52e-18,0.262992876,0.329,0.232,6.75e-14,"Mnat1",0.086471,-1.158257,0.683772,0.529296
"628","Prune2",1.32e-18,0.263658593,0.327,0.229,3.53e-14,"Prune2",0.041471,1.371891,1.268408,0.90648
"629","Arih1",6.98e-16,0.265141643,0.67,0.589,1.87e-11,"Arih1",0.071176,0.667986,0.907105,0.66127
"630","Lamp2",2.23e-19,0.265610667,0.651,0.539,5.97e-15,"Lamp2",0.870882,0.750789,7.051129,5.958854
"631","Samhd1",6.41e-07,0.265799484,0.348,0.292,0.017170716,"Samhd1",0.193824,-0.838686,1.83212,1.305458
"632","Cux1",1.31e-19,0.268524431,0.797,0.722,3.5e-15,"Cux1",0.169412,0.295032,2.719414,2.026957
"633","Aff4",1.24e-16,0.271073243,0.512,0.408,3.32e-12,"Aff4",0.152647,-0.386729,0.454267,0.407641
"634","H2-K1",8.18e-25,0.271591554,0.547,0.417,2.19e-20,"H2-K1",0.428824,2.197553,33.964708,31.840352
"635","Akirin1",1.15e-20,0.272290679,0.288,0.191,3.08e-16,"Akirin1",0.169706,-0.206039,0.194472,0.284252
"636","Ifnar1",2.52e-15,0.273760258,0.273,0.188,6.74e-11,"Ifnar1",0.077941,0.440325,1.703626,1.208338
"637","Smad7",2.08e-09,0.275585615,0.45,0.381,5.56e-05,"Smad7",0.329706,-1.478429,1.50309,1.065965
"638","Kpna3",5.64e-14,0.275693087,0.458,0.364,1.51e-09,"Kpna3",0.145882,0.34129,0.785455,0.585033
"639","Rbms1",5.27e-22,0.277991021,0.281,0.183,1.41e-17,"Rbms1",0.080882,0.456595,0.337636,0.353787
"640","Pip5k1c",3.14e-13,0.279041481,0.252,0.177,8.42e-09,"Pip5k1c",0.139412,0.265147,1.106274,0.792374
"641","Rai1",3.04e-15,0.280342153,0.392,0.296,8.13e-11,"Rai1",0.073235,-0.806112,0.098832,0.247476
"642","Hpcal1",4.26e-18,0.281413068,0.282,0.19,1.14e-13,"Hpcal1",0.074118,-0.458817,0.055225,0.230303
"643","Traf3",2.49e-13,0.283167664,0.428,0.338,6.66e-09,"Traf3",0.05,-1.085576,0.730102,0.553178
"644","Atp7a",1.8e-16,0.285148956,0.491,0.388,4.81e-12,"Atp7a",0.049118,0.343076,0.936338,0.676492
"645","Larp1",3.14e-19,0.286301465,0.527,0.414,8.41e-15,"Larp1",0.143529,-0.370855,0.491427,0.429903
"646","Mctp1",1.21e-28,0.286516615,0.788,0.676,3.25e-24,"Mctp1",0.034412,1.151422,0.442656,0.401084
"647","Dock2",7.73e-30,0.286567766,0.943,0.9,2.07e-25,"Dock2",0.330294,-0.675471,0.9024,0.657522
"648","Lpxn",2.56e-16,0.287322842,0.438,0.337,6.87e-12,"Lpxn",0.148824,-0.716403,0.013946,0.213528
"649","Sh3kbp1",6.05e-24,0.287662024,0.806,0.721,1.62e-19,"Sh3kbp1",0.237059,0.501507,2.157295,1.557118
"650","Pitpna",2.81e-18,0.288217275,0.534,0.423,7.52e-14,"Pitpna",0.175588,0.529238,1.359996,0.966421
"651","Lmo2",4.97e-14,0.289804383,0.441,0.351,1.33e-09,"Lmo2",0.405882,0.377358,1.23304,0.87929
"652","Ranbp2",1.31e-16,0.290017757,0.44,0.339,3.52e-12,"Ranbp2",0.059412,-1.018894,0.408629,0.383493
"653","Oxct1",6.16e-20,0.292643547,0.645,0.534,1.65e-15,"Oxct1",0.368824,0.919019,7.12831,6.026519
"654","Dlgap4",1.15e-18,0.293724664,0.347,0.246,3.08e-14,"Dlgap4",0.185294,-0.60306,0.135117,0.264017
"655","Lasp1",1.12e-21,0.295049834,0.269,0.171,2.99e-17,"Lasp1",0.282059,-0.12214,0.484855,0.426948
"656","Abi2",1.68e-18,0.298646807,0.253,0.164,4.51e-14,"Abi2",0.142941,-1.070483,0.146379,0.270568
"657","Eya4",3.47e-18,0.299910644,0.396,0.291,9.29e-14,"Eya4",0.014412,-0.39043,0.336811,0.353695
"658","Stim2",4.82e-21,0.301043756,0.251,0.157,1.29e-16,"Stim2",0.041176,2.268733,2.092222,1.507777
"659","Alkbh1",6.18e-24,0.302353958,0.337,0.225,1.65e-19,"Alkbh1",0.054412,-0.699419,0.118071,0.256244
"660","Tmem87b",6.39e-22,0.304062949,0.351,0.241,1.71e-17,"Tmem87b",0.104706,-1.321843,1.124903,0.807178
"661","Pid1",8.82e-11,0.305051985,0.668,0.664,2.36e-06,"Pid1",0.090882,-1.064461,1.4866,1.054208
"662","Daglb",4.38e-15,0.30611473,0.571,0.486,1.17e-10,"Daglb",0.407941,0.250636,0.264759,0.320719
"663","Nptn",1.27e-21,0.307888719,0.653,0.541,3.4e-17,"Nptn",0.649118,0.478979,1.348045,0.959553
"664","Timp2",2.49e-20,0.30791729,0.329,0.225,6.68e-16,"Timp2",1.250294,1.104524,15.735754,14.224181
"665","Rpl23",8.94e-19,0.308785874,0.264,0.173,2.39e-14,"Rpl23",0.468529,1.581372,19.919881,18.221493
"666","Apaf1",3.26e-19,0.31083885,0.289,0.193,8.72e-15,"Apaf1",0.025588,0.988931,0.790499,0.587828
"667","Mpp6",8.85e-16,0.311370922,0.378,0.283,2.37e-11,"Mpp6",0.056176,0.287956,0.071867,0.235685
"668","Msra",1.11e-23,0.311793089,0.262,0.161,2.97e-19,"Msra",0.020882,0.589106,1.292828,0.92231
"669","Adam17",1.39e-18,0.317640806,0.528,0.422,3.73e-14,"Adam17",0.358529,-0.247093,0.012428,0.213039
"670","Acer3",2.31e-28,0.318057833,0.745,0.621,6.18e-24,"Acer3",0.317059,0.165088,1.967167,1.409444
"671","Tmem189",1.72e-21,0.318728991,0.283,0.182,4.62e-17,"Tmem189",0.118824,0.817607,3.677555,2.866362
"672","Runx1",1.04e-24,0.320705308,0.891,0.837,2.79e-20,"Runx1",0.390882,-0.578379,0.137797,0.26516
