"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"304","Orc3",2.05e-10,-0.241011851,0.289,0.342,5.49e-06,"Orc3",0.059118,-2.011735,0.738539,0.555362
"305","Pacsin2",3.24e-12,-0.239441453,0.352,0.396,8.69e-08,"Pacsin2",0.326471,-0.745223,1.387187,0.984915
"306","E2f3",2.14e-10,-0.239329313,0.31,0.356,5.72e-06,"E2f3",0.081471,-3.194317,2.552662,1.887698
"307","Rbm26",1.95e-15,-0.238339439,0.594,0.648,5.22e-11,"Rbm26",0.113529,-0.475093,0.429584,0.39419
"308","Atf7ip",1.19e-12,-0.235974198,0.421,0.455,3.19e-08,"Atf7ip",0.21,-1.670538,1.768251,1.259143
"309","B4galt1",1.41e-10,-0.235833038,0.393,0.445,3.77e-06,"B4galt1",0.387647,-0.913787,1.659107,1.176225
"310","4632427E13Rik",1.27e-09,-0.23159236,0.344,0.39,3.41e-05,"4632427E13Rik",0.002059,3.805967,1.398183,0.991774
"311","Snx13",8.44e-17,-0.230033157,0.474,0.495,2.26e-12,"Snx13",0.149706,-0.283043,0.705091,0.54263
"312","Srsf5",2.38e-14,-0.229998702,0.446,0.481,6.38e-10,"Srsf5",0.252941,-0.706777,1.431417,1.014347
"313","Srsf7",1.17e-13,-0.229486473,0.541,0.586,3.13e-09,"Srsf7",0.183529,-0.945645,1.230875,0.878595
"314","Kdm2b",1.66e-11,-0.228074101,0.327,0.368,4.45e-07,"Kdm2b",0.118529,-0.396409,0.610325,0.489428
"315","Fut8",7.51e-10,-0.22656522,0.262,0.294,2.01e-05,"Fut8",0.087941,-0.637152,0.070667,0.23523
"316","Rps6ka5",7.26e-08,-0.226537097,0.289,0.34,0.001944874,"Rps6ka5",0.053235,-1.667884,0.462171,0.412143
"317","Arhgap12",4.26e-13,-0.22389554,0.476,0.51,1.14e-08,"Arhgap12",0.198529,-1.263001,1.476522,1.047647
"318","Fermt3",1.26e-10,-0.221578339,0.472,0.517,3.38e-06,"Fermt3",0.361176,-0.819108,1.420691,1.007297
"319","Itgav",2.44e-09,-0.221138247,0.406,0.474,6.53e-05,"Itgav",0.327059,-1.270171,3.236866,2.481106
"320","Acvr1",6.95e-09,-0.220850168,0.262,0.321,0.000186087,"Acvr1",0.114706,-1.146012,0.836193,0.614383
"321","Slc38a9",1.74e-08,-0.220433891,0.344,0.39,0.000466208,"Slc38a9",0.141176,-0.395448,0.064575,0.235125
"322","Zfp90",5.05e-09,-0.219566652,0.222,0.275,0.000135337,"Zfp90",0.194118,-0.682611,0.941951,0.678531
"323","Lpin2",2.25e-13,-0.219478647,0.535,0.572,6.03e-09,"Lpin2",0.263529,-1.168038,3.006998,2.275338
"324","Tacc1",2.43e-13,-0.217595538,0.632,0.662,6.5e-09,"Tacc1",0.517941,-0.5622,1.572766,1.113364
"325","Senp7",8.73e-09,-0.216048541,0.263,0.303,0.000233823,"Senp7",0.075882,0.115356,1.051011,0.755528
"326","Pou2f2",4.29e-10,-0.215651698,0.522,0.585,1.15e-05,"Pou2f2",0.138235,-1.022187,1.024641,0.737662
"327","Nlk",2.14e-11,-0.215499168,0.372,0.399,5.74e-07,"Nlk",0.090294,-0.321608,0.151781,0.27269
"328","Rcbtb2",4.31e-12,-0.214923869,0.426,0.477,1.15e-07,"Rcbtb2",0.249706,0.257159,1.417917,1.005367
"329","Mon2",2.48e-12,-0.214599036,0.357,0.392,6.63e-08,"Mon2",0.157647,0.31662,0.141169,0.267882
"330","Cyld",1.38e-10,-0.214573145,0.336,0.371,3.69e-06,"Cyld",0.099706,0.240602,0.020994,0.216922
"331","Hmg20a",1.19e-09,-0.211546807,0.318,0.357,3.19e-05,"Hmg20a",0.034412,0.831962,0.084629,0.240926
"332","Mfap3",1.67e-09,-0.208983724,0.241,0.278,4.48e-05,"Mfap3",0.360588,-1.485267,2.159641,1.558597
"333","Creb1",8.06e-10,-0.207378227,0.374,0.404,2.16e-05,"Creb1",0.195882,-0.357592,0.397794,0.377013
"334","Snx2",3.2e-09,-0.207112828,0.331,0.357,8.56e-05,"Snx2",0.286765,-1.342409,2.384712,1.747022
"335","Il21r",6.64e-07,-0.207056465,0.255,0.307,0.017791198,"Il21r",0.162941,-1.872389,3.147596,2.405257
"336","Aftph",2.27e-13,-0.206890125,0.534,0.557,6.09e-09,"Aftph",0.330294,-1.015778,2.184521,1.581303
"337","Zmynd11",3.34e-08,-0.206576117,0.352,0.393,0.000895839,"Zmynd11",0.193235,-1.027942,1.227912,0.876609
"338","Jarid2",2.97e-07,-0.204345044,0.298,0.346,0.007948014,"Jarid2",0.059412,-0.636425,1.345451,0.957756
"339","Hnrnph3",2.83e-08,-0.203778519,0.27,0.31,0.000758851,"Hnrnph3",0.060882,-0.306936,0.132067,0.26258
"340","Wdfy4",3.73e-09,-0.203664539,0.393,0.438,9.99e-05,"Wdfy4",0.070882,-0.741077,0.185383,0.281135
"341","Stk10",4.5e-07,-0.203102045,0.298,0.344,0.012060334,"Stk10",0.227647,-1.113176,0.710937,0.545621
"342","Insr",2.05e-08,-0.202779313,0.347,0.398,0.000548101,"Insr",0.046765,-1.526725,0.636714,0.504764
"343","Nlrp1b",4.13e-10,-0.202196402,0.403,0.435,1.11e-05,"Nlrp1b",0.020294,-1.817131,0.293388,0.331894
"344","Nfat5",1.92e-10,-0.20055137,0.43,0.453,5.14e-06,"Nfat5",0.110294,-0.48038,0.162791,0.276146
"345","Asxl1",5.23e-08,-0.199627873,0.42,0.459,0.001401297,"Asxl1",0.062059,0.176952,0.032366,0.22061
"346","Pitpnc1",3.39e-09,-0.196691208,0.667,0.714,9.08e-05,"Pitpnc1",0.210882,-0.72313,0.676741,0.525666
"347","Pnn",5.88e-12,-0.196277456,0.467,0.488,1.57e-07,"Pnn",0.127647,-0.292965,0.134905,0.263967
"348","Morc3",1.47e-09,-0.196094456,0.439,0.484,3.94e-05,"Morc3",0.231765,-1.041897,3.353319,2.58435
"349","Stk4",5.9e-12,-0.195756648,0.344,0.366,1.58e-07,"Stk4",0.262353,-1.062047,1.2693,0.906871
"350","Rbm5",6.38e-13,-0.195179797,0.523,0.546,1.71e-08,"Rbm5",0.208529,-0.817501,1.293672,0.922898
"351","Bach2",5.08e-08,-0.194499794,0.53,0.562,0.001359853,"Bach2",0.119412,-1.341521,0.949713,0.681279
"352","Phkb",3.67e-09,-0.194420795,0.385,0.415,9.82e-05,"Phkb",0.057059,-1.244389,0.114525,0.25475
"353","Gmip",1.14e-08,-0.193207324,0.32,0.355,0.000306186,"Gmip",0.258235,-1.571076,1.440425,1.019359
"354","Dcun1d5",1.7e-06,-0.189181939,0.22,0.253,0.045575002,"Dcun1d5",0.125,-0.248305,0.112188,0.253357
"355","Atrx",5.37e-10,-0.188618294,0.541,0.577,1.44e-05,"Atrx",0.300294,-0.704373,1.558587,1.103857
"356","Rab3gap1",9.84e-11,-0.186689326,0.362,0.386,2.63e-06,"Rab3gap1",0.104412,-0.541681,0.054635,0.229931
"357","Mef2c",5.56e-23,-0.186257649,0.889,0.927,1.49e-18,"Mef2c",1.337647,-0.449461,1.654746,1.173513
"358","Setd2",5.3e-09,-0.185252351,0.456,0.494,0.000141824,"Setd2",0.229118,-0.860628,1.222762,0.875348
"359","Fam168a",7.01e-09,-0.183464875,0.399,0.429,0.00018777,"Fam168a",0.224118,-0.960325,0.931812,0.674529
"360","Tnfrsf21",3.44e-07,-0.182312751,0.271,0.301,0.009214487,"Tnfrsf21",0.551176,-0.258583,0.229143,0.304815
"361","Heatr5a",1.19e-08,-0.182141552,0.473,0.5,0.000317585,"Heatr5a",0.157353,-1.288918,1.399286,0.9926
"362","Senp2",3.11e-07,-0.179343675,0.448,0.491,0.008326493,"Senp2",0.136765,-0.128258,0.407126,0.38291
"363","Gbf1",6.64e-07,-0.178571794,0.35,0.37,0.017793872,"Gbf1",0.118529,-0.693391,0.491448,0.429799
"364","Phf21a",9.61e-08,-0.178383405,0.615,0.655,0.002574953,"Phf21a",0.066765,-0.994586,1.003204,0.722288
"365","Rsf1",7.45e-09,-0.175071058,0.379,0.405,0.000199478,"Rsf1",0.185,-0.973101,0.31626,0.346124
"366","Chd6",1.1e-07,-0.172556095,0.425,0.454,0.002944023,"Chd6",0.123529,-2.596881,2.562438,1.896467
"367","Dst",6.02e-17,-0.171798643,0.877,0.879,1.61e-12,"Dst",0.432059,-1.0127,1.701269,1.207679
"368","Sfpq",6.88e-10,-0.169966957,0.459,0.486,1.84e-05,"Sfpq",0.336471,-0.599989,0.419963,0.38856
"369","Cep170",8.16e-14,-0.168557227,0.429,0.431,2.18e-09,"Cep170",0.147059,-1.057007,2.04029,1.466976
"370","Snx29",3.29e-13,-0.168214456,0.842,0.875,8.8e-09,"Snx29",0.023235,-3.149891,0.172028,0.275215
"371","Ddx17",1.55e-09,-0.165965152,0.545,0.575,4.16e-05,"Ddx17",0.425294,-0.907667,2.985639,2.256899
"372","A630001G21Rik",2.85e-08,-0.164664454,0.374,0.401,0.000763592,"A630001G21Rik",0.091176,-1.421794,1.039134,0.747073
"373","Wdr37",1.01e-07,-0.164607801,0.295,0.319,0.002713374,"Wdr37",0.079118,-0.296986,0.500133,0.433062
"374","Ptprj",2.96e-14,-0.16422751,0.74,0.802,7.92e-10,"Ptprj",0.134412,-0.146107,0.386094,0.37109
"375","Hk2",8.17e-07,-0.16287937,0.475,0.517,0.021884543,"Hk2",0.362647,-0.24617,0.574318,0.471839
"376","Ppp6r3",1.12e-08,-0.162789831,0.342,0.363,0.000300876,"Ppp6r3",0.159412,-1.665224,2.047556,1.472202
"377","Smurf2",4.43e-08,-0.161414395,0.434,0.456,0.001185942,"Smurf2",0.14,-0.996766,1.78414,1.267238
"378","Nek7",1.94e-07,-0.159648735,0.642,0.672,0.005187361,"Nek7",0.117059,-0.320847,0.062279,0.233855
"379","Zbtb20",1.15e-11,-0.159322047,0.855,0.89,3.09e-07,"Zbtb20",0.256765,-1.360447,2.145751,1.546871
"380","Tbl1xr1",7.25e-09,-0.158718265,0.538,0.556,0.000194286,"Tbl1xr1",0.203235,-0.161788,0.246105,0.31478
"381","Tardbp",1.8e-06,-0.156382905,0.251,0.276,0.048103262,"Tardbp",0.145882,-0.360683,0.178869,0.277142
"382","Capza2",1.02e-08,-0.153450187,0.478,0.503,0.00027345,"Capza2",0.928824,-0.654562,2.466836,1.820083
"383","Rnf169",5.82e-09,-0.150685353,0.543,0.549,0.00015583,"Rnf169",0.116176,-0.171695,0.320429,0.346829
"384","Dnm2",6.11e-08,-0.150288538,0.529,0.552,0.001635243,"Dnm2",0.439706,-1.088259,2.353135,1.719673
"385","Comt",3.72e-07,-0.148300461,0.496,0.518,0.009952754,"Comt",0.882059,-0.733885,3.317401,2.552247
"386","Ctss",8.38e-11,-0.147467844,0.864,0.864,2.24e-06,"Ctss",12.234706,0.387942,10.465954,9.190812
"387","Fcho2",4.79e-08,-0.147421876,0.639,0.661,0.00128244,"Fcho2",0.226765,-1.093289,1.281758,0.914798
"388","Dmxl1",2.55e-09,-0.144525994,0.435,0.443,6.83e-05,"Dmxl1",0.092647,-0.109694,0.203302,0.289353
"389","Tial1",8.24e-07,-0.143147973,0.35,0.375,0.022065021,"Tial1",0.15,-0.441292,0.874975,0.639546
"390","Smap2",2.79e-08,-0.13703844,0.718,0.752,0.000746886,"Smap2",0.792353,-0.41002,1.567079,1.108928
"391","Hnrnpa2b1",7.78e-07,-0.136353686,0.807,0.823,0.020844216,"Hnrnpa2b1",0.861765,-0.220177,0.600906,0.486142
"392","Scaper",1.71e-07,-0.134651527,0.457,0.461,0.004590235,"Scaper",0.045,-0.275679,0.31664,0.345996
"393","Arl15",1.11e-06,-0.134166482,0.597,0.601,0.029634301,"Arl15",0.005588,1.107597,0.03177,0.220577
