Gene,DAM,MG2
Cflar,-0.42243,-0.414699351
Gnl3,-0.466287,0.390836874
Hps3,-2.280561,-0.434998327
Atp6v0d1,0.412399,0.40591251
Il10ra,-1.277483,-0.409011724
Ankrd12,0.378504,0.369146516
Sgpl1,0.21522,0.400940064
Dock2,-0.675471,0.286567766
Nfkb1,-0.5472,0.451208259
Amz1,0.485786,0.4189721
Pip4k2a,-1.112632,-0.298041757
4930402H24Rik,-3.400699,0.404123604
Camk2d,-0.859451,-0.328634215
Sat1,0.197418,0.367900281
Tlk1,0.222071,0.388811469
Csad,-2.131512,-0.455925427
Maml1,-0.502107,-0.444230077
Mctp1,1.151422,0.286516615
Rassf2,-0.548383,-0.419224724
Stab1,-2.526207,-0.559003596
Cep68,-3.43248,-0.443956787
Acer3,0.165088,0.318057833
Tnrc6b,-1.890764,-0.350389144
Arsb,-0.345137,-0.491696829
Frrs1,1.693831,0.333349451
Casp8,-1.256593,-0.413153339
Git2,-1.230534,-0.356385762
Mycbp2,-0.71658,-0.267751789
Prickle1,0.883492,0.495204807
Cdk17,-0.313088,0.394353689
Vav2,-1.168038,-0.412135215
Slc11a1,0.486455,0.373477057
C1qb,-0.49408,-0.356294158
Tbc1d22a,-0.710875,0.3356827
Samsn1,0.283553,0.423110255
C1qc,-0.467267,-0.350353619
Plcg2,-1.054656,-0.342037501
Tab2,-1.174941,-0.38623462
Gpr183,-0.901523,0.448532678
Smad3,-1.045403,-0.452396091
Rasa1,-0.156065,0.330617361
Slc44a1,1.745922,0.354517438
Prpsap2,-0.565153,-0.420978971
Cyba,0.603585,0.342332251
Asap1,0.912999,0.345872795
Eprs,0.60957,0.344303868
Rragc,0.400912,0.333428966
H2-K1,2.197553,0.271591554
Fndc3b,0.253986,0.343199998
Tor3a,-0.172904,0.411141237
Runx1,-0.578379,0.320705308
Klf7,-2.534684,-0.440173425
Hltf,-0.863584,-0.368948522
Ssbp2,-0.702374,-0.402053304
Sdcbp,0.600163,0.365811535
Marcks,-1.293206,-0.370548223
Ctsl,1.456878,0.384950117
Rab40c,-0.99116,0.384700137
C1qa,-0.215596,-0.326058526
Sh3kbp1,0.501507,0.287662024
Alkbh1,-0.699419,0.302353958
Man1c1,0.388203,0.348931738
Rnf213,-0.639489,0.490826333
Msra,0.589106,0.311793089
Tsc22d4,-0.8199,-0.348679137
Akirin2,-1.243536,-0.393610751
Arglu1,-0.465914,-0.326179454
Pld4,-0.602282,-0.387608339
Gtf2i,-1.330853,-0.377502215
Cryl1,-1.008611,-0.40467018
Lrch1,-1.105672,-0.25171744
Mef2c,-0.449461,-0.186257649
Dpysl2,-0.315112,-0.394864882
Fnbp1,-0.206308,-0.315155071
Rhoh,-1.012583,-0.357434012
Atp13a2,-0.124599,0.345207826
Npc2,1.672936,0.35153026
Thada,-1.52559,-0.372706353
Klf3,-1.191551,-0.360402677
Gdi2,0.108365,-0.313364851
Rbms1,0.456595,0.277991021
Tmem87b,-1.321843,0.304062949
Fyco1,-3.200459,-0.380356982
Lasp1,-0.12214,0.295049834
Pts,-0.970006,-0.379177375
Nptn,0.478979,0.307888719
Man1a2,-0.556976,-0.312712063
Ehd4,-0.366399,0.325866959
Med14,1.116692,0.383216173
Tmem189,0.817607,0.318728991
Pacs1,-0.189518,-0.391704348
Ppcdc,-1.210266,-0.343617111
Cdk6,0.340109,0.496551985
Ctsc,0.223483,0.437047116
Aig1,1.201608,0.408006871
Stim2,2.268733,0.301043756
Itga6,-0.904468,-0.353762983
Chka,-0.501164,0.349282654
Akirin1,-0.206039,0.272290679
Arid1a,-0.739486,-0.315973428
Agps,-1.008183,-0.339756426
Nadk,-0.62747,0.362543863
Fgd4,0.508072,0.344841652
Timp2,1.104524,0.30791729
Lpcat1,-0.107917,0.324959832
Snx30,-0.668243,0.32401105
Fcgr3,0.191917,-0.355669924
Ccm2,-1.052858,-0.348755832
Samd8,-0.500854,0.350383522
Stambpl1,-3.111454,-0.367680057
Oxct1,0.919019,0.292643547
Ptk2b,0.459259,0.350677806
Prex1,-0.584776,-0.271055648
Helz,-2.420101,-0.331349515
Msn,-0.183356,0.335930787
Cux1,0.295032,0.268524431
Acss1,-1.482039,-0.374437877
Lamp2,0.750789,0.265610667
Rasal3,-0.493304,-0.289423959
Tmem135,-1.179136,-0.276933783
Adam10,-0.412605,-0.322309324
Fkbp5,-0.508171,-0.376398659
Larp1,-0.370855,0.286301465
Cnot2,-0.968213,-0.280146542
Apaf1,0.988931,0.31083885
Tbc1d5,-1.003582,-0.251436564
Ccnl1,0.303943,0.330975895
Slc12a9,-0.716141,-0.363671119
Cebpz,-0.621886,-0.336395391
Ttc7,-1.904066,-0.35726776
Tspan14,-1.359763,-0.341713938
Parp8,-1.844923,-0.323938151
Rpl23,1.581372,0.308785874
Dlgap4,-0.60306,0.293724664
Prune2,1.371891,0.263658593
Adam17,-0.247093,0.317640806
Abi2,-1.070483,0.298646807
Ncf1,-0.981819,-0.350230283
Strada,0.240427,-0.34412866
Kdm3b,-1.253429,-0.310849875
Mnat1,-1.158257,0.262992876
Pitpna,0.529238,0.288217275
Eya4,-0.39043,0.299910644
Cd37,0.359621,-0.293276902
Spire1,-0.148561,-0.290601737
Hpcal1,-0.458817,0.281413068
Rnf150,0.657188,0.378645374
Gfm2,-0.496874,-0.256162835
Crlf3,-1.22971,-0.278750692
Lrrk1,-0.119829,-0.299870199
Abcc3,-1.514995,-0.352726105
Ccdc93,-1.026451,-0.32422762
Atf6,-0.108876,0.189527486
Evi5,-0.316715,-0.33591534
Mat2a,-0.536108,0.253679238
Cadm1,2.492552,0.349627571
Clint1,0.549927,0.244000809
Ccni,-0.122447,-0.329244684
Ptprm,1.293866,-0.269647231
Stat2,0.15389,0.324532184
Clip1,0.498668,0.2080648
Zmiz1,-0.716931,0.251697477
Lrp5,-1.035099,-0.325109065
Dst,-1.0127,-0.171798643
Atp8a1,-0.295793,0.237996625
Abcb1b,-0.850848,0.343735338
Slc7a8,-0.54707,-0.291773887
Snx13,-0.283043,-0.230033157
Anks1,-1.095602,-0.306439022
Aff4,-0.386729,0.271073243
Ranbp2,-1.018894,0.290017757
Npepps,0.145057,0.243856044
Atp7a,0.343076,0.285148956
Vps54,-0.264253,0.235751351
