,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Eprs,4.39E-54,0.315141334,0.258,0.146,1.10E-49
Atp2b1,6.19E-20,0.321676039,0.261,0.174,1.55E-15
Srsf11,4.03E-37,0.323580539,0.279,0.175,1.01E-32
Gm37240,9.87E-36,0.324857628,0.339,0.223,2.47E-31
Zfand3,7.79E-36,0.330971016,0.282,0.178,1.95E-31
Samd4,1.40E-28,0.338122454,0.41,0.295,3.52E-24
Eef1a1,3.98E-35,0.338995967,0.318,0.208,9.96E-31
Gbf1,1.36E-35,0.342208243,0.255,0.155,3.40E-31
Dock1,7.47E-42,0.345098874,0.725,0.571,1.87E-37
Jmjd1c,1.54E-33,0.359193564,0.334,0.22,3.87E-29
Birc6,4.51E-42,0.360065923,0.344,0.219,1.13E-37
Igf1r,9.64E-47,0.361570981,0.416,0.275,2.41E-42
Ankrd11,1.12E-44,0.362761408,0.369,0.238,2.80E-40
Kirrel3,4.38E-28,0.366716965,0.746,0.629,1.10E-23
Mark3,1.52E-42,0.372776595,0.297,0.179,3.81E-38
Prrc2c,9.87E-53,0.381142274,0.35,0.211,2.47E-48
Cadm1,7.58E-36,0.39360398,0.509,0.364,1.90E-31
Arhgef12,6.47E-55,0.414307145,0.365,0.218,1.62E-50
Cdk12,4.16E-57,0.425350469,0.318,0.174,1.04E-52
Exoc4,9.86E-58,0.449683125,0.685,0.499,2.47E-53
Tanc2,1.61E-34,0.452513165,0.421,0.284,4.03E-30
Dip2c,4.16E-50,0.495695859,0.552,0.376,1.04E-45
Arid5b,7.57E-33,0.530536165,0.349,0.222,1.90E-28
Rnf169,5.17E-49,0.538640284,0.279,0.146,1.29E-44
Dusp10,1.90E-47,0.53984328,0.259,0.132,4.75E-43
Lrrc8b,1.45E-49,0.550137125,0.388,0.231,3.62E-45
Frmd4a,2.98E-44,0.584622868,0.338,0.193,7.46E-40
Tenm4,3.52E-29,0.594385685,0.25,0.143,8.82E-25
Snhg11,6.51E-58,0.609489632,0.429,0.256,1.63E-53
Ttr,4.97E-40,0.621416336,0.58,0.435,1.24E-35
Lrrc8c,2.56E-64,0.660705706,0.31,0.15,6.41E-60
Adgrl3,1.47E-44,0.709040685,0.332,0.186,3.68E-40
Aff2,1.27E-74,0.741077779,0.307,0.135,3.18E-70
Gab2,5.95E-88,0.749484707,0.441,0.224,1.49E-83
Pvt1,2.13E-89,0.786112331,0.502,0.272,5.35E-85
Ddhd1,7.64E-58,0.794822327,0.3,0.143,1.91E-53
H3f3b,2.01E-73,0.794858699,0.354,0.17,5.03E-69
Abca1,1.65E-97,0.853318752,0.478,0.241,4.14E-93
Maml3,1.33E-83,0.983839105,0.287,0.107,3.34E-79
Nav2,2.06E-77,1.101245885,0.392,0.195,5.16E-73
Xist,0,3.034398921,0.486,0.001,0
