,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Vav2,3.93E-27,-0.412135215,0.253,0.345,1.05E-22
Zfp652,6.94E-39,-0.410938561,0.578,0.7,1.86E-34
Ly86,6.24E-48,-0.410086649,0.799,0.853,1.67E-43
Il10ra,2.10E-30,-0.409011724,0.377,0.484,5.63E-26
Ly6e,6.06E-24,-0.406556136,0.269,0.372,1.62E-19
Cryl1,4.28E-23,-0.40467018,0.246,0.337,1.15E-18
Ssbp2,2.24E-24,-0.402053304,0.361,0.456,6.01E-20
Rnf216,1.62E-38,-0.398854989,0.632,0.707,4.34E-34
Map3k3,5.98E-32,-0.39762055,0.482,0.58,1.60E-27
Rock2,3.25E-32,-0.397410179,0.536,0.623,8.71E-28
Rptor,3.59E-37,-0.396899037,0.563,0.656,9.60E-33
Dpysl2,7.80E-23,-0.394864882,0.216,0.314,2.09E-18
Akirin2,1.29E-23,-0.393610751,0.201,0.293,3.46E-19
Pacs1,1.81E-21,-0.391704348,0.36,0.449,4.86E-17
Itm2b,8.44E-39,-0.390676385,0.7,0.776,2.26E-34
4930517O19Rik,3.61E-19,-0.388569295,0.281,0.372,9.66E-15
Pld4,2.15E-23,-0.387608339,0.293,0.395,5.76E-19
Tab2,2.03E-26,-0.38623462,0.323,0.413,5.44E-22
Ubash3b,2.44E-36,-0.385776149,0.666,0.76,6.53E-32
Mir99ahg,2.01E-53,-0.384873493,0.853,0.901,5.39E-49
Map2k6,5.63E-22,-0.384230978,0.166,0.269,1.51E-17
Rp2,5.13E-20,-0.381349138,0.224,0.308,1.37E-15
Fyco1,6.88E-22,-0.380356982,0.255,0.352,1.84E-17
Pts,1.24E-21,-0.379177375,0.208,0.29,3.31E-17
Gtf2i,3.29E-23,-0.377502215,0.321,0.413,8.82E-19
Fkbp5,2.71E-19,-0.376398659,0.353,0.433,7.25E-15
Acss1,1.37E-19,-0.374437877,0.258,0.355,3.68E-15
