gene,MG3,DAM
Laptm5,-0.478504943,-0.129962
Dip2b,-0.482511966,-0.860929
Pik3r1,-0.489809235,-2.078308
Pkig,-0.493614801,-0.172226
Ankrd44,-0.502186704,-1.280359
Numb,-0.502807125,-1.136548
Lgmn,-0.541739888,-0.652843
Gpr34,-0.546256751,-0.85822
Ssh2,-0.549054733,-1.334791
Bin2,-0.553995691,-1.735722
Tjp1,-0.556314106,-1.802008
Golm1,-0.559115091,-0.806389
Sall1,-0.562655806,-1.189528
Dock4,-0.564785025,-1.3263
Arhgap5,-0.571771025,-0.809996
Dock10,-0.572039988,-1.366818
Inpp5d,-0.576742477,-0.829083
Rgs10,-0.578823906,-0.485482
Plxna4,-0.580456735,-3.054751
Nrip1,-0.584017192,-1.510853
Frmd4a,-0.590894537,-1.284002
Slc24a3,-0.596144257,-0.736322
Pmepa1,-0.597026589,-1.11316
Il6ra,-0.603489613,-1.789221
Fam102b,-0.607741594,-0.688795
Nav3,-0.623815487,-1.278034
Cx3cr1,-0.634088083,-1.359911
Csf1r,-0.634235122,-0.468992
Slco2b1,-0.637840558,-1.270084
Nfia,-0.641388721,-1.026808
St3gal6,-0.644833554,-1.05862
Serinc3,-0.645547116,-0.907111
Chd9,-0.652168929,-2.494331
Capn3,-0.653071583,0.299384
Itga9,-0.660782199,-1.940203
Tanc2,-0.673970825,-0.956633
Pde3b,-0.686622556,-1.007211
Ccr5,-0.697050314,-2.340838
Bbs9,-0.711423939,-1.328503
Ivns1abp,-0.712431651,-1.274347
Srgap2,-0.714374732,-1.736531
Abca9,-0.714882972,-1.460019
0610040J01Rik,-0.71617723,-0.983298
Med12l,-0.717308598,-3.53626
Elmo1,-0.720816084,-1.463565
Maf,-0.728464773,-2.252391
Agmo,-0.731297752,-0.396307
Sparc,-0.732086432,-0.83641
4933406I18Rik,-0.739765144,-2.168038
Rapgef5,-0.757422479,-2.787766
Pld1,-0.763007679,-2.348494
Lrba,-0.795523552,-2.646691
Fchsd2,-0.81043847,-1.797718
Zfhx3,-0.822674012,-1.976092
Ptgs1,-0.840660137,-1.032244
Fgd2,-0.924937689,-1.816765
P2ry12,-0.955805385,-2.051548
Prkca,-0.976700311,-0.925677
Cst3,-1.087671142,-0.22888
Selplg,-1.260407511,-1.225303
Siglech,-1.35275126,-0.917863
