symbol,LogFC,FDR
Sgsm2,0.372476618,0.010937557
Adam9,0.372490465,0.0000284
Srgap1,0.37345771,4.24E-08
Bcl6,0.37407039,0.0000436
Cox7a1,0.374906941,0.030367674
Dtx1,0.3757998,0.02167622
Large1,0.37674112,0.004032584
Trmt61a,0.378985811,0.001128018
Zbtb7b,0.380048952,0.00000655
Sipa1l2,0.38125414,0.0000158
Tle3,0.382260811,0.00000152
Atp6v0a2,0.382607099,3.47E-09
Lgals2,0.383561724,0.003999051
Pcdhb20,0.383678136,0.016120194
Crmp1,0.383827033,0.011913369
Rps27l,0.383831623,0.000524919
Amt,0.384618718,0.008802332
Btg1,0.385590797,0.008690966
Zfp219,0.385770937,0.041111465
Dmd,0.386101729,0.003533381
Fam83d,0.386320648,0.023207497
Ephx4,0.386402872,0.006516343
Ankrd28,0.386948045,7.23E-08
Gab2,0.386982066,0.00265439
Snx9,0.387044419,0.000116166
Zfp593,0.387587451,0.00000715
Xaf1,0.387656884,0.00000274
Gdap1l1,0.387758524,0.022054808
Ssbp3,0.389275621,0.00000337
Jmjd1c,0.389425687,2.15E-08
Nudt7,0.391653128,0.003112232
Evi5,0.391787437,0.001675655
Pcdhb19,0.392252109,0.010063436
Bin3,0.392585286,1.82E-08
Frmd4a,0.392780953,0.0000105
Fam214b,0.394254267,0.00000524
Zbtb1,0.39497449,0.000000837
Foxp4,0.395268289,0.0000965
Kdelr2,0.395304028,0.0000723
Zfp691,0.395529012,0.008242676
Rras,0.395752959,0.002527582
Dip2c,0.397110695,0.00000122
Rps2,0.397165535,0.014240315
Pde10a,0.397388125,0.020326934
Ankrd9,0.39757529,0.005292881
Polr1e,0.397638444,0.02578772
Trpv3,0.397922608,0.002196816
Itpkc,0.398248326,0.000528799
Bax,0.398846531,0.000120823
Kremen1,0.400352558,0.001420921
v2,0.400702043,0.000134977
Sspo,0.401106511,0.005403247
Txnip,0.401578939,0.000653428
t14,0.401860061,0.001041608
Hexa,0.402277706,0.003068174
Ehbp1,0.402659751,0.00000148
Synpo,0.404756229,0.000375485
Sh3gl2,0.406070157,0.0057814
Pramef8,0.406107891,0.000229392
Mfap3l,0.407281075,0.034943528
Arhgef19,0.407582462,0.02332573
Msrb1,0.407713635,0.000408972
Rcc2,0.407874546,0.004690874
Tnks1bp1,0.407943634,0.001153827
Slc25a20,0.408604886,0.020238444
Isoc2b,0.40920505,0.006682482
Rap2a,0.411888454,4.72E-08
Npr1,0.411938531,0.028651081
Cks1b,0.4159774,0.023152899
Nin,0.417616016,0.000318943
Cdyl,0.418130267,0.000000874
Prag1,0.418212638,0.000000511
4931428F04Rik,0.419008369,0.000397559
Rpsa,0.419408033,0.00050492
Npm3,0.421742306,0.001442831
Nrxn1,0.421747239,0.001834998
Ssh3,0.422047204,0.000459954
Slc8b1,0.422966883,0.005054264
Shc4,0.42444993,0.01687683
Csrnp1,0.426191028,0.034000538
Rab13,0.426324861,0.003338737
Fbxo4,0.426704231,0.0000255
Arap2,0.428998472,0.0000215
Pam,0.430234336,0.000165814
Sema7a,0.430432634,0.000103739
Rhoc,0.431399111,0.00012996
Inppl1,0.432411165,0.007288858
Zfp146,0.433323603,0.005811435
Mapk10,0.434866824,0.019249729
Lrrc8a,0.437046168,0.001160343
Ubxn11,0.43743003,0.043027573
Id4,0.438478535,0.008826547
Myl6b,0.439672064,0.036253225
Jun,0.441130924,0.0000435
Smad2,0.441344759,0.000000685
Nfkb2,0.442360618,0.009351762
Zfp467,0.444396928,0.00007
Eif4e3,0.444429774,8.67E-08
Katl1,0.444849681,4.13E-11
Sntb2,0.449635642,0.001101218
Spry2,0.450536972,0.001295074
Lhfpl2,0.452195522,0.000168374
Pafah2,0.452861816,0.001499016
Parp11,0.452865191,0.000192097
Tmem107,0.452933888,0.001476852
Sparc,0.453515357,0.001865692
Zfand4,0.453704946,0.003367258
Rassf4,0.454160319,0.000350534
Nme2,0.454677576,0.047862788
Eif4ebp3,0.454891107,0.000121903
Lad1,0.455249872,0.008043948
Phlda3,0.455311687,0.000000389
Klc2,0.45673212,0.002585653
Trex1,0.456876814,0.001688417
Tnik,0.457175983,0.000000914
Dll1,0.458483494,0.043022784
Rdh5,0.458670405,0.045057078
Abhd8,0.459263254,0.035390258
Mt1,0.460811233,0.001078273
44264,0.460867821,0.000265507
Mc1r,0.463127472,0.000785106
Pcdhb14,0.463451992,0.000765663
Zfp488,0.46739967,0.000181166
Tuba4a,0.467561003,0.023684907
Tmem59l,0.467932712,0.022334547
Pcdhb17,0.468591504,0.0000146
Nod1,0.470263253,0.000018
Kctd11,0.47081286,0.0000801
Slc35e3,0.473450301,0.00000865
Eif1a,0.473492263,5.68E-10
Sema3d,0.47440253,0.026132827
Xkr4,0.47455285,0.0000789
Nhp2,0.474671245,0.00000244
Nsun3,0.475564602,0.000167084
Pomc,0.477153374,0.003006062
Cmip,0.478467166,4.12E-08
Hist1h1e,0.479697541,0.005763424
Cnbd2,0.480853852,0.039868957
Zfp579,0.481817197,0.0000817
Ap1g2,0.483512489,0.001470794
Ccdc17,0.484299675,0.00351138
Sulf2,0.48495598,8.92E-08
Tmod1,0.485607168,2.74E-09
Spry1,0.486865134,0.000100462
Etv6,0.487400209,0.000722497
Abca1,0.487710513,0.0000255
Rps6ka3,0.487823881,0.00000812
Dnttip1,0.487842097,1.22E-08
Tha1,0.489011003,0.000865137
Arid5a,0.489536631,0.0000377
Psme2b,0.489752731,0.001256685
Ermard,0.490174443,0.00000363
Rpp38,0.490352752,0.000167918
Bhlhe40,0.492101905,0.00000557
Clock,0.492122861,6.08E-12
Ccdc136,0.49273106,0.000000826
Cac1a,0.493347148,0.013443106
Mitd1,0.496363003,4.15E-09
Ddx21,0.496370054,0.00000133
Mark1,0.498472957,0.013985038
Iqck,0.500267995,0.004181319
Znrf2,0.502890038,0.00000534
Cdkl2,0.503310178,0.0000327
Zc3h12a,0.503593247,0.037872985
Axin2,0.504428754,0.000512092
Prickle1,0.505516648,6.08E-08
Aprt,0.50555197,0.000000387
Myd88,0.506700691,0.000111313
Cd9,0.506914984,0.00000104
Ralgps1,0.50698985,6.24E-12
Ccdc122,0.509678639,0.034666555
Pcdhb16,0.509922732,0.0000127
Dusp10,0.510593953,8.21E-10
Rnf225,0.510633406,0.001163471
Map6,0.512171563,6.13E-10
Src,0.512966846,2.41E-09
Trp53inp2,0.513471316,0.0000183
Plscr3,0.513831223,0.0000203
2010107G23Rik,0.515547149,0.000773594
Plpp3,0.517728394,4.48E-14
Hebp1,0.518792433,1.51E-10
Lypd6,0.52076296,0.0000793
Sh3bp2,0.521078029,0.00000105
Ada,0.521575942,0.0000408
Hook2,0.521661535,0.004539248
Nceh1,0.523237552,1.68E-08
Plxnb2,0.523735802,0.012752689
Asap2,0.524264828,4.29E-09
Dgkz,0.52451188,2.31E-08
Pcdhb21,0.524846852,0.0000594
Lm,0.525142147,0.000412598
Map3k5,0.525509539,0.000108173
Luzp1,0.525693995,0.00000337
Mybl1,0.528393846,0.002938965
Trp53,0.528724029,0.00000953
Jpt1,0.529324569,0.000594175
Tubb2a,0.5303845,0.012397364
Gdf1,0.531134007,0.001062396
Polm,0.534175718,0.0000276
Myrip,0.535440481,0.000295301
Fnip2,0.536065464,0.000000003
Fam212b,0.536229147,0.000606739
Dock6,0.539804574,0.004918045
Igsf9b,0.54431312,0.00000113
Cac2d4,0.546898982,0.024757477
Sat1,0.547527354,0.0000272
Ier5,0.548550912,0.031094126
Tep1,0.549962702,0.00000899
4430402I18Rik,0.55024786,0.001075317
Ogdhl,0.551054322,0.014661486
Fbxl16,0.55159059,0.003097597
Rab34,0.552443763,0.007454367
Hsd3b7,0.55604558,4.67E-10
Arhgef12,0.556147462,4.72E-16
Txnrd1,0.558322963,0.000000356
Ccng1,0.560256525,0.000653575
Caprin2,0.562726568,0.000779716
Plin4,0.563313749,0.003888732
Tubb3,0.563900217,0.001076239
Pfkfb3,0.566884852,2.16E-08
Irak4,0.568773233,0.000253519
Camk2d,0.568941641,0.000000434
Tnip2,0.57074825,0.000000274
Dennd1b,0.57231481,0.0000118
Tnfaip8,0.572575895,0.041111465
Gpd1,0.573242888,0.004792125
Foxj1,0.57348283,0.00000383
Nfia,0.57427407,1.14E-11
Dct,0.57479416,0.01372553
Galt,0.574892553,0.00435265
Tor3a,0.57721249,0.011860123
Nedd4l,0.580296703,0.00000503
Cd151,0.583512988,0.000000573
Hspa2,0.584709389,3.31E-09
Sp91,0.585070181,9.00E-10
Fbxl8,0.585325776,0.0001452
Mdm2,0.58557766,3.33E-15
Rel,0.586314462,0.000728261
Sema4g,0.587252718,0.032795514
Ablim2,0.589189108,2.17E-09
Anxa6,0.590191988,0.005496015
Stat2,0.593887569,0.0000192
Maf,0.59489507,0.00535265
Irs1,0.595578594,0.00017304
Ltbp3,0.597428009,0.000518355
Eya4,0.597898213,2.06E-08
Cmbl,0.602494512,0.0000255
Rims2,0.602660137,0.000673368
Stat3,0.603536299,7.69E-09
Hpgd,0.604942629,0.024824346
Rbms1,0.607358604,0.000646991
Meis3,0.6079706,0.000832041
Meis2,0.608832801,2.54E-11
Ubtd1,0.611842314,0.0000475
Rassf3,0.613920922,0.000500983
Fam19a5,0.618046507,5.64E-12
Pdxk,0.618941812,2.38E-10
Spsb2,0.619306384,0.00000188
Psme1,0.6225385,0.00000614
Cebpa,0.624066131,0.037671943
Lrrtm2,0.624129495,0.000000344
Hist1h1c,0.625723239,0.000245166
Ppp1r17,0.629156603,0.049290497
S100a6,0.629255975,0.002992637
Uap1l1,0.632823786,0.0000127
1700056E22Rik,0.634621297,0.0025819
Prune2,0.636390119,0.000277686
Jdp2,0.636862157,0.000000138
Zdhhc18,0.637581129,2.08E-08
Cadps2,0.639042236,0.000000932
Fmn1,0.640906406,0.00000215
Mgat4a,0.641018604,0.000366078
Kif5a,0.642508178,1.04E-08
Mafb,0.643587091,0.01797008
Ndnf,0.643807476,0.000252413
Pik3r3,0.644806402,0.0000014
Notch1,0.646319477,0.004391345
Baiap2,0.649165898,0.003157856
Faap20,0.652657072,0.0000163
Maml3,0.652846398,0.000144088
Synpr,0.654956088,0.035954172
Smurf1,0.656475841,6.08E-11
Bfsp2,0.657784182,0.000000763
Marcks,0.658017586,0.019932157
Plekha1,0.658766228,1.32E-16
Renbp,0.659882817,0.009085995
Msra,0.665032149,3.51E-11
Relt,0.6653521,0.010048167
Fmn2,0.668401193,0.0015781
Pcgf5,0.671126268,7.84E-08
Tnni1,0.672956948,1.36E-09
Ttpal,0.674600804,0.00000286
Gfap,0.676158721,0.000264156
Mmd2,0.67835263,0.036293892
Nradd,0.678498982,0.0000956
Camk2n2,0.678682942,0.001540559
Cdc14a,0.679073147,9.99E-09
Arpc1b,0.683410527,0.0000022
Apba2,0.685432891,0.017997052
Rgs19,0.685792015,0.021032631
Hyal1,0.687118455,1.39E-11
Mafk,0.693837751,0.000000138
Cd63,0.69388672,0.000000055
Cntfr,0.696858894,3.49E-11
Nfil3,0.697148751,0.00000089
Cadps,0.697984893,1.69E-08
Fam13c,0.69822908,0.00000711
Usp35,0.698241827,0.000183287
Hspa1b,0.699276247,0.010434073
Pycard,0.70069131,0.007963506
Plk2,0.701237427,0.001500701
Ntrk2,0.703819919,0.000833695
Mylip,0.704059836,0.002787068
Lgals1,0.70469037,0.005361141
Tiparp,0.704899288,7.34E-10
Erap1,0.707269305,0.0000436
Tapbp,0.714175683,0.00000571
Gpc1,0.716747995,3.29E-08
Me1,0.718232484,0.00000089
Fabp5,0.720968532,0.000529475
Dner,0.721828484,0.00000709
Inpp5a,0.72214822,4.06E-09
Ppp1r15a,0.722747692,0.000000197
Ephx1,0.724672035,0.000121668
Gas6,0.726346929,0.0000123
Bambi,0.727183628,0.002936478
Hfe,0.729352775,0.000887673
Ypel4,0.729580176,2.19E-08
Srd5a1,0.729745753,2.96E-11
St3gal1,0.736213464,0.000263111
Prkar1b,0.742930209,0.001625156
Dusp1,0.744932268,0.000205604
Ehd2,0.749806808,0.000193719
Kdm6b,0.751588109,0.000000031
Ddit3,0.7521021,0.000000356
Apoc1,0.752948111,0.039582571
Map3k8,0.756296491,0.045251733
Hpcal1,0.759934693,0.0000127
Btc,0.763722147,0.001060294
Prkce,0.766632888,0.000101736
Atf5,0.767254974,0.00059881
Plin2,0.768281977,0.012965928
Anxa4,0.771786357,4.19E-09
Grasp,0.77282681,1.44E-11
Cd86,0.773936066,0.046414553
Lag3,0.775945599,0.04670517
Aen,0.77705036,0.005294797
Garnl3,0.777898295,0.0000765
Dclre1c,0.7783675,6.28E-08
Acot11,0.780958381,0.0000766
Cachd1,0.78265981,0.014028736
Eda2r,0.782660713,0.000212793
Slc4a8,0.783195635,1.05E-10
Fjx1,0.784160453,0.00000224
Slc39a11,0.784309657,0.0000315
Trim25,0.784624861,0.0000156
Tnfsf9,0.784802253,0.00000303
Bmp1,0.785172284,4.21E-09
Odc1,0.785959857,0.044001653
Samsn1,0.790453605,0.036293892
Lrp4,0.790562808,1.58E-08
Sertad1,0.791045329,0.00000253
Kcnk2,0.793005902,0.007842651
Abracl,0.793681966,0.004290375
Hivep2,0.795711734,2.21E-08
Ece1,0.798924154,0.0000241
Slc16a6,0.801860044,0.000000832
Mvp,0.801942759,1.04E-08
Ly86,0.804031868,0.036293892
Per1,0.814950426,3.58E-10
Lrrc8c,0.816342534,1.75E-15
Cnih3,0.816431268,0.00000676
Csmd2,0.817089253,7.27E-08
Lhfpl3,0.821555473,0.004472867
Trim46,0.823242619,0.000053
Mt2,0.831060199,0.00097894
H2-DMa,0.831289413,0.010894408
Id3,0.832973119,0.0000226
Btg2,0.83784171,0.0000785
Lmo4,0.838975279,0.000000483
Zfp36,0.840849219,0.0000368
Grik2,0.841533854,4.51E-18
Ndst1,0.843907131,3.36E-12
Slc39a1,0.844040238,0.000757721
44448,0.847167879,0.001452821
Tmem210,0.849981125,0.003383005
Sox9,0.856224552,0.001470794
Ccl12,0.856585457,0.045029904
Pid1,0.857472824,0.002130116
Ust,0.857718132,1.83E-08
Lrrc49,0.857995354,1.11E-14
Ifitm3,0.859200936,0.043877236
Ptprc,0.863550607,0.039540261
Farp1,0.863954047,3.16E-09
Cfap126,0.864731181,0.000984023
Gale,0.865918805,4.88E-09
Irf2bpl,0.869273372,1.60E-11
Mid2,0.869572312,0.000000136
Rab3d,0.872337244,0.000486271
Ldha,0.874223434,7.76E-08
Slc16a2,0.87542179,0.0000505
Milr1,0.876544004,0.005162878
Dpf1,0.881527212,0.0000114
Thbs3,0.882105251,0.000000185
Pou6f1,0.882649409,2.63E-11
Lbh,0.892504922,0.000000159
Fzd8,0.894216958,1.32E-08
Trpv4,0.89426789,0.0000245
Aebp1,0.894539506,2.53E-13
Ggact,0.894859308,9.92E-10
Sel1l3,0.90117011,0.00000089
Hspb1,0.903301939,0.038958497
Parvb,0.911176918,2.12E-09
Nol3,0.914587891,6.90E-09
Col16a1,0.915700489,0.0000355
Kif22,0.918458451,0.0000229
Axl,0.919278862,0.046564158
Hist1h4i,0.925022602,0.021207461
Abca5,0.927313157,9.24E-18
Srxn1,0.929153356,0.000000696
Cd48,0.934909564,0.035390258
Bend6,0.937350826,0.0000235
Tspo,0.941761207,2.04E-08
Smim3,0.942110659,0.036410774
Unc13b,0.942614418,2.07E-08
Shisa5,0.943344492,0.0000505
Nfkbiz,0.944734,0.024450675
Fyb,0.945129207,0.007572123
Brinp3,0.94601308,0.0000228
Rrad,0.947325516,0.004298943
Vwa5a,0.948542102,5.87E-09
Plx1,0.948740888,0.00000727
Pim1,0.951725278,0.004109672
Fcgr2b,0.960732437,0.032130645
Casp7,0.961629429,0.004463675
Nupr1,0.963116371,0.000108679
Ier2,0.966248757,0.006844482
Mrgpre,0.967368219,0.00000559
Psmb10,0.968031572,6.11E-09
Sgms2,0.970807329,3.03E-10
Cnih2,0.971855973,0.0000475
Stard10,0.972232859,2.84E-16
Kctd15,0.972682609,0.001387908
Tsc22d1,0.972704385,3.55E-08
Bhlhe22,0.974063088,0.00000158
Jcad,0.978403322,4.61E-12
Itpripl1,0.991952851,0.0000362
Acsl5,0.995230683,0.008288972
S100a4,1.001073489,4.78E-08
Dgat2,1.015415378,2.41E-10
Col23a1,1.01553881,0.001098735
Asns,1.017712848,0.011311496
Osm,1.035815466,0.026096832
Arrdc4,1.036725768,0.001032236
Cav2,1.045644929,0.0000068
Htatip2,1.057627644,0.0000139
Fam84b,1.058307676,0.0000114
Cntn1,1.066187234,0.000000243
Adamts1,1.075158798,2.08E-14
Ier3,1.080288245,0.00121263
Trim47,1.089545196,0.000000244
Oaf,1.094382843,9.91E-11
Fxyd3,1.09665299,0.0000189
Syne2,1.098351787,8.18E-17
Tapbpl,1.1007663,0.000079
Adgrg1,1.101648056,1.00E-10
Cox6a2,1.102229419,0.012988658
Tgif2,1.103161733,0.0000265
Lrrfip1,1.11305406,0.00265439
Cd72,1.116227998,0.016834133
Ltbr,1.121428816,1.99E-08
Ccl5,1.122743109,0.018232109
Cast,1.124443102,6.43E-09
Cpq,1.126576342,0.0000181
Phlda1,1.127002264,8.49E-16
Mpeg1,1.143893185,0.030378645
Ptprs,1.153517259,1.76E-18
Kcb1,1.15993816,3.15E-17
Gfra1,1.163058237,1.09E-15
Chchd10,1.163448452,0.000000144
Kcnip3,1.16489731,0.00000036
H2-D1,1.169748777,0.00059881
Aldh1l2,1.172260999,0.00000016
Cotl1,1.17355662,0.0000331
Parp12,1.178850348,6.86E-08
Abcb1b,1.184995137,0.0000001
Tspyl5,1.18791094,6.61E-15
H2-K1,1.189333269,0.000000861
Itgax,1.20199483,0.017868316
Dlk2,1.205976712,0.000743989
prt,1.210938253,4.54E-09
Nrtn,1.21113322,0.00000012
C1ql2,1.212090596,0.001898129
Slc15a3,1.212269362,0.01519678
Tma16,1.212836199,6.39E-13
Mmgt2,1.215238408,3.72E-08
Herc6,1.228933377,6.34E-10
Ppp2r2b,1.229167679,0.000000716
Sdc2,1.234800744,0.00000402
Stat1,1.235496878,6.67E-12
Ube2l6,1.235526364,0.024428522
Trim56,1.237117612,9.66E-10
Kcnma1,1.238357976,0.00000549
Cxcl16,1.238779054,0.045421533
C4b,1.241125241,0.000561354
Atp8b5,1.250444973,6.92E-08
Fchsd2,1.265121175,1.85E-10
Bbc3,1.273606539,4.61E-12
B2m,1.276707289,0.000127078
Smad3,1.278462652,2.16E-12
Lgals9,1.278741226,0.005201149
Sbno2,1.283401849,3.59E-11
4932438H23Rik,1.292495942,0.000150434
Fgf7,1.30361884,0.000191217
Gap43,1.304039537,0.0000191
Cela1,1.318080357,2.66E-10
H2-Ab1,1.322543079,0.010637655
Fgfrl1,1.324978494,0.0000151
Midn,1.326055391,2.65E-08
Plp2,1.327335353,0.004022146
Junb,1.334752406,0.00000126
Egr1,1.363431564,0.000144368
Baz1a,1.366406634,0.000000874
Hmox1,1.376165831,8.75E-08
Col27a1,1.378333542,1.63E-08
Eif4ebp1,1.378725463,0.024234566
1700001O22Rik,1.379829432,9.11E-09
Lpl,1.380221558,0.008848989
Cyp26b1,1.38361458,0.0000004
Dgka,1.39392588,3.56E-12
Cd52,1.403115468,0.01878027
Fam46a,1.407702714,6.87E-18
Crlf2,1.40784519,0.0000292
Irf9,1.409783941,1.27E-09
Pfkfb4,1.4143938,6.28E-10
Cntf,1.427507795,4.83E-08
Slc39a14,1.427560229,1.80E-13
Atp8a2,1.429516388,4.54E-09
H2-Eb1,1.455115164,0.001160343
Myc,1.459103494,3.62E-09
Tubb6,1.470343517,0.001494261
H2-Aa,1.472218202,0.004366446
Egr3,1.494005356,0.0000347
Zfp703,1.495069441,4.49E-12
Arl4c,1.496536889,0.0000594
Ifih1,1.498968785,0.00000831
Cd74,1.505990975,0.009490261
Rras2,1.510019024,0.000000103
Ssbp4,1.510944576,2.56E-08
Tmem202,1.513465132,3.35E-11
Gadd45a,1.513754504,2.18E-10
Pcdh7,1.538909122,7.64E-10
Inpp4a,1.538974152,1.91E-12
Serp2,1.562249115,1.35E-15
Man1a,1.563060855,6.16E-17
St8sia5,1.566273014,0.0000505
Zc3hav1,1.573223889,3.43E-11
Tap2,1.575755575,1.74E-08
S100a10,1.57657696,0.000000908
Kirrel3,1.583782184,5.60E-22
Cebpd,1.587756785,4.61E-11
Ccl2,1.606910471,0.00050425
Rab3b,1.610123478,0.000000119
Astn2,1.613290777,0.00000377
Spp1,1.614399898,0.024234566
Fosb,1.618352943,0.001251514
Klhl32,1.619705765,1.14E-12
Mylk,1.620631094,9.98E-08
Pcdhb9,1.623029639,8.26E-08
Eno2,1.624939057,7.48E-13
v3,1.625199478,2.71E-11
Klk6,1.626305774,0.000487512
Psrc1,1.658900478,0.00000202
Cmtm3,1.671385621,6.21E-10
Ang,1.672369355,1.67E-10
Masp1,1.674997022,0.00021187
Lgals3bp,1.677431547,0.000992746
Tram2,1.680000183,1.18E-12
H2-T22,1.681508961,0.000000011
Cxcl14,1.712303647,0.00000163
Klc3,1.718834224,3.54E-11
Maff,1.722534734,0.00000597
Klf4,1.723881606,0.001669695
Rgs20,1.727772806,0.000000728
Tmem176b,1.748740255,0.000103955
Ifi35,1.75208135,6.28E-08
Cdkn2a,1.764829594,0.000000103
Stx3,1.772355908,3.81E-13
Fos,1.789632334,0.000000455
Fam89a,1.791513748,9.63E-08
Nrcam,1.794447278,0.000000255
Pros1,1.802832777,0.000000102
Ephb2,1.806333342,1.81E-11
Bace2,1.81684918,0.00000529
Grik3,1.821172753,4.18E-08
Rhoj,1.821411762,2.73E-23
Btbd16,1.858766099,6.05E-17
Mgst1,1.865595637,2.13E-08
Il3ra,1.873663257,0.0000759
Cacng5,1.875875448,2.73E-08
Lgi4,1.904006421,1.30E-17
Rgl1,1.905898197,2.16E-12
Tmem176a,1.954160685,0.00011663
Myof,1.954562762,2.84E-12
Piezo2,1.954647891,0.0000014
Cac1h,1.97784749,4.71E-09
Slc9a3r2,1.987579842,1.71E-12
Atf3,2.003613915,0.000124871
Gadd45b,2.011811268,2.66E-13
Hsf4,2.017070085,0.000000117
Iigp1,2.027618433,0.001961902
St6galc5,2.028209504,1.37E-10
Trib1,2.02906982,4.83E-08
Map3k20,2.037978213,0.000000067
Rse4,2.041766151,3.57E-14
Flnc,2.069688614,1.23E-16
Klk8,2.100334067,0.012095266
Hmgcll1,2.102648177,1.53E-18
Ddx58,2.132949269,5.61E-10
Irf1,2.144135765,1.39E-08
Lgals3,2.15389592,0.002357114
Cst7,2.154088688,0.015815708
Gadd45g,2.171305835,0.00000139
Fxyd1,2.173089382,2.57E-11
Sox4,2.181292086,0.00000118
Tnfrsf12a,2.185910471,2.80E-13
Amotl1,2.230993447,5.87E-09
Ccnd1,2.234937406,0.000000053
Gpnmb,2.273086852,0.011558092
Ralgps2,2.29749999,3.98E-09
Kit,2.304371305,3.36E-13
Gdf15,2.33234438,0.00000611
Tmem140,2.341522114,2.53E-08
Eif2ak2,2.344782562,2.71E-13
Rsad2,2.354870239,0.000000106
Parp9,2.388868726,6.05E-10
Vim,2.400340882,1.05E-12
Serpi3n,2.42085,0.00000103
Cebpb,2.437102131,4.99E-08
Ifi27l2a,2.439595207,9.63E-08
Nmu,2.460911794,1.15E-12
Isg15,2.472923546,0.0000163
Egr2,2.48616719,0.000000283
Anxa2,2.490946813,1.73E-09
Cd274,2.528341126,0.000000111
Irgm1,2.529002664,7.54E-10
Adamtsl3,2.557244089,2.41E-12
Irgm2,2.577884631,3.32E-08
Psmb9,2.597105468,0.00000024
Bst2,2.626294058,6.43E-11
Fosl2,2.629663717,1.76E-09
Rtp4,2.691990137,9.17E-10
Nlrc5,2.71793319,2.50E-10
Cmpk2,2.77818585,7.58E-08
Itpripl2,2.778530039,3.33E-15
Chl1,2.801531057,0.000000003
Parp3,2.817465474,5.73E-15
Tspan4,2.837971189,5.15E-09
H2-T23,2.879205665,7.78E-09
Tnfrsf1a,2.882419138,6.86E-08
Gbp3,2.884055426,1.32E-08
Sema4f,2.888471231,0.000000654
Snx10,2.907232684,6.24E-12
Ier5l,2.938235268,1.71E-12
Socs3,2.994870035,3.63E-08
Psmb8,3.012726132,2.88E-09
Klk9,3.026195268,1.59E-11
Scn1b,3.058551127,2.37E-10
Fxyd7,3.086658164,1.94E-12
Gbp7,3.095018253,6.12E-09
Irf7,3.138333642,0.000000531
Runx1,3.160221018,1.81E-11
Cd44,3.175143476,8.46E-11
Rasip1,3.205844877,2.68E-16
Ddx60,3.222185908,4.06E-11
Tap1,3.244877157,0.000000001
Ifit3b,3.245463809,0.000000193
Pqlc3,3.254527936,8.85E-12
Igtp,3.328752051,4.34E-08
Cdkn1a,3.362275961,0.000000139
H2-Q4,3.367092272,1.04E-09
Bcl3,3.382419053,1.90E-12
Oasl2,3.391726549,2.28E-08
Tagln2,3.424979728,1.51E-10
Ifit3,3.470937142,0.0000265
Emp3,3.479376788,1.94E-10
Usp18,3.513209205,1.13E-09
Col6a2,3.621837993,0.00000109
Plvap,3.714690421,4.17E-12
Ppl,3.715872086,5.81E-14
Col13a1,3.814224752,9.92E-10
Ifit1,4.401652094,1.66E-08
Steap3,4.447697324,2.66E-11
Syt4,4.776919344,2.31E-08
