symbol,LogFC,FDR
Sybu,-0.384668586,0.000187998
Gpm6b,-0.384074086,2.72E-08
Mpp2,-0.383971979,0.000125027
Pak7,-0.383774468,0.000123267
Atg4c,-0.381374945,0.00000712
Gdpd5,-0.38106674,0.00000141
Nde1,-0.380977888,1.16E-09
Atxn1,-0.378488038,0.000732573
Mt3,-0.378338555,0.005310759
Enoph1,-0.377954166,0.00000465
Fhl1,-0.377700524,0.00000145
Sik2,-0.37710527,0.002176157
Ago4,-0.376632758,0.009099228
Plpp1,-0.376541847,0.002357114
Acat2,-0.376205181,0.0000836
Sgk2,-0.37576002,0.026808418
Ilvbl,-0.374886823,0.00000106
Ptms,-0.373296233,0.000045
Tm7sf2,-0.372568416,0.010337374
Ndrg4,-0.372345655,0.003745441
D16Ertd472e,-0.372239497,0.000000807
Selenbp1,-0.372235026,0.001718228
Ctsf,-0.370403896,0.0000117
Fbxo10,-0.370317387,0.007963506
Dlg2,-0.370297528,0.00000559
Shtn1,-0.370181989,0.0000143
Aldh6a1,-0.369980011,3.78E-08
Vsig10,-0.369785699,0.044001653
Rcbtb1,-0.369268445,0.000000696
Ptpdc1,-0.366547215,0.0000157
Clybl,-0.366057747,0.026568082
Mtf1,-0.365896092,0.0000492
Il18,-0.365626819,0.000000124
Dusp26,-0.365617045,7.19E-08
Abhd5,-0.365317893,3.85E-13
Cd59a,-0.364022261,0.019194507
Pacsin3,-0.363575713,0.000011
Pxmp2,-0.363275904,0.000298976
Nsmf,-0.363167789,0.00000647
Tns2,-0.362400354,0.004181319
Stmn1,-0.36208762,0.022472469
Pecr,-0.361985032,0.00007
Ak1,-0.361887028,0.000295563
Arhgef28,-0.360701708,0.000108679
Cux2,-0.360552899,0.016403604
Abcb10,-0.360237822,0.0000307
Tmem229a,-0.360069957,0.00000258
Gm5148,-0.358793049,0.006365077
Cpt1a,-0.358712159,0.021698272
Tmem238,-0.35857887,0.0000494
Dram2,-0.35850329,5.98E-08
Elovl6,-0.357728525,0.0000411
Ccsap,-0.357425367,0.004700849
