gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
Fbxl17,2.49E-18,0.293091022,0.6,0.461,6.22E-14,3
Kif13b,1.68E-22,0.293017567,0.332,0.206,4.21E-18,3
Oprm1,2.44E-35,0.291300682,0.313,0.173,6.1E-31,3
Mctp1,1.81E-21,0.29069133,0.586,0.433,4.52E-17,3
Spag9,1.85E-25,0.289747188,0.433,0.284,4.64E-21,3
Daglb,1.9E-31,0.288982701,0.386,0.236,4.75E-27,3
C230088H06Rik,3.68E-29,0.287091159,0.312,0.181,9.22E-25,3
Samsn1,9.65E-24,0.285858149,0.302,0.182,2.42E-19,3
Ctsa,2.32E-31,0.285478241,0.287,0.158,5.81E-27,3
Gm26694,5.7E-28,0.284836951,0.337,0.202,1.43E-23,3
Atp8a1,2.15E-22,0.28371551,0.617,0.461,5.37E-18,3
Atp6v0a1,2.61E-21,0.282394574,0.446,0.305,6.53E-17,3
Ascc3,6.81E-27,0.27815928,0.393,0.251,1.71E-22,3
Rps6ka3,2.46E-27,0.276808375,0.371,0.233,6.16E-23,3
Cerk,4.87E-23,0.275301212,0.489,0.338,1.22E-18,3
Arhgef2,1.14E-22,0.274940616,0.255,0.147,2.85E-18,3
Lcp1,4.87E-24,0.274171884,0.353,0.223,1.22E-19,3
Tbc1d22a,2E-30,0.273430532,0.473,0.313,5.01E-26,3
Nf1,5.78E-31,0.272819484,0.577,0.401,1.45E-26,3
Snx24,3.48E-23,0.272635246,0.496,0.346,8.71E-19,3
Tmcc1,4.88E-25,0.272382854,0.456,0.309,1.22E-20,3
Runx1,2.91E-24,0.270241555,0.728,0.572,7.28E-20,3
Irak2,6.68E-27,0.269835675,0.5,0.343,1.67E-22,3
Mthfs,1.05E-12,0.268086124,0.298,0.203,2.63E-08,3
Lrrc8d,4.36E-26,0.266832101,0.318,0.193,1.09E-21,3
Cmip,1.1E-26,0.266434258,0.493,0.336,2.76E-22,3
Kpna3,3.5E-29,0.266281463,0.273,0.155,8.77E-25,3
Lamp2,5.96E-23,0.26458367,0.386,0.252,1.49E-18,3
Frrs1,1.27E-30,0.263207814,0.387,0.241,3.18E-26,3
Gnas,1.06E-31,0.262595821,0.339,0.203,2.66E-27,3
Znrf2,2.34E-25,0.261522097,0.337,0.21,5.85E-21,3
Cap1,2.95E-23,0.26145359,0.255,0.147,7.38E-19,3
Mkl1,8.03E-35,0.26043741,0.327,0.19,2.01E-30,3
Pign,2.15E-32,0.260355969,0.334,0.197,5.39E-28,3
Ankrd12,1.09E-30,0.258962002,0.351,0.214,2.74E-26,3
Ctsl,7.67E-25,0.256088152,0.296,0.178,1.92E-20,3
Creb3l2,1.57E-26,0.256039105,0.266,0.154,3.93E-22,3
Myo9a,4.88E-27,0.255481838,0.43,0.282,1.22E-22,3
Atxn10,1.79E-25,0.251243301,0.259,0.151,4.48E-21,3
Sirpa,5.68E-19,0.250385137,0.656,0.514,1.42E-14,3
Vps54,1.62E-22,0.249500669,0.342,0.222,4.07E-18,3
Rtn4,2.79E-32,0.249301448,0.504,0.337,6.99E-28,3
Celf1,2.14E-31,0.248781658,0.472,0.313,5.37E-27,3
Fndc3b,1.87E-27,0.247935886,0.333,0.207,4.67E-23,3
Asap1,6.5E-16,0.24754108,0.67,0.541,1.63E-11,3
Abcd2,4.99E-27,0.244867167,0.267,0.156,1.25E-22,3
Psap,2.04E-28,0.242833678,0.597,0.431,5.1E-24,3
Clip1,3.11E-20,0.242246459,0.278,0.173,7.79E-16,3
B2m,3.28E-29,0.241320214,0.263,0.149,8.22E-25,3
Zmiz1,1.98E-21,0.240113415,0.488,0.349,4.95E-17,3
Gnb1,3.85E-29,0.238237712,0.343,0.211,9.65E-25,3
Gm20275,1.73E-24,0.237125113,0.44,0.298,4.34E-20,3
Map4k3,1.21E-28,0.236560421,0.329,0.203,3.02E-24,3
Man1c1,1.46E-22,0.233714743,0.398,0.267,3.66E-18,3
Cacna1d,4.41E-27,0.232200765,0.572,0.41,1.1E-22,3
Tgfbr1,3.4E-20,0.231501129,0.933,0.881,8.52E-16,3
Atp7a,1.41E-22,0.230604558,0.274,0.169,3.54E-18,3
Taok3,1.5E-26,0.230262611,0.365,0.233,3.76E-22,3
Larp1,1.65E-24,0.229479375,0.312,0.195,4.13E-20,3
Ccny,2.02E-27,0.227742783,0.305,0.186,5.07E-23,3
Lpp,6.9E-25,0.227232806,0.306,0.192,1.73E-20,3
Ahcyl2,4.39E-30,0.226286771,0.282,0.164,1.1E-25,3
Snx30,1.39E-30,0.223591658,0.293,0.175,3.48E-26,3
Gm26848,2.35E-24,0.221292521,0.29,0.179,5.89E-20,3
3110082I17Rik,1.58E-27,0.21800549,0.307,0.189,3.97E-23,3
Kcnk13,7.84E-23,0.217202086,0.378,0.255,1.96E-18,3
Spop,7.41E-22,0.217068013,0.324,0.213,1.85E-17,3
Atp9b,1.58E-34,0.215468733,0.403,0.258,3.97E-30,3
St6gal1,1.92E-23,0.215088959,0.302,0.191,4.81E-19,3
Tbxas1,5.26E-20,0.213499817,0.582,0.442,1.32E-15,3
Btbd9,5.52E-23,0.212755163,0.577,0.428,1.38E-18,3
Adam17,6.32E-16,0.212043335,0.294,0.202,1.58E-11,3
Fgd4,3.38E-26,0.210690969,0.267,0.16,8.47E-22,3
Oxct1,2.1E-24,0.209817299,0.406,0.275,5.25E-20,3
Ralgapa1,8.27E-31,0.208563748,0.327,0.2,2.07E-26,3
Nktr,2.4E-33,0.206884473,0.366,0.23,6.01E-29,3
Ptpra,8.42E-22,0.20574388,0.425,0.299,2.11E-17,3
Dgkd,5.22E-14,0.205480983,0.42,0.314,1.31E-09,3
Rasa1,5.44E-26,0.205405946,0.334,0.215,1.36E-21,3
Chn2,0.0000232,0.204164403,0.64,0.573,0.581801079,3
Ccnl1,1.14E-28,0.203926456,0.312,0.194,2.86E-24,3
Stx7,5.79E-28,0.202084921,0.309,0.193,1.45E-23,3
Cnot6l,6.19E-16,0.200813716,0.256,0.169,1.55E-11,3
2310035C23Rik,1.19E-25,0.196442923,0.266,0.163,2.98E-21,3
Aff4,9.85E-28,0.194810067,0.29,0.179,2.47E-23,3
Rin2,9.5E-10,0.194528165,0.3,0.22,0.0000238,3
Trip12,1.79E-24,0.194104903,0.389,0.266,4.49E-20,3
Ifngr2,1.68E-19,0.194054698,0.277,0.181,4.2E-15,3
Mgat5,4.1E-13,0.192767199,0.496,0.388,1.03E-08,3
Srpk2,3.05E-30,0.190576384,0.333,0.212,7.65E-26,3
AI314180,7.32E-29,0.190409316,0.306,0.192,1.83E-24,3
Lmo2,1.59E-17,0.188266726,0.257,0.168,3.98E-13,3
Mast4,7.32E-26,0.188008312,0.313,0.201,1.83E-21,3
Zfp407,4.04E-16,0.185962744,0.302,0.211,1.01E-11,3
Large1,1.19E-13,0.185861651,0.669,0.551,2.98E-09,3
Blnk,4.78E-21,0.185497949,0.55,0.415,1.2E-16,3
Gab2,1.41E-14,0.184457665,0.787,0.677,3.53E-10,3
Tcirg1,1.3E-30,0.181218736,0.262,0.157,3.25E-26,3
Ankhd1,6.49E-21,0.181148521,0.382,0.27,1.63E-16,3
Gm26518,4.4E-25,0.180258186,0.276,0.173,1.1E-20,3
Retreg1,2.53E-17,0.179382049,0.47,0.354,6.33E-13,3
Arid1b,2.65E-24,0.177730699,0.496,0.359,6.65E-20,3
Ptbp3,5.84E-27,0.177158892,0.418,0.29,1.46E-22,3
Pitpna,3.75E-21,0.175992047,0.287,0.192,9.38E-17,3
Vps13b,2.66E-23,0.17222023,0.427,0.304,6.66E-19,3
Rab8b,4.27E-21,0.170458452,0.431,0.312,1.07E-16,3
Sema4d,3.09E-22,0.169842117,0.292,0.192,7.74E-18,3
Etv6,4.69E-12,0.169759499,0.631,0.524,0.000000118,3
Slf2,7.47E-18,0.168808009,0.285,0.194,1.87E-13,3
Asah1,1.85E-15,0.168504045,0.268,0.184,4.63E-11,3
Pnpla7,3.86E-13,0.168357532,0.476,0.374,9.66E-09,3
Gm37240,1.48E-23,0.168234685,0.56,0.421,3.71E-19,3
Elk3,3.74E-19,0.167097885,0.378,0.274,9.36E-15,3
Nsd3,1.93E-21,0.166304247,0.398,0.285,4.85E-17,3
Snd1,1.23E-25,0.164029919,0.358,0.245,3.09E-21,3
Cdk8,1.48E-18,0.163428218,0.279,0.189,3.7E-14,3
Tle4,5.88E-19,0.162620298,0.307,0.213,1.47E-14,3
Rap1a,3.8E-22,0.159094917,0.419,0.302,9.51E-18,3
Ptpre,8.62E-26,0.158872407,0.327,0.22,2.16E-21,3
Evl,5.85E-23,0.158355974,0.416,0.296,1.47E-18,3
Basp1,1.45E-17,0.157835953,0.473,0.36,3.62E-13,3
Ranbp9,3.69E-22,0.157467958,0.267,0.173,9.24E-18,3
Wapl,7.2E-16,0.156515254,0.322,0.23,1.8E-11,3
Abi1,1.05E-26,0.155925667,0.466,0.334,2.62E-22,3
Dock11,3.17E-19,0.155103538,0.388,0.282,7.93E-15,3
Dpy19l4,2.08E-30,0.154992836,0.33,0.218,5.22E-26,3
Paxbp1,7.92E-27,0.154447522,0.306,0.202,1.98E-22,3
Tnpo1,1.81E-22,0.153879161,0.298,0.201,4.54E-18,3
Rb1,1.13E-16,0.152068734,0.345,0.252,2.84E-12,3
Lamp1,1.2E-25,0.151715625,0.296,0.193,3E-21,3
Thrap3,5.52E-22,0.151268411,0.257,0.168,1.38E-17,3
Galnt1,1.28E-22,0.149791689,0.282,0.188,3.2E-18,3
P2rx7,2E-13,0.149581601,0.337,0.252,0.000000005,3
Tra2b,2.08E-16,0.148945626,0.29,0.204,5.21E-12,3
P4ha1,2.7E-21,0.148499761,0.329,0.232,6.76E-17,3
Ankrd17,1.93E-29,0.148315919,0.436,0.304,4.84E-25,3
Lrrc4,4.32E-22,0.145109583,0.408,0.296,1.08E-17,3
Chd7,5.47E-22,0.143663372,0.471,0.351,1.37E-17,3
Tnks2,4.1E-24,0.143462449,0.264,0.173,1.03E-19,3
Prkcb,3.97E-13,0.141809625,0.571,0.464,9.94E-09,3
Zfc3h1,4.36E-26,0.141206253,0.253,0.162,1.09E-21,3
Ubap2l,8.15E-24,0.140211518,0.269,0.175,2.04E-19,3
Rab2a,3.63E-28,0.139509837,0.321,0.216,9.1E-24,3
Kcmf1,3.25E-24,0.1390786,0.254,0.162,8.14E-20,3
Ppp1r12a,1.6E-25,0.136939279,0.456,0.332,4.02E-21,3
Tnfrsf11a,2.16E-13,0.136738582,0.321,0.241,5.41E-09,3
Fndc3a,1.18E-20,0.135874609,0.283,0.194,2.96E-16,3
Cltc,7.27E-21,0.134713044,0.365,0.264,1.82E-16,3
Pcmtd1,6.3E-27,0.131266044,0.288,0.19,1.58E-22,3
Ewsr1,1.66E-29,0.131201139,0.312,0.206,4.15E-25,3
Ctsh,4.17E-21,0.130193581,0.356,0.259,1.04E-16,3
Tet2,2.04E-21,0.129158316,0.253,0.171,5.11E-17,3
Rtn3,1.75E-22,0.128988499,0.473,0.357,4.37E-18,3
Fth1,5.35E-21,0.12865177,0.3,0.203,1.34E-16,3
Arih1,3.54E-16,0.127025904,0.395,0.302,8.87E-12,3
Tbc1d23,4.88E-21,0.125661082,0.296,0.206,1.22E-16,3
Ppm1h,5.93E-17,0.125590054,0.631,0.511,1.49E-12,3
Fcer1g,2.59E-18,0.124774284,0.256,0.18,6.5E-14,3
Lcorl,1.26E-14,0.124448469,0.298,0.218,3.16E-10,3
Metap1d,2.67E-22,0.122588872,0.293,0.2,6.69E-18,3
Xrn2,3.35E-19,0.1214687,0.271,0.189,8.39E-15,3
Lncpint,1.53E-17,0.121090327,0.451,0.35,3.83E-13,3
Map4,5.44E-20,0.119929998,0.476,0.369,1.36E-15,3
Tgfbr2,2.25E-17,0.119337072,0.524,0.414,5.63E-13,3
Exoc4,2E-19,0.118579612,0.564,0.448,5.01E-15,3
Kdm2a,1.64E-18,0.117189634,0.375,0.279,4.1E-14,3
Usp9x,6.75E-24,0.116689759,0.324,0.226,1.69E-19,3
App,2.14E-14,0.116366604,0.279,0.205,5.36E-10,3
Stag1,9.32E-18,0.114926461,0.56,0.445,2.33E-13,3
Btaf1,4.39E-21,0.114766375,0.336,0.242,1.1E-16,3
Stx8,1.2E-23,0.113796034,0.26,0.175,3.02E-19,3
Ash1l,1.97E-21,0.112138992,0.443,0.334,4.94E-17,3
Larp4b,1.2E-26,0.109458546,0.331,0.229,3.01E-22,3
Smad7,1.7E-12,0.108695972,0.266,0.198,4.26E-08,3
Ppt1,6.49E-27,0.108423005,0.276,0.183,1.62E-22,3
Rnf180,2.74E-22,0.108390653,0.506,0.388,6.86E-18,3
Ttc3,3.07E-27,0.108082564,0.3,0.203,7.68E-23,3
Elf1,6.62E-25,0.107651976,0.321,0.226,1.66E-20,3
Nufip2,1.38E-22,0.107650188,0.253,0.17,3.45E-18,3
Prkcd,3.16E-19,0.106508983,0.349,0.258,7.91E-15,3
Actr2,3.53E-22,0.105631046,0.383,0.283,8.85E-18,3
Gapvd1,3.84E-18,0.10509721,0.286,0.205,9.62E-14,3
Cbl,5.55E-25,0.104972109,0.343,0.249,1.39E-20,3
Wls,3.76E-19,0.104350708,0.254,0.178,9.42E-15,3
Rabgap1,3.62E-26,0.101973499,0.297,0.206,9.07E-22,3
Gm19710,3.58E-22,0.10175932,0.295,0.205,8.97E-18,3
Mbtd1,1.07E-22,0.100536625,0.319,0.228,2.69E-18,3
Pak2,4.85E-19,0.100282283,0.327,0.242,1.22E-14,3
Exoc6b,2.22E-17,-0.100017468,0.308,0.28,5.55E-13,3
Senp2,5.78E-19,-0.100868446,0.268,0.242,1.45E-14,3
Gm26904,2.72E-21,-0.101353009,0.274,0.239,6.81E-17,3
Dst,1.63E-14,-0.106122981,0.752,0.72,4.09E-10,3
Osbpl11,9.17E-16,-0.10790237,0.267,0.247,2.3E-11,3
Tbc1d5,2.94E-17,-0.108963106,0.606,0.573,7.37E-13,3
Cul1,1.02E-12,-0.111685027,0.259,0.248,2.56E-08,3
Olfr56,1.08E-18,-0.112107076,0.317,0.282,2.7E-14,3
Snx29,6.99E-16,-0.114934248,0.669,0.644,1.75E-11,3
Zfp292,5.87E-21,-0.117056853,0.313,0.279,1.47E-16,3
Cmss1,3.24E-21,-0.117823847,0.653,0.604,8.11E-17,3
Pou2f2,4.9E-10,-0.119461625,0.342,0.344,0.0000123,3
Plekho1,5.98E-20,-0.119741352,0.336,0.31,1.5E-15,3
Tg,3.68E-10,-0.120438871,0.255,0.253,0.0000092,3
Nsd1,7.65E-20,-0.12074485,0.473,0.441,1.92E-15,3
Sft2d1,2.06E-23,-0.125342461,0.329,0.3,5.17E-19,3
Apc,2.77E-18,-0.127653508,0.298,0.273,6.93E-14,3
Sppl3,2.37E-33,-0.127981622,0.348,0.302,5.92E-29,3
Klf12,2.2E-20,-0.134117107,0.443,0.418,5.52E-16,3
Kcnip4,0.0000124,-0.134854365,0.284,0.292,0.311618876,3
Itgb5,2.72E-20,-0.134889141,0.65,0.629,6.81E-16,3
Mkln1,5.51E-21,-0.135274067,0.333,0.307,1.38E-16,3
Spire1,8.49E-17,-0.136816864,0.31,0.295,2.13E-12,3
Zcchc11,6.44E-12,-0.137926114,0.262,0.255,0.000000161,3
Ubash3b,4.34E-16,-0.138275562,0.561,0.551,1.09E-11,3
Igf1r,2.41E-15,-0.140226931,0.26,0.244,6.03E-11,3
