gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
Dis3l2,Dis3l2,4.07E-36,0.143957332,0.494,0.369,1.09E-31,red,0.016471,0.234061,0.223917,0.301867
Dleu2,Dleu2.1,4.73E-31,-0.243768101,0.888,0.876,1.27E-26,blue,0.051176,0.319756,0.044477,0.225042
Dnajb14,Dnajb14.1,4.42E-67,0.437765682,0.423,0.23,1.18E-62,red,0.150294,1.372001,9.086333,7.901495
Dnm2,Dnm2.1,1.34E-34,-0.181860777,0.537,0.509,3.60E-30,blue,0.439706,-1.088259,2.353135,1.719673
Dnmt3a,Dnmt3a,2.96E-66,0.478564215,0.797,0.588,7.95E-62,red,0.140882,0.447717,0.363158,0.359595
Dock10,Dock10,2.86E-77,-0.552022291,0.777,0.837,7.68E-73,blue,0.386176,-1.366818,3.788129,2.959706
Dock2,Dock2.1,1.30E-31,0.242859658,0.956,0.885,3.48E-27,red,0.330294,-0.675471,0.9024,0.657522
Dock4,Dock4.2,5.19E-116,-0.479130326,0.958,0.94,1.39E-111,blue,0.090588,-1.3263,2.331095,1.702283
Dock8,Dock8.1,7.55E-25,-0.215960906,0.877,0.879,2.03E-20,blue,0.252353,-0.393235,0.211588,0.294327
Dpysl2,Dpysl2.1,9.99E-16,-0.170361441,0.297,0.297,2.68E-11,blue,0.391471,-0.315112,0.011824,0.212914
Dram2,Dram2.1,1.36E-26,0.202057664,0.335,0.234,3.65E-22,red,0.270294,-1.172755,2.606564,1.930914
Dtnbp1,Dtnbp1.1,7.02E-79,0.645153093,0.54,0.301,1.88E-74,red,0.097647,0.661494,1.967157,1.409827
Dync1li1,Dync1li1,3.24E-31,0.168205458,0.266,0.174,8.70E-27,red,0.108824,-0.175857,0.092697,0.244802
E2f3,E2f3.2,2.98E-31,-0.172574645,0.396,0.364,8.00E-27,blue,0.081471,-3.194317,2.552662,1.887698
Eef1a1,Eef1a1.1,1.40E-49,0.364566698,0.475,0.302,3.76E-45,red,0.319412,0.609791,4.689214,3.761678
Eef2k,Eef2k.2,2.76E-51,-0.661937231,0.213,0.32,7.41E-47,blue,0.217059,-2.447587,5.093998,4.133002
Ehd4,Ehd4.1,2.55E-35,0.186048058,0.459,0.329,6.85E-31,red,0.414412,-0.366399,0.359198,0.357821
Elf2,Elf2.1,2.01E-50,0.347732982,0.575,0.39,5.39E-46,red,0.187353,-0.53482,0.156858,0.274545
Elk3,Elk3,2.06E-42,0.141418393,0.605,0.465,5.53E-38,red,0.278235,0.201294,1.271836,0.908655
Ell2,Ell2,2.21E-70,0.628788844,0.256,0.094,5.94E-66,red,0.012941,2.903912,2.258918,1.641967
Elmo1,Elmo1.2,1.18E-246,-0.88490551,0.938,0.97,3.18E-242,blue,0.541471,-1.463565,6.615799,5.559628
Entpd1,Entpd1.1,2.54E-60,-0.554851426,0.606,0.702,6.81E-56,blue,0.942059,-1.189364,8.945812,7.770846
Ep400,Ep400,7.13E-36,0.116364136,0.411,0.303,1.91E-31,red,0.114118,-0.46417,0.025014,0.218512
Epc2,Epc2,2.06E-25,-0.185755088,0.27,0.258,5.53E-21,blue,0.114118,-0.779266,1.719781,1.221764
Eprs,Eprs,1.49E-32,0.295565327,0.255,0.148,4.00E-28,red,0.142059,0.60957,1.403934,0.994745
Eps15,Eps15.2,6.11E-40,0.125406772,0.418,0.3,1.64E-35,red,0.099118,0.615266,1.166539,0.838526
Epsti1,Epsti1.2,1.60E-16,0.250043475,0.499,0.395,4.30E-12,red,0.033824,-0.398818,0.345152,0.352093
Erp29,Erp29,2.45E-29,0.149137889,0.378,0.278,6.56E-25,red,0.735882,0.104384,0.855793,0.627962
Etl4,Etl4.1,2.52E-105,1.082800584,0.432,0.191,6.77E-101,red,0.004412,3.625511,5.27286,4.301809
Etnk1,Etnk1.2,1.91E-37,0.289173958,0.426,0.286,5.12E-33,red,0.263824,-1.011218,1.423809,1.009005
Etv6,Etv6,1.47E-20,0.257998081,0.848,0.749,3.94E-16,red,0.109118,-0.179751,0.183688,0.279962
Evi5,Evi5.1,2.23E-30,-0.172262917,0.302,0.274,5.98E-26,blue,0.099118,-0.316715,0.461097,0.411922
Exoc4,Exoc4,9.66E-30,0.151132969,0.836,0.714,2.59E-25,red,0.121765,-0.566904,0.38055,0.368575
Ext1,Ext1.2,5.78E-31,0.176883837,0.573,0.444,1.55E-26,red,0.030294,0.211551,0.252952,0.316586
Eya4,Eya4,2.44E-52,0.431243215,0.401,0.229,6.54E-48,red,0.014412,-0.39043,0.336811,0.353695
F11r,F11r.1,3.14E-29,-0.220067703,0.405,0.396,8.41E-25,blue,1.262941,-0.874201,7.633498,6.510587
Fam102b,Fam102b.2,4.11E-71,-0.781150559,0.32,0.447,1.10E-66,blue,0.982353,-0.688795,1.441674,1.020322
Fam117b,Fam117b.1,6.19E-31,-0.20905476,0.363,0.343,1.66E-26,blue,0.188235,-0.484341,0.120262,0.257169
Fam120a,Fam120a,6.74E-42,0.236288059,0.386,0.255,1.81E-37,red,0.113529,0.305594,1.121398,0.804576
Fam129a,Fam129a,5.12E-21,0.140465597,0.257,0.181,1.37E-16,red,0.1,1.14367,1.630682,1.153056
Fam168a,Fam168a.1,1.75E-31,-0.139797907,0.442,0.396,4.69E-27,blue,0.224118,-0.960325,0.931812,0.674529
Fam20c,Fam20c,2.16E-266,1.556224783,0.395,0.066,5.81E-262,red,0.006765,5.700718,21.584578,19.802644
Fam49b,Fam49b.1,1.50E-40,-0.23675204,0.883,0.856,4.04E-36,blue,0.799412,-0.846747,4.29183,3.407189
Fat3,Fat3.1,7.60E-36,0.688084044,0.525,0.373,2.04E-31,red,0.027941,0.637146,0.720598,0.547093
Fau,Fau,5.31E-39,0.310823324,0.284,0.162,1.42E-34,red,0.259412,1.243315,12.23178,10.892753
Fbrsl1,Fbrsl1.1,6.05E-25,-0.158594866,0.384,0.365,1.62E-20,blue,0.379412,-1.473287,3.849868,3.014058
Fbxl17,Fbxl17.1,8.78E-24,0.318983863,0.831,0.721,2.36E-19,red,0.063824,-1.681662,0.883071,0.642943
Fbxw4,Fbxw4,1.33E-24,0.120255221,0.465,0.364,3.57E-20,red,0.216765,-0.123703,0.027959,0.219643
Fbxw7,Fbxw7,7.40E-30,0.14704301,0.396,0.291,1.99E-25,red,0.082353,-1.489966,1.5922,1.12649
Fcer1g,Fcer1g.1,8.26E-28,0.105465473,0.35,0.261,2.22E-23,red,1.703824,0.691891,7.222499,6.113782
Fcgr2b,Fcgr2b,7.49E-27,0.185412781,0.256,0.168,2.01E-22,red,0.36,0.14443,1.800117,1.279626
Fcho2,Fcho2,8.55E-32,-0.147145422,0.651,0.604,2.30E-27,blue,0.226765,-1.093289,1.281758,0.914798
Fchsd2,Fchsd2.2,4.00E-96,-0.714248362,0.654,0.757,1.07E-91,blue,0.327647,-1.797718,4.469631,3.566253
Fcrls,Fcrls.2,8.88E-32,-0.343319982,0.451,0.485,2.38E-27,blue,3.126176,-0.411256,2.731323,2.03833
Fermt3,Fermt3.1,1.24E-30,-0.210699624,0.444,0.427,3.34E-26,blue,0.361176,-0.819108,1.420691,1.007297
Fgd2,Fgd2.2,8.74E-105,-0.798181911,0.456,0.63,2.35E-100,blue,0.632647,-1.816765,10.540515,9.263319
Fgd4,Fgd4.1,7.85E-29,0.136738552,0.431,0.324,2.11E-24,red,0.054118,0.508072,0.733135,0.555067
Fkbp5,Fkbp5.1,4.49E-34,-0.382204515,0.407,0.42,1.20E-29,blue,0.187647,-0.508171,0.041159,0.22337
Fli1,Fli1.1,6.92E-38,-0.307503017,0.808,0.831,1.86E-33,blue,0.310882,-0.721944,1.755746,1.248739
Fmnl2,Fmnl2.1,2.15E-97,0.850416803,0.68,0.418,5.76E-93,red,0.037059,-0.262675,0.31713,0.345877
Fnbp1,Fnbp1.1,5.75E-44,-0.43106181,0.553,0.593,1.54E-39,blue,0.224706,-0.206308,0.815725,0.60217
Fndc3b,Fndc3b,3.21E-43,0.264818611,0.554,0.393,8.62E-39,red,0.090882,0.253986,0.962755,0.691285
Fnip1,Fnip1.1,6.03E-53,0.469909072,0.677,0.478,1.62E-48,red,0.177647,-0.567239,0.817441,0.603175
Foxn3,Foxn3.1,2.57E-29,-0.271269124,0.898,0.904,6.90E-25,blue,0.129118,-0.331405,0.292487,0.331391
Foxp1,Foxp1.1,1.40E-22,-0.175915452,0.698,0.653,3.77E-18,blue,0.172647,-1.098468,0.748792,0.562288
Frmd4a,Frmd4a.2,1.38E-115,-0.565452884,0.841,0.87,3.71E-111,blue,0.872059,-1.284002,4.015425,3.161359
Frmd4b,Frmd4b,1.67E-22,-0.157233491,0.851,0.82,4.48E-18,blue,0.330294,-1.171897,3.119159,2.378617
Frrs1,Frrs1,3.05E-41,0.217989902,0.517,0.37,8.19E-37,red,0.033824,1.693831,2.929225,2.207989
Fth1,Fth1.2,6.38E-74,0.609832036,0.615,0.378,1.71E-69,red,1.920294,1.514116,42.318021,40.017573
Ftl1,Ftl1,1.94E-68,0.646085877,0.358,0.165,5.21E-64,red,0.036765,2.160799,13.432738,12.02716
Fubp1,Fubp1,1.20E-35,0.108670178,0.555,0.433,3.22E-31,red,0.156471,-0.53682,0.348924,0.353505
Fut8,Fut8,1.21E-21,-0.158057975,0.29,0.271,3.26E-17,blue,0.087941,-0.637152,0.070667,0.23523
Fyb,Fyb.1,2.07E-20,0.270156925,0.902,0.827,5.56E-16,red,0.425588,-0.675365,1.001386,0.720884
Fyco1,Fyco1,3.53E-24,-0.137965671,0.27,0.248,9.46E-20,blue,0.052941,-3.200459,1.607756,1.138217
Fyn,Fyn,1.41E-50,0.261409529,0.265,0.134,3.78E-46,red,0.047059,0.565316,1.15942,0.832792
Gab1,Gab1.1,7.27E-32,-0.49800304,0.228,0.285,1.95E-27,blue,0.148824,-2.220294,3.062833,2.327643
Gab2,Gab2,3.08E-32,0.257208469,0.939,0.849,8.25E-28,red,0.083529,-0.497606,0,0.208822
Galc,Galc,1.73E-62,0.463440688,0.283,0.126,4.64E-58,red,0.078529,0.505976,2.026311,1.455028
Gas5,Gas5,2.44E-32,0.209082391,0.281,0.18,6.55E-28,red,0.167941,1.158431,5.622817,4.634122
Gatad2a,Gatad2a,1.99E-44,0.206048939,0.287,0.175,5.35E-40,red,0.168824,-0.438127,0.594432,0.482913
Gdi2,Gdi2.1,5.31E-38,-0.177293237,0.521,0.482,1.43E-33,blue,0.863529,0.108365,0.433344,0.396059
Gfm2,Gfm2.1,2.02E-30,-0.174764858,0.37,0.348,5.42E-26,blue,0.092353,-0.496874,0.151339,0.272495
Ggnbp2,Ggnbp2.1,2.51E-36,0.141437259,0.399,0.285,6.73E-32,red,0.197941,-0.573816,0.247128,0.315524
Git2,Git2.1,1.09E-41,-0.335061693,0.514,0.532,2.93E-37,blue,0.471765,-1.230534,1.913603,1.367885
Gna13,Gna13,2.70E-40,0.306495137,0.394,0.253,7.24E-36,red,0.420294,-0.62646,2.026047,1.455573
Gna15,Gna15.1,2.58E-30,-0.300791278,0.332,0.354,6.92E-26,blue,0.622647,-1.364094,6.830659,5.75552
Gnas,Gnas,2.95E-21,0.177884421,0.463,0.359,7.92E-17,red,1.475882,2.152279,53.754474,51.194388
Gnb1,Gnb1,5.90E-35,0.103356873,0.523,0.404,1.58E-30,red,0.453529,-0.351357,0.306991,0.33999
Gng12,Gng12.2,4.38E-100,0.727681406,0.572,0.302,1.18E-95,red,0.096176,1.544904,7.11711,6.018059
Gng2,Gng2,1.53E-50,-0.467722392,0.388,0.42,4.10E-46,blue,0.283529,-1.254379,3.105931,2.365987
Gnptab,Gnptab,3.77E-95,0.712602359,0.363,0.142,1.01E-90,red,0.034412,1.131522,2.508415,1.851913
Gns,Gns,3.63E-30,0.191504604,0.695,0.56,9.73E-26,red,1.493824,0.618019,6.442867,5.40249
Golm1,Golm1.2,6.34E-46,-0.398132521,0.421,0.447,1.70E-41,blue,1.740588,-0.806389,6.769101,5.699102
Gpr183,Gpr183,1.74E-20,0.217010604,0.329,0.236,4.67E-16,red,0.487059,-0.901523,2.291816,1.668518
Gpr34,Gpr34.2,3.11E-73,-0.704271947,0.399,0.498,8.35E-69,blue,3.750882,-0.85822,12.216125,10.879465
Grb2,Grb2.2,5.04E-47,0.351377757,0.683,0.499,1.35E-42,red,0.418235,-0.920644,0.917262,0.667387
Grn,Grn.1,1.62E-29,0.175286453,0.48,0.36,4.34E-25,red,3.173235,1.03402,26.594712,24.655992
Gse1,Gse1.1,4.43E-29,0.227872244,0.324,0.215,1.19E-24,red,0.072941,-1.056145,0.26819,0.321466
Gsk3b,Gsk3b,7.09E-41,0.119061772,0.549,0.42,1.90E-36,red,0.237059,-0.708932,1.697854,1.205954
Gspt1,Gspt1.1,2.34E-25,-0.242552477,0.256,0.258,6.28E-21,blue,0.230882,-0.184674,0.046117,0.226179
Gtf2h2,Gtf2h2.2,1.37E-55,-0.482892487,0.414,0.47,3.68E-51,blue,0.215294,-1.282858,3.745027,2.922424
Gtf2i,Gtf2i.1,8.42E-38,-0.295292953,0.366,0.368,2.26E-33,blue,0.297647,-1.330853,2.020667,1.450597
Gusb,Gusb,4.10E-34,0.17907718,0.333,0.227,1.10E-29,red,0.512059,1.791202,27.188383,25.220374
H2-D1,H2-D1.1,1.58E-75,0.484077642,0.552,0.324,4.23E-71,red,0.337941,2.988854,51.773366,49.318016
H2-K1,H2-K1.1,3.94E-63,0.347106711,0.52,0.322,1.06E-58,red,0.428824,2.197553,33.964708,31.840352
H3f3b,H3f3b,2.52E-32,0.271343854,0.259,0.152,6.77E-28,red,0.922941,-0.324236,0.470047,0.417695
Hck,Hck.1,7.40E-11,-0.130119089,0.433,0.44,1.99E-06,blue,0.296765,-1.069933,2.148518,1.549206
Helz,Helz,1.20E-33,-0.208891006,0.358,0.338,3.21E-29,blue,0.154118,-2.420101,1.553617,1.100433
Herc2,Herc2.1,5.98E-50,-0.26089206,0.669,0.636,1.60E-45,blue,0.360294,-0.841641,1.53456,1.085982
Hexa,Hexa,6.34E-30,0.120556727,0.416,0.317,1.70E-25,red,1.585,1.191048,24.210447,22.333244
Hif1a,Hif1a.2,1.61E-139,0.960403771,0.593,0.282,4.31E-135,red,0.217941,1.50198,12.899055,11.517685
Hnrnpm,Hnrnpm,5.03E-43,0.125945663,0.486,0.362,1.35E-38,red,0.212647,-0.511072,0.268185,0.321557
Hnrnpr,Hnrnpr,3.14E-24,-0.120649683,0.262,0.234,8.44E-20,blue,0.102647,-0.708231,0.088939,0.243259
Hook3,Hook3,1.44E-38,-0.141223502,0.425,0.376,3.86E-34,blue,0.312941,-0.540326,0.040223,0.223149
Hpcal1,Hpcal1,2.46E-42,0.251527257,0.316,0.193,6.61E-38,red,0.074118,-0.458817,0.055225,0.230303
Hpgd,Hpgd.1,4.11E-40,-0.641675803,0.221,0.318,1.10E-35,blue,1.098529,-0.976939,5.796337,4.798003
Hpgds,Hpgds.1,5.80E-44,-0.265925163,0.779,0.765,1.56E-39,blue,0.681176,-1.131138,3.163598,2.419452
Hps3,Hps3,3.37E-26,-0.112938409,0.421,0.388,9.03E-22,blue,0.239118,-2.280561,3.772054,2.945093
Hps4,Hps4.2,2.31E-37,-0.102921402,0.442,0.384,6.20E-33,blue,0.306176,-0.591879,0.504175,0.435451
Hsp90b1,Hsp90b1.1,9.63E-26,0.204344326,0.402,0.291,2.59E-21,red,1.983235,0.127854,0.365422,0.360651
Htt,Htt,1.32E-35,0.147995112,0.389,0.28,3.54E-31,red,0.042353,-0.315595,0.29581,0.333419
Ifi204,Ifi204,9.69E-100,1.017554989,0.373,0.146,2.60E-95,red,0.030882,2.470863,4.852602,3.911989
Ifngr1,Ifngr1,5.92E-35,-0.424989264,0.255,0.305,1.59E-30,blue,1.225588,-1.587352,13.061491,11.669528
Ifngr2,Ifngr2,1.44E-39,0.196755602,0.434,0.306,3.86E-35,red,0.565294,-0.166537,0.178181,0.277147
Igf1,Igf1,1.14E-274,1.675195543,0.365,0.048,3.05E-270,red,0.033824,4.222486,24.230077,22.344602
Ikzf1,Ikzf1.1,4.75E-35,-0.277235199,0.832,0.833,1.27E-30,blue,0.424412,-1.019037,1.916568,1.36932
Il10ra,Il10ra.1,1.52E-34,-0.260582246,0.399,0.405,4.08E-30,blue,0.748824,-1.277483,8.878822,7.707097
Il10rb,Il10rb,1.03E-28,0.141230268,0.297,0.209,2.77E-24,red,0.366471,-0.431536,0.44314,0.401209
Il15,Il15,5.17E-26,0.183724561,0.278,0.19,1.39E-21,red,0.048529,-0.305541,0.038758,0.222823
Il6ra,Il6ra.2,1.68E-65,-0.587272403,0.428,0.52,4.51E-61,blue,0.960882,-1.789221,10.20998,8.956807
Impact,Impact,2.04E-39,0.119429366,0.325,0.224,5.48E-35,red,0.048824,0.363813,0.567707,0.47002
Inpp4b,Inpp4b,5.36E-34,-0.370672534,0.857,0.867,1.44E-29,blue,0.06,-1.840463,1.700536,1.207623
Inpp5d,Inpp5d.1,9.87E-88,-0.418571198,0.954,0.957,2.65E-83,blue,1.030588,-0.829083,4.4867,3.580704
Ip6k1,Ip6k1,6.59E-43,-0.166459337,0.336,0.298,1.77E-38,blue,0.196176,-1.483492,2.856217,2.14516
Ipcef1,Ipcef1,5.03E-22,0.158708393,0.368,0.275,1.35E-17,red,0.023529,1.017829,1.256594,0.89716
Irf8,Irf8,7.03E-49,0.396532754,0.663,0.473,1.89E-44,red,0.747059,0.173298,0.315617,0.345887
Itch,Itch,1.34E-30,-0.183393853,0.537,0.511,3.61E-26,blue,0.129118,-1.063472,0.738854,0.555345
Itga6,Itga6.2,8.75E-21,-0.153507902,0.498,0.47,2.35E-16,blue,1.056471,-0.904468,4.442771,3.544585
Itga9,Itga9.1,2.77E-63,-0.882943326,0.137,0.293,7.43E-59,blue,0.166765,-1.940203,3.024236,2.290814
Itgam,Itgam.1,4.38E-32,-0.335668444,0.525,0.571,1.18E-27,blue,2.063235,-1.124086,11.222016,9.921568
Itgav,Itgav.2,1.27E-23,-0.108701809,0.43,0.394,3.40E-19,blue,0.327059,-1.270171,3.236866,2.481106
Itgax,Itgax,1.29E-165,1.067320081,0.357,0.088,3.45E-161,red,0.003235,7.860371,45.544294,43.198088
Itm2b,Itm2b.1,4.91E-34,-0.186591684,0.694,0.659,1.32E-29,blue,9.015882,0.385876,8.422408,7.272716
Itpkb,Itpkb.1,1.22E-45,0.491773806,0.547,0.363,3.26E-41,red,0.103529,0.100451,0.442415,0.400963
Itpr2,Itpr2.1,4.43E-37,-0.215351061,0.658,0.629,1.19E-32,blue,0.235588,-0.317841,0.644183,0.508533
Ivns1abp,Ivns1abp.2,1.88E-83,-0.611739141,0.676,0.725,5.05E-79,blue,0.968824,-1.274347,6.012747,5.002333
Jak1,Jak1,1.13E-29,-0.16010724,0.466,0.426,3.02E-25,blue,0.587059,-1.075651,3.73275,2.912309
Jarid2,Jarid2,8.30E-30,-0.247489651,0.304,0.301,2.23E-25,blue,0.059412,-0.636425,1.345451,0.957756
Kat2b,Kat2b,1.33E-22,-0.118456047,0.253,0.221,3.56E-18,blue,0.050588,-0.71166,0.325993,0.349312
Kdm2a,Kdm2a,2.02E-32,0.229773383,0.619,0.474,5.42E-28,red,0.186765,-0.986798,0.758532,0.568842
Kdm2b,Kdm2b.1,7.27E-29,-0.305068539,0.289,0.302,1.95E-24,blue,0.118529,-0.396409,0.610325,0.489428
Kdm3a,Kdm3a,1.10E-34,0.139904105,0.32,0.223,2.95E-30,red,0.088824,-0.20677,0.135338,0.264158
Kdm3b,Kdm3b.1,2.14E-32,-0.171367706,0.439,0.408,5.75E-28,blue,0.102353,-1.253429,1.680738,1.193537
Kif13a,Kif13a,2.25E-30,-0.13940483,0.306,0.275,6.05E-26,blue,0.064706,-2.70147,1.353414,0.961987
Kif21b,Kif21b.1,1.93E-42,-0.490469202,0.259,0.324,5.17E-38,blue,0.201176,-1.631694,3.719289,2.901
Klf3,Klf3.1,1.53E-29,-0.290707449,0.269,0.288,4.11E-25,blue,0.254706,-1.191551,1.76379,1.255733
Klhl24,Klhl24,1.94E-26,0.102583038,0.311,0.23,5.21E-22,red,0.146176,-0.44566,0.603985,0.487376
Klhl6,Klhl6.1,1.38E-37,0.279356588,0.412,0.275,3.71E-33,red,0.143529,1.04843,4.514069,3.605438
Kpna3,Kpna3,1.26E-38,0.235340358,0.434,0.298,3.38E-34,red,0.145882,0.34129,0.785455,0.585033
Kpna4,Kpna4,3.77E-28,0.126831265,0.54,0.428,1.01E-23,red,0.112353,-0.756782,0.522914,0.44674
Ktn1,Ktn1,1.30E-35,-0.160634871,0.454,0.413,3.50E-31,blue,0.207647,-1.247858,0.538149,0.453206
Lamp1,Lamp1.2,8.30E-39,0.190730846,0.428,0.3,2.23E-34,red,2.015294,0.653564,7.396632,6.280875
Lamp2,Lamp2.1,1.64E-52,0.367532797,0.606,0.413,4.39E-48,red,0.870882,0.750789,7.051129,5.958854
Laptm5,Laptm5.1,1.14E-39,-0.338629598,0.413,0.431,3.05E-35,blue,6.785588,-0.129962,1.305305,0.931199
Larp1,Larp1.1,1.55E-46,0.298008198,0.513,0.347,4.17E-42,red,0.143529,-0.370855,0.491427,0.429903
Lars,Lars,5.51E-32,0.138714684,0.293,0.203,1.48E-27,red,0.047059,0.452549,0.945005,0.679386
Lat2,Lat2,2.31E-39,0.323137787,0.259,0.14,6.20E-35,red,0.165,0.510677,2.674199,1.987593
Lcp1,Lcp1.2,7.30E-23,0.111177307,0.516,0.417,1.96E-18,red,0.935882,-0.362887,0.472504,0.419293
Lgals9,Lgals9,1.16E-26,0.14060521,0.371,0.278,3.11E-22,red,0.497941,-0.578255,1.107096,0.792748
Lgmn,Lgmn.2,3.75E-63,-0.46005366,0.738,0.776,1.01E-58,blue,5.866765,-0.652843,14.722894,13.254955
Litaf,Litaf.1,6.68E-56,0.505707589,0.384,0.206,1.79E-51,red,0.252353,0.540399,1.851324,1.320254
Lpcat1,Lpcat1,2.78E-33,0.243966178,0.294,0.186,7.46E-29,red,0.304118,-0.107917,0.046175,0.226165
Lpcat2,Lpcat2.1,4.67E-45,-0.346577859,0.708,0.735,1.25E-40,blue,1.863529,-1.311565,15.951629,14.425698
Lpin2,Lpin2.1,4.56E-35,-0.142263293,0.528,0.48,1.22E-30,blue,0.263529,-1.168038,3.006998,2.275338
Lpl,Lpl,7.41E-166,1.389011281,0.301,0.062,1.99E-161,red,0.097353,4.946601,69.184014,66.059657
Lpxn,Lpxn.1,2.05E-29,0.163558384,0.32,0.221,5.50E-25,red,0.148824,-0.716403,0.013946,0.213528
Lrba,Lrba.1,3.67E-55,-0.678494141,0.306,0.403,9.84E-51,blue,0.4,-2.646691,8.57764,7.420207
Lrch1,Lrch1.1,1.28E-27,-0.126515248,0.832,0.782,3.44E-23,blue,0.146471,-1.105672,1.116795,0.801324
Lrch3,Lrch3.1,1.88E-33,0.256133469,0.581,0.434,5.04E-29,red,0.183824,-1.306003,1.962385,1.407012
Lrp12,Lrp12,2.69E-58,0.493816911,0.321,0.156,7.21E-54,red,0.068529,-0.290757,0.495409,0.430742
Lrp5,Lrp5.1,3.35E-24,-0.183543222,0.27,0.264,8.98E-20,blue,0.076176,-1.035099,1.520896,1.078082
Lrrc8d,Lrrc8d,7.30E-46,0.314057203,0.569,0.394,1.96E-41,red,0.062059,0.962612,3.224925,2.470402
Lsm14a,Lsm14a,3.02E-33,0.116282838,0.323,0.231,8.10E-29,red,0.219706,-0.337963,0.399451,0.378099
Luc7l3,Luc7l3,1.66E-38,0.119874891,0.542,0.415,4.45E-34,red,0.296176,-0.636091,1.855076,1.323267
Lyz2,Lyz2,9.72E-83,0.881775848,0.317,0.121,2.61E-78,red,0.421176,3.455854,70.382141,67.081693
Maf,Maf,4.69E-50,-0.586323879,0.378,0.451,1.26E-45,blue,1.703824,-2.252391,24.546455,22.652547
Maml3,Maml3.2,2.16E-77,-0.524557375,0.843,0.864,5.80E-73,blue,0.127353,-1.131845,0.883617,0.643111
Man1a,Man1a.1,1.38E-38,-0.442201164,0.401,0.447,3.70E-34,blue,0.365,-1.164555,5.216734,4.247713
Man1a2,Man1a2.1,1.79E-34,-0.123165731,0.579,0.526,4.80E-30,blue,0.58,-0.556976,0.805075,0.595414
Man1c1,Man1c1,1.12E-32,0.252050078,0.662,0.514,3.01E-28,red,0.333235,0.388203,1.622664,1.147642
Map3k1,Map3k1.1,3.25E-39,0.250687767,0.356,0.231,8.72E-35,red,0.121471,-0.500484,0.051013,0.228193
Map3k3,Map3k3.1,1.98E-39,-0.308951241,0.482,0.491,5.30E-35,blue,0.094706,-1.432866,0.836219,0.614228
Map3k5,Map3k5,3.91E-20,-0.178708279,0.447,0.442,1.05E-15,blue,0.109118,-0.637224,1.173141,0.843736
Map4k3,Map4k3,7.69E-35,0.262288752,0.512,0.37,2.06E-30,red,0.043824,0.285219,0.01489,0.213785
Map4k4,Map4k4.1,5.59E-73,-0.452991109,0.598,0.614,1.50E-68,blue,0.199118,-0.611048,0.551949,0.461685
Mapk14,Mapk14.1,9.77E-52,-0.461348082,0.413,0.464,2.62E-47,blue,0.315294,-1.099701,3.509821,2.719918
Mapkap1,Mapkap1,2.52E-33,-0.176310978,0.368,0.337,6.75E-29,blue,0.070882,-0.871474,0.275127,0.325024
Mat2a,Mat2a,1.37E-24,0.128538742,0.263,0.185,3.66E-20,red,0.364412,-0.536108,0.877769,0.639339
Mbd2,Mbd2.1,5.69E-35,0.132449497,0.305,0.208,1.53E-30,red,0.144706,0.3199,0.808239,0.597166
Mbnl1,Mbnl1,2.23E-13,-0.185742655,0.917,0.915,5.97E-09,blue,0.976765,-0.864032,4.002065,3.151866
Mbtd1,Mbtd1,6.47E-41,0.126023687,0.517,0.386,1.74E-36,red,0.107647,-0.326186,0.358509,0.357677
Med12l,Med12l.2,3.38E-64,-0.589601865,0.435,0.515,9.07E-60,blue,0.139706,-3.53626,3.710731,2.895294
Med13l,Med13l,4.52E-28,-0.151106901,0.535,0.498,1.21E-23,blue,0.287647,-1.01958,2.863672,2.151496
Med14,Med14,8.91E-39,0.300316595,0.292,0.171,2.39E-34,red,0.032353,1.116692,0.895923,0.652761
Med15,Med15,3.71E-34,0.20416693,0.312,0.205,9.97E-30,red,0.085882,-0.803274,0.853349,0.626253
Mef2a,Mef2a.1,6.40E-34,-0.206640591,0.969,0.936,1.72E-29,blue,0.951176,-0.930809,6.809324,5.736763
Mef2c,Mef2c.1,1.72E-17,-0.15147618,0.912,0.898,4.63E-13,blue,1.337647,-0.449461,1.654746,1.173513
Mef2d,Mef2d.1,1.64E-26,-0.152601059,0.321,0.301,4.40E-22,blue,0.115882,0.472005,0.505164,0.435676
Memo1,Memo1,8.41E-33,0.117072357,0.392,0.291,2.26E-28,red,0.041176,-0.43934,0.074896,0.236621
Mertk,Mertk.2,7.29E-69,-0.369012836,0.921,0.92,1.96E-64,blue,1.12,-0.261147,1.309866,0.93473
Mfhas1,Mfhas1,6.79E-49,0.394943681,0.437,0.269,1.82E-44,red,0.120294,-0.259032,0.003655,0.21005
Mga,Mga.2,5.55E-39,0.234805712,0.376,0.249,1.49E-34,red,0.091765,-0.205513,0.056401,0.230824
Mgat4a,Mgat4a.2,3.92E-42,-0.353487535,0.565,0.582,1.05E-37,blue,0.468529,-0.925985,4.106699,3.242414
Mgat5,Mgat5,1.94E-15,0.117152343,0.709,0.617,5.20E-11,red,0.022941,0.32792,0.278224,0.32647
Mitf,Mitf.1,8.01E-105,0.636572107,0.902,0.715,2.15E-100,red,0.071176,0.20772,0.20243,0.288838
