gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
Rcsd1,Rcsd1.1,3.54E-37,-0.392059423,0.384,0.424,9.51E-33,blue,0.305588,-0.835871,1.760562,1.252856
Reep3,Reep3,4.66E-29,0.135249874,0.31,0.219,1.25E-24,red,0.174706,0.113498,0.276585,0.325803
Rffl,Rffl.1,1.62E-19,-0.149638276,0.42,0.397,4.34E-15,blue,0.052647,-0.462029,0.000557,0.20911
Rgl1,Rgl1,6.76E-16,-0.246593064,0.234,0.259,1.81E-11,blue,0.110882,-2.772262,3.453526,2.671592
Rgs10,Rgs10.2,3.27E-55,-0.470534283,0.455,0.509,8.77E-51,blue,2.078824,-0.485482,2.892528,2.176977
Rhoh,Rhoh.1,5.87E-26,-0.20503296,0.424,0.415,1.57E-21,blue,0.196471,-1.012583,1.453184,1.029242
Rlf,Rlf,1.19E-47,0.14625694,0.424,0.293,3.20E-43,red,0.088529,-1.172839,1.434571,1.015508
Rnf115,Rnf115,2.19E-34,0.216021893,0.299,0.191,5.89E-30,red,0.069118,0.277373,0.102415,0.248737
Rnf149,Rnf149,8.45E-55,0.562864335,0.308,0.144,2.27E-50,red,0.112941,1.111186,3.831626,2.998786
Rnf169,Rnf169,1.79E-26,-0.209838,0.512,0.494,4.81E-22,blue,0.116176,-0.171695,0.320429,0.346829
Rnf213,Rnf213.2,1.78E-46,0.755607605,0.45,0.28,4.77E-42,red,0.132941,-0.639489,0.414079,0.385473
Rnf216,Rnf216.1,2.05E-41,-0.243857337,0.679,0.652,5.49E-37,blue,0.154412,-1.08527,0.624984,0.497722
Rock2,Rock2.1,1.08E-50,-0.426715086,0.552,0.589,2.89E-46,blue,0.390294,-0.665474,0.807387,0.596844
Rpl10a,Rpl10a,1.27E-48,0.362799484,0.326,0.18,3.41E-44,red,0.167941,1.359364,13.12224,11.727588
Rpl6,Rpl6,8.87E-28,0.14240413,0.26,0.176,2.38E-23,red,0.340588,0.823215,6.907949,5.824985
Rps6ka1,Rps6ka1.1,3.41E-48,-0.581162022,0.247,0.34,9.15E-44,blue,0.718529,-1.448061,9.170299,7.982121
Rps6ka3,Rps6ka3.1,1.91E-24,0.16395532,0.513,0.401,5.12E-20,red,0.065882,-0.998113,1.250976,0.893032
Rptor,Rptor.2,2.02E-43,-0.315751687,0.653,0.658,5.41E-39,blue,0.31,-0.562239,0.666961,0.520633
Rreb1,Rreb1.1,6.88E-18,-0.164196849,0.883,0.869,1.85E-13,blue,0.137941,-2.183501,2.125262,1.531532
