,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ewsr1,1.01E-59,0.04622225,0.307,0.177,2.52E-55
Dock11,1.03E-59,-0.098234369,0.378,0.258,2.57E-55
C230088H06Rik,1.03E-59,0.125058575,0.294,0.154,2.57E-55
Erbin,1.07E-59,0.065871166,0.358,0.214,2.67E-55
Ptp4a2,1.09E-59,0.096220005,0.34,0.199,2.72E-55
Pten,1.19E-59,-0.151951637,0.393,0.289,2.98E-55
Arpc2,1.22E-59,0.13416249,0.325,0.176,3.06E-55
Pik3ap1,1.35E-59,0.110814973,0.45,0.285,3.38E-55
Papola,1.35E-59,0.06081877,0.35,0.212,3.39E-55
Cttnbp2nl,1.45E-59,-0.14579883,0.449,0.33,3.64E-55
Cdk13,1.55E-59,0.083999063,0.384,0.237,3.89E-55
Wac,1.69E-59,0.016802578,0.346,0.213,4.24E-55
Marcks,1.77E-59,-0.031421515,0.337,0.218,4.44E-55
Pnisr,1.82E-59,0.045467692,0.457,0.299,4.55E-55
Apc,1.84E-59,-0.108371918,0.33,0.221,4.61E-55
Cog5,2.19E-59,0.024840421,0.389,0.247,5.49E-55
Wnk1,2.26E-59,-0.0100152,0.686,0.519,5.65E-55
Parp8,2.51E-59,-0.107340876,0.41,0.29,6.29E-55
Cnot4,2.55E-59,0.06487721,0.416,0.265,6.40E-55
Atp6v0a1,2.97E-59,0.272033764,0.425,0.238,7.43E-55
Sfpq,3.11E-59,0.021895674,0.364,0.224,7.80E-55
Ptk2b,3.47E-59,0.019037161,0.371,0.23,8.70E-55
Dennd5a,3.84E-59,-0.086911619,0.264,0.163,9.61E-55
Nrip1,4.01E-59,-0.156353695,0.467,0.347,1.01E-54
Senp2,4.05E-59,0.172066944,0.341,0.188,1.01E-54
Cd86,4.25E-59,0.068837676,0.376,0.224,1.06E-54
Clint1,4.31E-59,0.14396787,0.383,0.221,1.08E-54
Ube2k,4.40E-59,0.172278609,0.325,0.173,1.10E-54
Zmym4,4.61E-59,-0.025742921,0.319,0.201,1.16E-54
Gpatch8,4.82E-59,-0.00909467,0.363,0.235,1.21E-54
Fam13b,5.18E-59,0.008596669,0.291,0.169,1.30E-54
Ptpn1,5.33E-59,0.081488012,0.373,0.226,1.34E-54
Gpr34,5.42E-59,-0.281267945,0.381,0.304,1.36E-54
Elf1,5.74E-59,-0.046749109,0.329,0.212,1.44E-54
Maf,5.90E-59,-0.355681839,0.344,0.277,1.48E-54
Rnf216,6.33E-59,0.207628654,0.626,0.416,1.59E-54
Cdkal1,6.50E-59,0.034709225,0.362,0.224,1.63E-54
Gtf2h2,6.98E-59,0.051435512,0.374,0.235,1.75E-54
Tnfrsf11a,7.76E-59,0.103140225,0.36,0.211,1.94E-54
Baz2b,7.89E-59,0.01707048,0.45,0.299,1.98E-54
Babam2,8.40E-59,0.115592539,0.376,0.221,2.10E-54
Rap1b,8.99E-59,-0.015992427,0.321,0.205,2.25E-54
Cd2ap,9.27E-59,-0.044096025,0.319,0.203,2.32E-54
Ccdc50,9.43E-59,0.036239238,0.334,0.2,2.36E-54
Kdm2a,9.51E-59,0.095179468,0.411,0.256,2.38E-54
Son,9.93E-59,-0.161574485,0.721,0.59,2.49E-54
Gm26740,1.04E-58,0.325480185,0.403,0.211,2.60E-54
Cask,1.14E-58,-0.214155686,0.424,0.325,2.85E-54
Mlxipl,1.26E-58,0.108403235,0.34,0.197,3.15E-54
Mtus1,1.29E-58,-0.122345821,0.304,0.205,3.23E-54
