,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Adamts2,6.19E-75,-0.308621848,0.92,0.74,6.53E-72
Clu,1.65E-206,-0.325014124,0.144,0.54,1.74E-203
Tmtc2,2.49E-22,-0.33036941,0.806,0.784,2.63E-19
Luzp2,7.33E-12,-0.331962646,0.521,0.589,7.74E-09
Plxdc2,6.21E-27,-0.340918907,0.853,0.932,6.56E-24
Sec14l5,1.15E-82,-0.351750783,0.997,0.922,1.22E-79
Prrg1,8.02E-81,-0.373097824,0.949,0.792,8.47E-78
Prkca,6.25E-53,-0.376895396,0.54,0.737,6.60E-50
Fgf12,1.59E-21,-0.385579392,0.407,0.531,1.68E-18
Chn2,8.74E-126,-0.387100507,0.996,0.811,9.23E-123
Ugt8a,4.31E-65,-0.391298371,1,0.924,4.55E-62
Apoe,6.70E-92,-0.403238255,0.976,0.855,7.08E-89
Ermn,3.53E-45,-0.408848031,0.804,0.735,3.72E-42
Dock5,7.19E-24,-0.473954152,0.771,0.786,7.60E-21
Pde4b,0,-0.486085229,0.992,0.999,0
Spock3,6.37E-122,-0.49336749,0.974,0.84,6.73E-119
Tmem132d,1.95E-169,-0.510711215,0.892,0.618,2.06E-166
Enpp2,1.27E-96,-0.5222062,0.999,0.962,1.34E-93
Mob3b,5.05E-73,-0.52277458,0.709,0.558,5.33E-70
Gria4,5.58E-129,-0.52759481,0.973,0.762,5.90E-126
Oxr1,8.15E-33,-0.529628846,0.848,0.887,8.61E-30
Glul,2.82E-165,-0.533676026,0.961,0.722,2.98E-162
Npas3,7.52E-31,-0.541834831,0.595,0.72,7.94E-28
Cobl,7.53E-128,-0.544052705,0.966,0.774,7.96E-125
Apod,1.39E-139,-0.567810659,0.996,0.872,1.47E-136
Mobp,1.63E-58,-0.569161104,0.999,0.972,1.72E-55
Slc6a1,1.39E-59,-0.58037819,0.915,0.811,1.47E-56
Agmo,5.34E-94,-0.58379522,0.872,0.683,5.64E-91
Adgrv1,3.20E-158,-0.605673463,0.991,0.751,3.38E-155
Slc8a1,1.14E-108,-0.620675708,0.996,0.962,1.20E-105
Gjc3,5.91E-53,-0.622414498,0.8,0.86,6.24E-50
Cdh10,3.17E-90,-0.627510871,0.817,0.73,3.34E-87
Rcan2,3.65E-83,-0.641761621,0.948,0.848,3.85E-80
Tspan2,6.04E-88,-0.646687196,0.998,0.9,6.38E-85
Thsd4,1.14E-58,-0.65855205,0.429,0.63,1.21E-55
Lrrtm3,2.76E-132,-0.661958635,0.981,0.832,2.91E-129
Bcas1,4.98E-116,-0.665184106,0.91,0.812,5.26E-113
Cdh19,2.98E-75,-0.675444612,0.985,0.89,3.15E-72
Lrrc4c,1.07E-108,-0.677829061,0.98,0.922,1.13E-105
Bcas1os2,1.54E-141,-0.680664054,0.843,0.622,1.63E-138
Gm38505,3.65E-137,-0.70060422,0.886,0.645,3.85E-134
mt-Nd1,8.82E-30,-0.701055347,0.369,0.495,9.31E-27
Ptgds,7.61E-28,-0.727174927,1,0.956,8.04E-25
Plekhg1,2.04E-126,-0.753334801,0.995,0.879,2.15E-123
Elmo1,5.82E-97,-0.811069032,0.835,0.952,6.15E-94
A330049N07Rik,4.81E-106,-0.818211867,0.867,0.754,5.08E-103
Abca8a,2.15E-102,-0.831350112,1,0.865,2.27E-99
Robo1,2.29E-93,-0.854731518,0.95,0.821,2.42E-90
Ptn,4.79E-114,-0.922967224,0.928,0.829,5.06E-111
mt-Nd2,1.22E-56,-0.949578825,0.26,0.463,1.29E-53
mt-Co1,4.17E-37,-0.953411559,0.504,0.578,4.40E-34
St18,0,-0.970340854,0.999,0.991,0
7630403G23Rik,3.03E-150,-0.970800594,0.999,0.784,3.20E-147
Aspa,3.14E-114,-0.992190071,0.999,0.951,3.32E-111
Daam2,4.55E-96,-1.003715898,0.996,0.951,4.80E-93
Ctnna3,2.97E-165,-1.027281824,0.999,0.949,3.14E-162
Mbp,0,-1.032149139,1,0.998,0
mt-Nd4,1.18E-46,-1.045240356,0.429,0.599,1.25E-43
9330111N05Rik,4.23E-123,-1.045996562,0.996,0.828,4.47E-120
Plp1,0,-1.102373458,0.998,0.997,0
A230001M10Rik,1.60E-150,-1.203169257,0.995,0.864,1.69E-147
mt-Atp6,4.89E-48,-1.230062645,0.543,0.606,5.16E-45
mt-Co2,1.85E-47,-1.236342959,0.447,0.588,1.95E-44
Prr5l,4.37E-305,-1.301186989,0.995,0.973,4.61E-302
mt-Cytb,7.12E-45,-1.37373685,0.441,0.561,7.51E-42
Mag,9.53E-284,-1.441886112,0.996,0.863,1.01E-280
Mog,2.87E-171,-1.500683767,0.999,0.933,3.04E-168
mt-Co3,1.19E-64,-1.597426446,0.495,0.666,1.26E-61
