"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","symbol","LogFC","FDR"
"41","Il33",1.91324082981389e-91,-0.222789505072763,1,0.873,2.02038231628346e-88,"Il33",0.319395109,0.013901577
"42","Kcnk2",1.44428134303733e-24,0.163994066241893,0.625,0.518,1.52516109824742e-21,"Kcnk2",0.793005902,0.007842651
"43","Lama2",3.59290624777971e-53,-0.269759781048426,0.927,0.797,3.79410899765538e-50,"Lama2",-0.677733701,3.36e-08
"44","Lpar1",1.56584500816605e-99,-0.132596282988267,0.991,0.817,1.65353232862335e-96,"Lpar1",-0.227079162,0.036210843
"45","Luzp2",7.33186189708975e-12,-0.331962646344662,0.521,0.589,7.74244616332678e-09,"Luzp2",-0.56082871,2.34e-05
"46","Lypd6",1.43168306180497e-73,-0.203552180342686,0.818,0.603,1.51185731326605e-70,"Lypd6",0.52076296,7.93e-05
"47","Lypd6b",2.24703696981749e-28,-0.236772661880741,0.69,0.587,2.37287104012727e-25,"Lypd6b",-0.701977105,7.19e-08
"48","Matn2",2.29674232743274e-11,0.193160507685306,0.739,0.673,2.42535989776897e-08,"Matn2",-0.632270226,0.001926717
"49","Meis2",3.1057203944062e-14,0.388425294490876,0.553,0.586,3.27964073649294e-11,"Meis2",0.608832801,2.54e-11
"50","Mob3b",5.046855395736e-73,-0.522774580353615,0.709,0.558,5.32947929789721e-70,"Mob3b",-0.321245817,6.27e-05
"51","Mobp",1.62936850686501e-58,-0.569161103905268,0.999,0.972,1.72061314324945e-55,"Mobp",-0.22934604,0.000197811
"52","Mog",2.87414417209215e-171,-1.50068376738448,0.999,0.933,3.03509624572931e-168,"Mog",-0.241000483,0.000689721
"53","Myo1e",4.70243616189956e-161,1.13491291907742,0.693,0.647,4.96577258696594e-158,"Myo1e",-0.330702994,8.66e-05
"54","Myof",1.24052762088891e-159,0.457749890065071,0.385,0.53,1.30999716765868e-156,"Myof",1.954562762,2.84e-12
"55","Ndrg2",9.22530681224218e-48,-0.236474614527022,0.345,0.547,9.74192399372774e-45,"Ndrg2",-1.090245817,5.8e-08
"56","Parm1",4.58658618464823e-51,-0.124786912450994,0.915,0.768,4.84343501098853e-48,"Parm1",-0.255528841,0.002335999
"57","Pbx3",6.86141984443063e-11,0.361147707304785,0.652,0.584,7.24565935571874e-08,"Pbx3",-0.666805447,2.02e-11
"58","Pcdh7",3.89539076642402e-14,0.187894723950525,0.452,0.527,4.11353264934377e-11,"Pcdh7",1.538909122,7.64e-10
"59","Pde10a",1.23225196005574e-16,0.326490654503658,0.445,0.446,1.30125806981886e-13,"Pde10a",0.397388125,0.020326934
"60","Pde4b",0,-0.486085229202569,0.992,0.999,0,"Pde4b",0.132967658,0.002581212
"61","Pid1",5.06573767990349e-45,0.193326805136559,0.434,0.549,5.34941898997809e-42,"Pid1",0.857472824,0.002130116
"62","Plcb4",7.46007323961772e-60,-0.20133568748606,0.787,0.602,7.87783734103631e-57,"Plcb4",0.272524653,0.004911448
"63","Plp1",0,-1.10237345796936,0.998,0.997,0,"Plp1",-0.246877607,0.01353211
"64","Plpp3",5.58403652296515e-19,0.145946450768361,0.366,0.449,5.8967425682512e-16,"Plpp3",0.517728394,4.48e-14
"65","Plxdc2",6.21488232798645e-27,-0.340918907377242,0.853,0.932,6.56291573835369e-24,"Plxdc2",-0.144795631,0.007732262
"66","Prr5l",4.36983878750791e-305,-1.30118698897402,0.995,0.973,4.61454975960835e-302,"Prr5l",-0.245568946,0.000272913
"67","Prrg1",8.01669361547532e-81,-0.373097824291402,0.949,0.792,8.46562845794194e-78,"Prrg1",-0.728534217,3.09e-10
"68","Rdh5",7.26851413131934e-90,0.411566774451917,0.395,0.539,7.67555092267323e-87,"Rdh5",0.458670405,0.045057078
"69","Rgs20",0,1.57346349600104,0.418,0.369,0,"Rgs20",1.727772806,7.28e-07
"70","Rhoj",3.2196694302632e-21,0.387261745870915,0.862,0.778,3.39997091835794e-18,"Rhoj",1.821411762,2.73e-23
"71","Robo1",2.28978382834674e-93,-0.854731518092828,0.95,0.821,2.41801172273416e-90,"Robo1",-0.641697762,2.4e-05
"72","Runx1",0,1.15594732157041,0.397,0.372,0,"Runx1",3.160221018,1.81e-11
"73","Sema6a",1.60051624637174e-56,0.49239375761307,0.918,0.746,1.69014515616856e-53,"Sema6a",-0.290453926,0.000133942
"74","Shc4",6.02176385809596e-79,-0.107197477660342,0.188,0.429,6.35898263414934e-76,"Shc4",0.42444993,0.01687683
"75","Shroom3",2.3013335774606e-54,-0.237495257473876,0.928,0.793,2.43020825779839e-51,"Shroom3",-0.486983255,7.19e-05
"76","Slc6a1",1.39292431848725e-59,-0.58037818978556,0.915,0.811,1.47092808032253e-56,"Slc6a1",-0.402584714,6.78e-05
"77","Sorcs1",1.26501456744908e-92,-0.255230921123389,0.993,0.888,1.33585538322623e-89,"Sorcs1",-0.272025236,0.000366572
"78","Spock3",6.37089843237233e-122,-0.493367490136901,0.974,0.84,6.72766874458518e-119,"Spock3",-0.807075227,1.14e-12
"79","Srgap1",5.01931300919417e-32,0.223456352107071,0.845,0.705,5.30039453770905e-29,"Srgap1",0.37345771,4.24e-08
"80","Sulf2",3.65532358511009e-86,0.202041587770473,0.94,0.729,3.86002170587626e-83,"Sulf2",0.48495598,8.92e-08
"81","Svil",3.92912885788921e-10,0.16775296662069,0.585,0.508,4.14916007393101e-07,"Svil",-0.328492673,0.003547397
"82","Tenm4",0,1.5643198760395,0.554,0.453,0,"Tenm4",-1.049987116,4.75e-05
"83","Tgfbr1",1.57272767699061e-16,0.166246265746966,0.529,0.612,1.66080042690208e-13,"Tgfbr1",0.300204289,0.000650937
"84","Thsd4",1.14392166522363e-58,-0.658552049731772,0.429,0.63,1.20798127847616e-55,"Thsd4",-1.147252762,2.2e-06
"85","Thsd7a",7.19211314303031e-123,0.349487826462835,0.402,0.586,7.59487147904001e-120,"Thsd7a",-0.755863885,3.51e-11
"86","Tmem132d",1.94889173472194e-169,-0.510711215040416,0.892,0.618,2.05802967186637e-166,"Tmem132d",-0.338700518,0.030281628
"87","Tns3",1.02355854166148e-08,-0.287254088940609,0.735,0.766,1.08087781999452e-05,"Tns3",-0.174722167,0.028857255
"88","Ugt8a",4.31147281724585e-65,-0.391298371182912,1,0.924,4.55291529501162e-62,"Ugt8a",-0.349567269,0.0014557
"89","Unc5d",6.34376700342162e-44,-0.231093789439436,0.746,0.582,6.69901795561323e-41,"Unc5d",-1.66564387,3.62e-11
"90","Wnt5b",1.11232090792947e-137,-0.12322635993849,0.967,0.709,1.17461087877352e-134,"Wnt5b",-0.658644539,1.46e-07
"91","Zfp462",1.11399365722552e-10,0.338327384466934,0.711,0.653,1.17637730203015e-07,"Zfp462",-0.438487473,4.77e-07
