Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XXO,190,LIX,Cuprizone,14.8,12.27428571
XXO,193,LIX,Cuprizone,22.31,12.27428571
XXO,164,LIX,Cuprizone,14.8,12.27428571
XYO,209,LIX,Control,12.34,12.27428571
XYO,21,LIX,Control,19.79,12.27428571
XYO,34,LIX,Control,1.58,12.27428571
XYO,211,LIX,Cuprizone,60.19,12.27428571
XYO,184,LIX,Cuprizone,3.18,12.27428571
XXT,219,LIX,Control,24.84,12.27428571
XXT,216,LIX,Control,11.13,12.27428571
XXT,214,LIX,Control,1.58,12.27428571
XXT,157,LIX,Control,1.58,12.27428571
XXT,158,LIX,Control,18.53,12.27428571
XXT,160,LIX,Control,16.03,12.27428571
XXT,207,LIX,Cuprizone,1.58,12.27428571
XXT,205,LIX,Cuprizone,1.58,12.27428571
XXT,208,LIX,Cuprizone,17.28,12.27428571
XXT,182,LIX,Cuprizone,5.32,12.27428571
XXT,188,LIX,Cuprizone,12.34,12.27428571
XXT,187,LIX,Cuprizone,1.58,12.27428571
XYT,159,LIX,Control,1.58,12.27428571
XYT,195,LIX,Control,17.28,12.27428571
XYT,215,LIX,Control,19.79,12.27428571
XYT,196,LIX,Control,9.93,12.27428571
XYT,213,LIX,Cuprizone,23.57,12.27428571
XYT,36,LIX,Cuprizone,1.58,12.27428571
XYT,39,LIX,Cuprizone,19.79,12.27428571
XYT,220,LIX,Cuprizone,1.58,12.27428571
XYT,206,LIX,Cuprizone,1.58,12.27428571
XYT,174,LIX,Cuprizone,1.58,12.27428571
XXO,212,IL15,Control,73.84,91.815
XXO,210,IL15,Control,110.4,91.815
XXO,191,IL15,Control,156.72,91.815
XXO,153,IL15,Control,74.48,91.815
XXO,201,IL15,Control,77.04,91.815
XXO,154,IL15,Control,79.6,91.815
XXO,155,IL15,Control,143.84,91.815
XXO,169,IL15,Control,84.73,91.815
XXO,189,IL15,Cuprizone,100.12,91.815
XXO,190,IL15,Cuprizone,55.3,91.815
XXO,193,IL15,Cuprizone,86.01,91.815
XXO,164,IL15,Cuprizone,34.9,91.815
XYO,209,IL15,Control,134.83,91.815
XYO,21,IL15,Control,79.6,91.815
XYO,34,IL15,Control,32.36,91.815
XYO,211,IL15,Cuprizone,159.94,91.815
XYO,184,IL15,Cuprizone,83.45,91.815
XXT,219,IL15,Control,215.97,91.815
XXT,216,IL15,Control,84.73,91.815
XXT,214,IL15,Control,15.86,91.815
XXT,157,IL15,Control,42.54,91.815
XXT,158,IL15,Control,82.17,91.815
XXT,160,IL15,Control,63.6,91.815
XXT,207,IL15,Cuprizone,6.39,91.815
XXT,205,IL15,Cuprizone,1.99,91.815
XXT,208,IL15,Cuprizone,86.01,91.815
XXT,182,IL15,Cuprizone,55.3,91.815
XXT,188,IL15,Cuprizone,78.96,91.815
XXT,187,IL15,Cuprizone,0.92,91.815
XYT,159,IL15,Control,96.27,91.815
XYT,195,IL15,Control,57.85,91.815
XYT,215,IL15,Control,165.73,91.815
XYT,196,IL15,Control,60.41,91.815
XYT,213,IL15,Cuprizone,47.64,91.815
XYT,36,IL15,Cuprizone,51.47,91.815
XYT,39,IL15,Cuprizone,42.54,91.815
XYT,220,IL15,Cuprizone,0.92,91.815
XYT,206,IL15,Cuprizone,0.92,91.815
XYT,174,IL15,Cuprizone,46.36,91.815
XXO,212,IP10,Control,36.6,29.9652381
XXO,210,IP10,Control,61.37,29.9652381
XXO,191,IP10,Control,37.28,29.9652381
XXO,153,IP10,Control,42.76,29.9652381
XXO,201,IP10,Control,24.75,29.9652381
XXO,154,IP10,Control,26.94,29.9652381
XXO,155,IP10,Control,21.37,29.9652381
XXO,169,IP10,Control,21.5,29.9652381
XXO,189,IP10,Cuprizone,299.37,29.9652381
XXO,190,IP10,Cuprizone,288.36,29.9652381
XXO,193,IP10,Cuprizone,303.63,29.9652381
XXO,164,IP10,Cuprizone,232.33,29.9652381
XYO,209,IP10,Control,42.92,29.9652381
XYO,21,IP10,Control,25.2,29.9652381
XYO,34,IP10,Control,51.75,29.9652381
XYO,211,IP10,Cuprizone,293.27,29.9652381
XYO,184,IP10,Cuprizone,205.66,29.9652381
XXT,219,IP10,Control,27.26,29.9652381
XXT,216,IP10,Control,20.92,29.9652381
XXT,214,IP10,Control,6.36,29.9652381
XXT,157,IP10,Control,22.8,29.9652381
XXT,158,IP10,Control,26.21,29.9652381
XXT,160,IP10,Control,18.3,29.9652381
XXT,207,IP10,Cuprizone,82.39,29.9652381
XXT,205,IP10,Cuprizone,65.33,29.9652381
XXT,208,IP10,Cuprizone,194.84,29.9652381
XXT,182,IP10,Cuprizone,277.2,29.9652381
XXT,188,IP10,Cuprizone,209.28,29.9652381
XXT,187,IP10,Cuprizone,53.59,29.9652381
XYT,159,IP10,Control,37.52,29.9652381
XYT,195,IP10,Control,20.51,29.9652381
XYT,215,IP10,Control,32.97,29.9652381
XYT,196,IP10,Control,23.98,29.9652381
XYT,213,IP10,Cuprizone,192.27,29.9652381
XYT,36,IP10,Cuprizone,110.12,29.9652381
XYT,39,IP10,Cuprizone,127.32,29.9652381
XYT,220,IP10,Cuprizone,58.75,29.9652381
XYT,206,IP10,Cuprizone,58.25,29.9652381
