X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_F_GDQvsSaline
Rras2,254.051128,0.173211989,0.072938273,2.367866061,0.017891011,0.707547848,red,Rras2
Gars,1203.730286,0.172810972,0.083309871,2.072282459,0.038239107,0.73082813,red,Gars
Hist3h2bb-ps,4.956499562,0.172311522,0.078983167,2.104092801,0.035370353,NA,red,Hist3h2bb-ps
Dpp7,348.6387433,0.17125601,0.073665925,2.319765391,0.020353572,0.707547848,red,Dpp7
Ptx4,6.027525054,0.171008266,0.08291701,2.066360705,0.038794433,NA,red,Ptx4
Bsg,8095.819467,0.17096236,0.069556605,2.458119106,0.013966684,0.702338324,red,Bsg
Maneal,657.6604804,0.169859313,0.080768487,2.099813986,0.035745207,0.73082813,red,Maneal
Ly9,9.572111139,0.169270941,0.088380695,1.974792155,0.04829174,NA,red,Ly9
Slc29a2,147.7321818,0.169024906,0.080755263,2.074943178,0.037991801,0.73082813,red,Slc29a2
Ccr5,90.83618152,0.168928224,0.085997852,1.96892449,0.048961763,0.744195683,red,Ccr5
Rilpl1,669.2592954,0.168614216,0.080074161,2.095315731,0.036142935,0.73082813,red,Rilpl1
Il2rg,6.563166623,0.168345385,0.085085828,2.142129097,0.032183095,NA,red,Il2rg
Tctn2,292.5382081,0.16826227,0.068982837,2.431410033,0.015040183,0.707547848,red,Tctn2
Rsph9,268.6980926,0.168053811,0.080173122,2.088394359,0.036762276,0.73082813,red,Rsph9
Lcp1,166.4043953,0.167749072,0.083208447,2.014188245,0.043989773,0.734437495,red,Lcp1
Wdr55,142.7894132,0.167681532,0.082162544,2.02732857,0.042628822,0.73082813,red,Wdr55
Zdhhc13,263.8372813,0.165801091,0.073423521,2.264790884,0.023525515,0.707547848,red,Zdhhc13
Snw1,494.5956575,0.165583047,0.066257028,2.498460761,0.012473395,0.677971415,red,Snw1
Lmo2,307.5303626,0.164973262,0.058211726,2.840944186,0.004498018,0.553569634,red,Lmo2
Gm42738,5.037166686,0.164828268,0.08169976,2.029929326,0.042363724,NA,red,Gm42738
Pacsin2,795.6474189,0.164634933,0.049814705,3.302610704,0.000957893,0.330489348,red,Pacsin2
Mtrf1,165.0364158,0.164414838,0.078861584,2.091248469,0.036505797,0.73082813,red,Mtrf1
Pdia4,541.9955092,0.164049367,0.070962087,2.307948596,0.021001996,0.707547848,red,Pdia4
Vasp,228.4635699,0.163772476,0.071529792,2.283167057,0.02242053,0.707547848,red,Vasp
Ly6e,1924.851685,0.163512004,0.068077886,2.400688164,0.016364275,0.707547848,red,Ly6e
Gm34907,3.664073709,0.163481903,0.071672251,2.134502796,0.032801645,NA,red,Gm34907
Slc19a2,244.3650194,0.163427093,0.078535615,2.072125398,0.038253748,0.73082813,red,Slc19a2
Dmap1,240.5410103,0.163300181,0.079948115,2.027329321,0.042628745,0.73082813,red,Dmap1
Tmem97,179.9680969,0.162529726,0.079592823,2.043163291,0.041036276,0.73082813,red,Tmem97
Selenon,292.8494159,0.16237943,0.069934194,2.319748333,0.020354496,0.707547848,red,Selenon
P2ry12,701.410159,0.16192021,0.075920274,2.135757484,0.032699186,0.73082813,red,P2ry12
Rfwd3,425.4321392,0.161748901,0.064349319,2.512134334,0.01200034,0.674858807,red,Rfwd3
C1qa,1123.972106,0.161730522,0.06319882,2.557141594,0.010553625,0.665272554,red,C1qa
Manf,711.9373584,0.161615767,0.074170843,2.176802997,0.029495269,0.729656988,red,Manf
Ctdp1,217.5708947,0.161242457,0.075886534,2.120416839,0.033970908,0.73082813,red,Ctdp1
Nat9,163.7728574,0.160972512,0.077548219,2.065163878,0.038907497,0.73082813,red,Nat9
Cnpy4,128.0226128,0.160900608,0.081824146,1.963156239,0.049628022,0.744195683,red,Cnpy4
