X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,color.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y,color.y
Adgrg1,1285.939163,-0.139958388,0.069600842,-2.011415371,0.044281601,0.734437495,blue,1285.939163,-0.180829471,0.069495035,-2.59873096,0.009356908,0.147750387,blue
Adhfe1,550.7451752,-0.153336296,0.0764244,-2.006313556,0.044822805,0.738807193,blue,550.7451752,0.220268238,0.076451127,2.874633796,0.004044963,0.107510706,red
Aebp1,454.8246015,-0.207585596,0.104022989,-2.05231172,0.040139378,0.73082813,blue,454.8246015,0.290423196,0.104021931,2.725802361,0.006414539,0.126927129,red
Agpat3,5468.771502,-0.111741178,0.054340183,-2.056359359,0.039747891,0.73082813,blue,5468.771502,0.112687838,0.054390523,2.071601621,0.038302609,0.269341055,red
Agt,734.9514842,-0.178942878,0.087759811,-2.03999455,0.041350869,0.73082813,blue,734.9514842,0.204137799,0.087876039,2.321510198,0.020259324,0.204110298,red
Ahnak2,20.37923739,-0.172572677,0.092111878,-1.972176027,0.048589515,NA,blue,20.37923739,0.286383997,0.091899836,2.979977241,0.002882698,0.09416071,red
Aldh18a1,233.4492517,0.188300378,0.069218833,2.708616279,0.006756443,0.590364336,red,233.4492517,-0.168852821,0.070767377,-2.386837925,0.016993981,0.18864586,blue
Aldh6a1,1832.43975,-0.13762109,0.067255302,-2.046434289,0.040713661,0.73082813,blue,1832.43975,0.165223813,0.067333931,2.452639323,0.014181245,0.178319791,red
Alx4,41.67262213,-0.174652433,0.088257115,-2.100243621,0.035707416,0.73082813,blue,41.67262213,0.23911276,0.08812599,2.616498162,0.008883684,0.144824036,red
Ampd3,374.2726334,-0.174424569,0.065518147,-2.662481294,0.007756688,0.639224869,blue,374.2726334,0.144732985,0.066244749,2.184811793,0.028902649,0.237215288,red
Angptl7,4.912158012,-0.185501268,0.075972062,-2.401045645,0.016348297,NA,blue,4.912158012,0.146361378,0.074526565,2.014782761,0.043927416,NA,red
Anks1,719.4762627,-0.145451618,0.071331743,-2.039227913,0.041427286,0.73082813,blue,719.4762627,0.19966405,0.071880943,2.781939424,0.005403512,0.119188778,red
Anp32a,2167.713993,0.132808403,0.052100905,2.54873591,0.010811414,0.665272554,red,2167.713993,-0.126411984,0.052285876,-2.41774545,0.015616997,0.184528225,blue
Anpep,61.28284764,-0.244286498,0.09780273,-2.55828451,0.010518999,0.665272554,blue,61.28284764,0.267787111,0.097672323,2.704101046,0.006848946,0.131029873,red
Apln,562.4826049,-0.192506587,0.084793525,-2.272628004,0.023048607,0.707547848,blue,562.4826049,0.298761428,0.084875866,3.511733643,0.000445194,0.038326703,red
Apol9a,3.566025192,0.119125139,0.059755508,1.975904507,0.048165594,NA,red,3.566025192,0.155808607,0.058863843,2.83194111,0.004626637,NA,red
Apol9b,5.403110633,0.199746083,0.070236898,3.113075309,0.001851488,NA,red,5.403110633,0.260531973,0.06959698,3.63284202,0.000280317,NA,red
Asns,852.8110019,0.204202674,0.09046942,2.250694558,0.02440489,0.707996724,red,852.8110019,-0.182338918,0.09061266,-2.01690093,0.043705853,0.284224519,blue
Atp1a2,27932.33516,-0.218824306,0.08808988,-2.488503582,0.012828194,0.677971415,blue,27932.33516,0.235213669,0.08809173,2.665624618,0.007684544,0.136349516,red
Atp2c1,2061.73129,0.136886876,0.065110718,2.101847744,0.035566615,0.73082813,red,2061.73129,-0.130852427,0.065243201,-2.005762158,0.04488163,0.286622935,blue
Atp6v0c-ps2,79.499347,0.240907329,0.101915881,2.346786042,0.018936125,0.707547848,red,79.499347,-0.238966665,0.102235985,-2.347071258,0.018921636,0.199023593,blue
B2m,1868.772825,0.388017688,0.067958392,5.703196891,1.18E-08,8.66E-05,red,1868.772825,0.479569324,0.068203914,7.037218922,1.96E-12,3.27E-08,red
B3galt6,285.6743038,0.21397592,0.077140174,2.77836342,0.005463348,0.577118774,red,285.6743038,-0.29905615,0.077373375,-3.860865187,0.000112986,0.019334893,blue
Bche,136.4326166,-0.282653553,0.103681569,-2.745917443,0.006034195,0.581096884,blue,136.4326166,0.261843948,0.103717244,2.505631325,0.0122233,0.166399684,red
Bgn,297.4089884,-0.210405279,0.10095522,-2.068994338,0.038546618,0.73082813,blue,297.4089884,0.354255992,0.101127599,3.538737013,0.000402046,0.036013394,red
Bst2,215.9462244,0.57415699,0.103982834,5.37431951,7.69E-08,0.000377546,red,215.9462244,0.531439673,0.103941572,5.349030289,8.84E-08,0.000163698,red
Btbd10,657.4060586,0.184315403,0.081610016,2.256583652,0.024034103,0.707547848,red,657.4060586,-0.175496556,0.081835348,-2.14526518,0.031931651,0.250639781,blue
Calb1,1467.337795,0.184222869,0.089025862,2.062520638,0.039158195,0.73082813,red,1467.337795,-0.217388474,0.089132164,-2.445973186,0.014446174,0.180041067,blue
Cap1,2771.391595,0.149408732,0.0655049,2.27969326,0.022625887,0.707547848,red,2771.391595,-0.134977708,0.065629437,-2.057206026,0.039666412,0.273531838,blue
