X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Ppm1l,1347.04492,-0.245825151,0.074782268,-3.285828174,0.00101683,0.057414887,blue,Ppm1l
Plk2,1681.93532,-0.24583679,0.092781435,-2.653937941,0.007955846,0.138275202,blue,Plk2
Klhl11,306.5677347,-0.246045043,0.07339269,-3.351948063,0.000802451,0.051820277,blue,Klhl11
Pcdhb16,116.1004776,-0.246373845,0.099365584,-2.459071887,0.013929672,0.176961615,blue,Pcdhb16
Neto1,1038.163038,-0.246610181,0.072530277,-3.399976381,0.000673917,0.047792428,blue,Neto1
Gm13080,9.925018639,-0.246699822,0.093876577,-2.542879561,0.010994312,0.159545126,blue,Gm13080
Gpr85,451.3231367,-0.247015469,0.085360207,-2.899008472,0.003743448,0.104437156,blue,Gpr85
Pcdh19,988.4835873,-0.247098129,0.082882542,-2.978197459,0.002899491,0.094168466,blue,Pcdh19
Hspa5,3019.538275,-0.247799616,0.083357137,-2.972384107,0.002954967,0.094860718,blue,Hspa5
Chgb,3820.564676,-0.247843267,0.100348176,-2.466922761,0.013627975,0.176285475,blue,Chgb
Nme2,23.12344087,-0.247963207,0.104143176,-2.403024115,0.016260115,0.186523052,blue,Nme2
Lrrtm1,1221.724684,-0.248189735,0.089595487,-2.774207987,0.005533629,0.119579493,blue,Lrrtm1
Asb5,15.20213808,-0.248543306,0.102102202,-2.374953717,0.017551151,0.191272728,blue,Asb5
Trpc5,201.8320601,-0.249009886,0.094547954,-2.628655285,0.008572321,0.141887203,blue,Trpc5
Chrm5,23.92958355,-0.249150117,0.102803694,-2.369852439,0.017795186,0.192648208,blue,Chrm5
Gm7292,108.6948372,-0.249195732,0.097657211,-2.553269684,0.010671683,0.157067944,blue,Gm7292
Ppp1cc,1959.752055,-0.249217182,0.062060082,-4.016567237,5.91E-05,0.014873676,blue,Ppp1cc
Slc44a5,413.3697807,-0.249384054,0.088491004,-2.817241099,0.004843815,0.114067507,blue,Slc44a5
Lrp11,2734.315743,-0.249412122,0.088056951,-2.833982141,0.00459719,0.111771905,blue,Lrp11
Pcyox1l,213.995942,-0.249677486,0.08212601,-3.043548355,0.002338059,0.085802632,blue,Pcyox1l
Galnt9,1221.32966,-0.249959138,0.079500397,-3.148654235,0.001640241,0.072681017,blue,Galnt9
Parg,371.0378851,-0.250175501,0.06934372,-3.60992331,0.000306288,0.033136733,blue,Parg
Dgki,353.9991829,-0.250244049,0.077486709,-3.228619519,0.001243893,0.062611771,blue,Dgki
Cx3cl1,4361.318114,-0.250250945,0.086353378,-2.899810981,0.003733878,0.104437156,blue,Cx3cl1
Pcdhb17,174.4233217,-0.250389685,0.092411565,-2.706873346,0.006792016,0.130671807,blue,Pcdhb17
