,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Prg4,82.73010234,-0.172962452,0.075757165,-2.425792488,0.015275002,0.707547848
Gm12350,44.30546447,0.034682751,0.09819407,0.342753449,0.731783949,0.959518084
H2-DMb1,43.49125958,0.15018754,0.102732169,1.427632898,0.153397549,0.803936955
Nfkbie,43.94803153,0.091406094,0.103537964,0.897479065,0.36946334,0.868476936
Six3os1,43.75457339,-0.007883396,0.05928581,-0.130377226,0.896267983,0.988332166
Dll4,44.34081696,-0.098718913,0.103947568,-0.948890347,0.342676385,0.861145404
Rapgef1,3048.683919,-0.173010862,0.067115494,-2.578858627,0.009912735,0.665272554
Cyren,44.21127607,0.062984608,0.099114076,0.64387228,0.519658259,0.912736638
Gm44898,44.55990186,-0.087136418,0.103271412,-0.838250592,0.401889979,0.881170937
Vkorc1,43.68982816,0.121481187,0.100626134,1.199239193,0.230434951,0.829223324
Dzip1l,256.7833834,-0.173089164,0.072475066,-2.392833332,0.016718834,0.707547848
Cd164l2,44.30973858,-0.11650097,0.101754381,-1.140158154,0.254220418,0.834587052
Lrrc36,44.56274703,-0.029422847,0.087173745,-0.339503855,0.734230194,0.960562547
Itga2b,43.8946166,0.006953918,0.103076465,0.065651242,0.947655492,0.9938125
Gm17201,44.64451744,-0.174076348,0.103247324,-1.691299773,0.090779563,0.779568856
E330013P04Rik,44.13348329,-0.0945109,0.103183735,-0.915440554,0.359960397,0.865974602
Nek11,43.24638754,0.124920265,0.102289092,1.216457184,0.223810812,0.828508179
Hist1h4k,43.39526701,0.006055974,0.103407056,0.035746403,0.97148457,0.995553411
Ggt5,43.64141753,0.013569537,0.10414518,0.129413943,0.897030116,0.988332166
Ak8,43.33657077,0.081897956,0.102585005,0.772661947,0.439722473,0.889386279
Rpl17-ps8,43.76811747,0.19083269,0.103970966,1.872120522,0.061189931,0.757856994
Gm12254,43.59844486,0.181429397,0.101436473,1.772387995,0.076330173,0.767080399
Gm44220,43.68026452,0.042694144,0.104183427,0.4155474,0.677741224,0.948787154
Gm10012,43.74103409,0.073930396,0.100077001,0.73775382,0.46066406,0.893035984
Rtl3,43.44666248,0.128068574,0.103991813,1.206421093,0.227655167,0.829223324
B230311B06Rik,43.8466809,-0.057613042,0.102012948,-0.549880097,0.582401616,0.926244832
Esrrb,43.57201742,0.115968259,0.102649242,1.146899837,0.25142302,0.834587052
2900072N19Rik,43.72562062,0.091489376,0.099622479,0.935951171,0.349298329,0.86292189
Fignl2,43.56668065,-0.053452132,0.10418324,-0.515283419,0.606354984,0.929464632
Hist1h1e,43.7395094,-0.009071012,0.101953963,-0.07747568,0.938245138,0.993159125
Tymp,43.54857455,0.033328916,0.103263012,0.316063977,0.751953949,0.96303887
Gm18588,43.61248944,0.074439321,0.102084433,0.752645915,0.451662719,0.889806752
9430092D12Rik,43.32845741,0.007543609,0.102480421,0.095778249,0.923696692,0.991862069
Gm9234,43.50662036,0.044722874,0.102628024,0.441292188,0.659001481,0.94330959
Efhc2,42.83197238,0.095532136,0.103901714,0.882236988,0.377648663,0.871358496
Fhit,43.42965075,-0.122113456,0.101706852,-1.197228331,0.23121757,0.829223324
3222401L13Rik,43.58489056,-0.121746817,0.100718508,-1.19788609,0.230961366,0.829223324
Zfp950,475.5745035,-0.17322395,0.080996303,-2.139448565,0.032399357,0.73082813
AC154763.2,4.815980427,-0.173225197,0.078223032,-2.296093007,0.021670564,NA
Timeless,43.35708825,0.094224405,0.102166811,0.922864207,0.356077976,0.865409584
Arhgap23,2806.871532,-0.173292322,0.065080045,-2.66301383,0.007744423,0.639224869
Usp54,1053.315361,-0.173433187,0.065480645,-2.648678765,0.00808071,0.639224869
Ret,42.82650082,0.031554378,0.104039223,0.284016765,0.776397533,0.966528978
Gm35558,43.71594533,-0.091495365,0.101573978,-0.89527859,0.370638182,0.868476936
H2-Q7,42.63632339,0.165911907,0.099263686,1.623177528,0.10455146,0.784052237
Gm8281,43.04616472,0.106825557,0.102704841,1.063103246,0.287735133,0.842451996
Gm43848,43.2145175,0.002792403,0.103262971,0.040425603,0.967753819,0.994690252
Sec14l3,44.28198202,-0.146568207,0.087638242,-1.680183482,0.092921622,0.782834987
Rgs22,43.74213718,-0.009161114,0.092751632,-0.098128924,0.92182992,0.991793897
Lhfpl5,43.01753635,0.072014343,0.103513454,0.657479005,0.510872967,0.909418802
Fbxw15,43.255238,-0.12032859,0.104211753,-1.154729475,0.248201225,0.834587052
Gm48604,43.54367381,-0.058445834,0.103817662,-0.561865215,0.574207855,0.924928435
