,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Trmt112-ps1,1.971902098,-0.118953035,0.143353855,-0.914166631,0.360629295,NA
Rccd1,106.2066501,-0.118937514,0.13119581,-0.878090848,0.379894419,0.616312578
Slain1,885.5851045,-0.118903836,0.11769439,-0.978712311,0.327722147,0.571682617
Carmn,1.085399363,-0.118886132,0.103686119,-1.093385003,0.274224795,NA
Pkd1l2,3.976733485,-0.118880223,0.168195908,-0.816299523,0.414328847,NA
Sema3b,225.5004698,-0.118837968,0.187236104,-0.623144501,0.533189568,0.731038679
Dcp1b,230.0459326,-0.118826077,0.110578499,-1.083346252,0.278654763,0.528115075
Slc10a3,25.32757043,-0.118825755,0.186371399,-0.549047544,0.582972822,0.76472714
Tbc1d10a,383.5711904,-0.118758493,0.089107035,-1.315474559,0.188350462,0.433544241
Tti2,216.0957259,-0.118736331,0.135353653,-0.794210437,0.427072934,0.656073383
Tbrg4,418.351324,-0.11872538,0.101741001,-1.131393472,0.257889518,0.507091114
Pdk3,410.2843115,-0.118720375,0.126329931,-0.922204721,0.356421801,0.595706452
Zbtb39,197.3882058,-0.118719532,0.111923232,-1.055258234,0.291307237,0.538728374
Rabl3,87.52571074,-0.118699021,0.152338964,-0.757899424,0.448511195,0.672128537
Gprc5d,1.956168111,-0.118671686,0.129244739,-0.943033078,0.345663984,NA
Gm14057,6.063212863,-0.118662828,0.166177015,-0.79897229,0.42430648,NA
Ube4bos1,2.329868486,-0.118657665,0.145312688,-0.783139581,0.43354515,NA
Actr10,1687.46939,-0.118655221,0.08079837,-1.463018476,0.143462323,0.383580891
Fry,2101.669316,-0.118597617,0.167188735,-0.6009376,0.547881549,0.741243473
Ccdc115,260.6304553,-0.118587818,0.09304428,-1.282355405,0.199718,0.445385339
P2ry6,47.87411671,-0.118574744,0.169992017,-0.67620608,0.498909813,0.706573235
Tmem205,349.2368,-0.118550218,0.107289182,-1.130871198,0.258109308,0.507103614
Psmc1,2214.859248,-0.11852829,0.060746981,-1.943810429,0.051918316,0.24619869
Serpina3h,1.708987844,-0.118526619,0.131918426,-0.732345015,0.46395801,NA
Thap2,272.4852514,-0.118485753,0.116385858,-1.033811132,0.301224466,0.547336849
Pogz,669.8265915,-0.118477253,0.137946459,-0.818203779,0.413240838,0.644631221
Ptprq,2.971857396,-0.118440796,0.155533764,-0.704096697,0.481372557,NA
Stub1,880.2023596,-0.118424992,0.077772143,-1.525461456,0.12714404,0.36496974
Rnaset2a,6.431027224,-0.118410963,0.181278027,-0.400742063,0.688610039,NA
Mmachc,220.3363813,-0.118377326,0.105380261,-1.11276007,0.265811489,0.5153003
Gm43668,51.69952886,-0.118366574,0.16185907,-0.68928801,0.490642042,0.701808055
Tlr2,22.72620193,-0.118362964,0.193498976,-0.448657318,0.653678879,0.809379558
Gm37254,25.97531162,-0.118335004,0.182171833,-0.630118851,0.528616827,0.727915757
Dnajc5,5217.591024,-0.118250188,0.122191618,-0.93101048,0.351848143,0.592158035
Zfp612,447.0608471,-0.118244603,0.131777882,-0.852418666,0.393981763,0.628078843
AC139131.1,3.779159388,-0.118181052,0.152520024,-0.582060269,0.560526086,NA
