X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
Atr,156.6747506,-0.318222072,0.141318274,-2.245303136,0.024748679,0.323848245,156.6747506,0.283362654,0.138671438,2.026215617,0.042742694,0.22899856
AW549877,896.0337579,-0.179216458,0.077475306,-2.30726757,0.021039908,0.305158313,896.0337579,0.217723933,0.075476705,2.872969909,0.004066328,0.105314798
AW551984,62.5043002,0.451867284,0.191038732,2.440228224,0.014677986,0.265745999,62.5043002,-0.479927648,0.188905402,-2.547683168,0.010844091,0.14190687
B230217C12Rik,1084.33454,-0.328414004,0.139371614,-2.333284326,0.019633228,0.296985089,1084.33454,0.284669555,0.135932097,2.062027837,0.039205086,0.221911966
B230311B06Rik,34.23885963,-0.509834739,0.192030228,-2.607939233,0.009108912,0.215551759,34.23885963,0.459294739,0.189328407,2.286872487,0.022203267,0.181821568
Bach1,241.8390705,-0.343901768,0.125836603,-2.725821024,0.006414177,0.189825539,241.8390705,0.356495435,0.123366898,2.867913688,0.004131882,0.105314798
Bahcc1,696.2810169,-0.364025176,0.146834935,-2.471034867,0.013472268,0.25534248,696.2810169,0.400742614,0.143524572,2.78033683,0.005430254,0.114180948
Basp1,8011.494011,0.311287224,0.139905233,2.184179625,0.028949052,0.339536736,8011.494011,-0.301425151,0.136417162,-2.155279199,0.031139993,0.205412488
BC018473,3.837825089,-0.56055793,0.166158953,-3.178024413,0.001482823,NA,3.837825089,0.420224268,0.166416738,2.567414024,0.010246019,NA
BC021767,5.267494632,0.395349879,0.164754537,2.43430913,0.014920247,0.267962815,5.267494632,-0.356812403,0.167939655,-2.040156654,0.041334725,NA
Bcan,5371.433917,-0.311121223,0.146934811,-2.10611239,0.035194591,0.36968757,5371.433917,0.299632639,0.143416452,2.075657037,0.037925682,0.21970072
Bche,118.1944875,-0.694523204,0.177462032,-3.876229955,0.000106087,0.02076982,118.1944875,0.623215082,0.174547869,3.511398567,0.000445756,0.043521681
Bcl9l,988.6899119,-0.384924239,0.140398081,-2.711483626,0.006698285,0.193101366,988.6899119,0.277694957,0.136925088,1.987923698,0.046820129,0.236474535
Brd3os,373.8460053,0.245285926,0.110083845,2.209436982,0.027144261,0.332630014,373.8460053,-0.462109366,0.107153281,-4.28618365,1.82E-05,0.006232131
Bscl2,865.7218861,0.254879227,0.122758724,2.054908572,0.039887836,0.386228544,865.7218861,-0.332033533,0.119548882,-2.746077929,0.006031244,0.118242073
Bsg,7369.140856,0.455618148,0.108889131,4.195326644,2.72E-05,0.009518587,7369.140856,-0.236070132,0.105775294,-2.246161725,0.024693651,0.18867393
Bsn,9710.441085,-0.338935274,0.154546473,-2.165698613,0.030334225,0.346210477,9710.441085,0.317532335,0.151013986,2.066624919,0.038769511,0.221520544
