X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_MInhibvsMCtrl
Wdr6,2220.583095,-0.231551835,0.107539304,-2.151594067,0.03142934,0.205771719,Wdr6
Actr1b,3732.498374,-0.231247083,0.111604908,-2.041896896,0.04116176,0.226774224,Actr1b
Coro1b,861.3302748,-0.230858765,0.082544519,-2.767290918,0.005652429,0.114991425,Coro1b
Furin,592.4135146,-0.230601414,0.098822063,-2.330707533,0.019768787,0.174041929,Furin
Fbxl15,309.2707941,-0.230377694,0.114358597,-2.019553795,0.043429692,0.230063215,Fbxl15
Fam50a,259.6380916,-0.230362576,0.114620248,-1.982454115,0.047428438,0.237835871,Fam50a
Bcl7b,697.293116,-0.230361603,0.084940454,-2.693412293,0.007072475,0.125120245,Bcl7b
Micu3,1272.967167,-0.230110854,0.099458062,-2.299172744,0.021495132,0.179041091,Micu3
Lrpap1,2412.83443,-0.22998471,0.098395434,-2.330951162,0.019755935,0.174041929,Lrpap1
Ggnbp2,1178.989512,-0.229568543,0.100589395,-2.259976776,0.023822692,0.18676087,Ggnbp2
Naa30,721.8187356,-0.228991003,0.103235771,-2.213293028,0.02687745,0.193711238,Naa30
Ebna1bp2,581.1284371,-0.228855675,0.11228964,-2.012534359,0.044163639,0.231134016,Ebna1bp2
E130309D02Rik,285.5173371,-0.228759518,0.113324962,-2.021320121,0.043246638,0.230063215,E130309D02Rik
Nit1,379.3434793,-0.228742171,0.094901926,-2.413609885,0.015795364,0.163482251,Nit1
Hexdc,222.2666761,-0.228526639,0.110513135,-2.010735164,0.044353438,0.231388086,Hexdc
Gm36640,1.033756904,-0.22818453,0.10173556,-2.239104422,0.025149123,NA,Gm36640
Shoc2,802.7999518,-0.228022464,0.079088168,-2.877019678,0.004014506,0.104939461,Shoc2
Zfp60,472.3187433,-0.227944938,0.107940892,-2.086313558,0.036950229,0.216775115,Zfp60
Pip4p2,719.0425244,-0.227679125,0.096552522,-2.349459587,0.018800685,0.170782787,Pip4p2
Brms1l,768.281416,-0.227290539,0.097227377,-2.318086613,0.020444614,0.176217639,Brms1l
Wdr12,492.7665766,-0.226891955,0.104442314,-2.160087908,0.030765865,0.203980411,Wdr12
Fam207a,398.424187,-0.226854136,0.092650713,-2.455088499,0.014084991,0.15548396,Fam207a
Rcan1,815.7489522,-0.22659849,0.091102502,-2.463868931,0.013744636,0.153513009,Rcan1
Rnf34,735.4247811,-0.226074093,0.108004571,-2.061741581,0.039232346,0.221911966,Rnf34
Gm13442,1.18137403,-0.225804746,0.102859847,-1.960043055,0.049990758,NA,Gm13442
Mfsd11,428.5017851,-0.22484751,0.09446728,-2.37211791,0.017686446,0.168077917,Mfsd11
Rab4a,551.7799411,-0.224619743,0.094734893,-2.357917693,0.018377767,0.170324497,Rab4a
Zbtb17,471.68735,-0.224185565,0.108144916,-2.047647181,0.040594583,0.225588366,Zbtb17
Mael,1.280396338,-0.224133242,0.09734982,-2.385336475,0.017063507,NA,Mael
Lrp1b,548.9604772,-0.223899873,0.111989873,-1.971976649,0.048612272,0.240134438,Lrp1b
