,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Egfr,242.7654946,-0.27223331,0.142741526,-1.853392311,0.063826149,0.450704187
AC087898.2,8.309892279,-0.272178118,0.19110093,-1.376175324,0.16876736,0.612135213
Plod1,364.0395813,-0.272156283,0.093571015,-2.902561086,0.00370125,0.149035818
Chpt1,1393.500963,-0.271937079,0.181389542,-1.44355395,0.148864486,0.590420679
Cmtm4,3080.167009,-0.271792743,0.14566729,-1.827315514,0.067652344,0.461099312
Rsg1,23.06427173,-0.271751847,0.194858038,-1.37282988,0.169805239,0.613615973
Gm10030,3.663472007,-0.271719631,0.156810911,-1.665387379,0.095835496,NA
Plcg2,103.0356548,-0.271719435,0.157167034,-1.785179011,0.074232285,0.474005629
Zfp804b,7.800188631,-0.271618679,0.189609508,-1.399196729,0.161753997,0.604279558
2900078I11Rik,1.786234681,-0.271493538,0.131003325,-2.222079253,0.02627795,NA
Apoo-ps,38.67603909,-0.271440099,0.195757801,-1.334328408,0.182096251,0.623487672
Fcnaos,5.524448499,-0.271326198,0.179644328,-1.509646181,0.131133731,0.564864252
Ankrd11,3718.887401,-0.271315761,0.119013334,-2.280862704,0.022556573,0.310683773
A930017M01Rik,156.8050016,-0.271192742,0.120876503,-2.232070693,0.025610291,0.328119787
Arpin,282.7969466,-0.270983158,0.101888608,-2.640597987,0.008275986,0.206092888
Megf10,546.8410471,-0.270938537,0.140913571,-1.909120009,0.056246612,0.435055344
2810454H06Rik,14.22060304,-0.270934203,0.195948597,-1.33152909,0.18301498,0.623798523
Inppl1,628.9304554,-0.270863399,0.15792202,-1.668228475,0.09527038,0.507273489
Gm26518,2.884740395,-0.27075562,0.15272101,-1.736281491,0.082514074,NA
Gm14421,12.6114012,-0.270572386,0.195933011,-1.382101863,0.166940426,0.609971264
Tjp2,652.7765734,-0.270478504,0.126099172,-2.105244782,0.035270006,0.369884828
Itgb8,1487.152054,-0.270476892,0.156930175,-1.672372725,0.094450847,0.507163181
Agl,896.8500425,-0.270472931,0.159398601,-1.658280514,0.09726086,0.511301117
Gm47246,4.00172833,-0.270411173,0.164319877,-1.625643574,0.1040255,NA
Sema5a,1556.5952,-0.270353682,0.165338143,-1.678148842,0.093318046,0.505359572
Gm45212,2.056676155,-0.270349271,0.137544635,-2.023967274,0.042973519,NA
Gm5869,25.45781217,-0.270324884,0.19461883,-1.379520046,0.16773447,0.610845956
Tub,3786.510057,-0.270224009,0.081570122,-3.318208318,0.000905969,0.079511043
Gm12097,2.818552774,-0.270168128,0.154583766,-1.71107447,0.087067366,NA
Prr14l,746.3280607,-0.270168072,0.132409693,-2.092120625,0.036427727,0.374100451
