Gene,FEMALElog2FoldChange.x,MALElog2FoldChange.y
Tfg,0.301167088,-0.356868979
Tfpi,-0.568010796,0.390061165
Thbd,-0.383885459,0.622509825
Thoc1,0.297857156,-0.251898944
Thy1,0.351885515,-0.443297297
Timp2,0.499185971,-0.368651416
Tjp1,-0.288950346,0.362764146
Tjp2,-0.270478504,0.385956233
Tlr3,-0.379586849,0.443411162
Tlr4,-0.514651022,0.609931046
Tmed4,0.219839846,-0.244177828
Tmem110,-0.244125257,-0.202366828
Tmem130,0.368409347,-0.587278837
Tmem164,-0.338961956,0.392018023
Tmem169,0.396174915,-0.353142466
Tmem198b,-0.333902812,0.351275213
Tmem254c,0.396048858,0.253588735
Tmem255a,0.430389681,-0.386946212
Tmem267,0.877342411,-0.608378168
Tmtc1,-0.260037297,0.325919591
Tnc,-0.597484281,0.367581913
Tnfrsf19,-0.30789214,0.410337645
Tnpo1,-0.232254718,0.281320586
Tpbg,0.421132954,-0.334558143
Tpcn1,-0.359118165,0.3261868
Tpi-rs11,0.389686802,-0.41732256
Tpi1,0.294962568,-0.351349282
Trabd2b,-0.444726281,0.580109776
Trappc13,0.239261685,-0.242984445
Trim56,-0.482260905,0.475015137
Trim67,-0.382552722,0.398622125
Triobp,-0.336796608,0.34886392
Tshz2,-0.465419265,0.7122358
Tspan11,-0.618522473,0.437780124
Tspan33,0.407364139,-0.301367396
Ttc28,-0.592748523,0.334870318
Tub,-0.270224009,0.272694258
Tuba8,0.480783567,-0.513066588
Tubb3,0.324012931,-0.420866252
Tubb4b,0.353009075,-0.332834715
Tulp4,-0.303740729,0.441856738
Ube2z,0.299913803,-0.302094756
Ubxn2a,-0.237449893,0.33397435
Unc13c,-0.431325174,0.729522083
Unc80,-0.302841738,0.439048542
Uprt,-0.325597463,0.354423482
Uqcrc1,0.145826327,-0.17928437
Usf3,-0.309411348,0.437654136
Usp14,0.335972661,-0.441095415
Usp24,-0.185838704,0.163240024
Usp54,-0.24386215,0.251462499
Usp6nl,-0.282320163,0.236416469
Utp3,0.274579759,-0.265070601
Vapa,0.255269681,-0.248248725
Vasn,0.391871683,-0.309065936
Vav3,-0.327126485,0.262386834
Vcl,-0.438463553,0.277403523
Vdac1,0.272222433,-0.287160418
