"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"326","XXT",182,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"327","XYT",186,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"328","XYT",187,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"329","XYT",183,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"330","XYT",180,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"350","XXO",202,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"351","XXO",203,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"352","XXO",204,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"353","XXO",164,"LIX","Cuprizone",38.02,41.52684211,0.915552401005818,-0.127285634852985
"354","XYO",176,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"355","XYO",179,"LIX","Cuprizone",34.57,41.52684211,0.83247360606973,-0.264523563239138
"356","XYO",185,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"357","XYO",177,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"358","XXT",178,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"359","XXT",193,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"360","XXT",184,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"361","XXT",175,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"362","XXT",181,"LIX","Cuprizone",27.28,41.52684211,0.656924500248256,-0.606200522477364
"363","XXT",182,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"364","XYT",186,"LIX","Cuprizone",44.61,41.52684211,1.07424493973881,0.103322981272038
"365","XYT",187,"LIX","Cuprizone",23.38,41.52684211,0.563009340755287,-0.828769236969881
"366","XYT",183,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"367","XYT",180,"LIX","Cuprizone",16,41.52684211,0.385292962022438,-1.37597226172681
"387","XXO",202,"IL-15","Cuprizone",36.6,45.90052632,0.797376477664756,-0.326667047938056
"388","XXO",203,"IL-15","Cuprizone",30.87,45.90052632,0.672541307800847,-0.572305213494336
"389","XXO",204,"IL-15","Cuprizone",33.76,45.90052632,0.73550354879678,-0.443195792402275
"390","XXO",164,"IL-15","Cuprizone",30.87,45.90052632,0.672541307800847,-0.572305213494336
"391","XYO",176,"IL-15","Cuprizone",36.6,45.90052632,0.797376477664756,-0.326667047938056
"392","XYO",179,"IL-15","Cuprizone",35.19,45.90052632,0.766657875656359,-0.383345182359796
"393","XYO",185,"IL-15","Cuprizone",27.91,45.90052632,0.608054029825774,-0.717728572043393
"394","XYO",177,"IL-15","Cuprizone",40.77,45.90052632,0.888225109136396,-0.171002739620913
"395","XXT",178,"IL-15","Cuprizone",43.49,45.90052632,0.947483688897274,-0.0778269876453921
"396","XXT",193,"IL-15","Cuprizone",30.87,45.90052632,0.672541307800847,-0.572305213494336
"397","XXT",184,"IL-15","Cuprizone",32.32,45.90052632,0.704131359511609,-0.506083498357666
"398","XXT",175,"IL-15","Cuprizone",27.91,45.90052632,0.608054029825774,-0.717728572043393
"399","XXT",181,"IL-15","Cuprizone",36.6,45.90052632,0.797376477664756,-0.326667047938056
"400","XXT",182,"IL-15","Cuprizone",36.6,45.90052632,0.797376477664756,-0.326667047938056
