Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XXO,204,IL-13,Cuprizone,7.86,10.86263158
XXO,164,IL-13,Cuprizone,7.86,10.86263158
XYO,176,IL-13,Cuprizone,7.86,10.86263158
XYO,179,IL-13,Cuprizone,7.86,10.86263158
XYO,185,IL-13,Cuprizone,7.86,10.86263158
XYO,177,IL-13,Cuprizone,7.86,10.86263158
XXT,178,IL-13,Cuprizone,21.31,10.86263158
XXT,193,IL-13,Cuprizone,7.86,10.86263158
XXT,184,IL-13,Cuprizone,7.86,10.86263158
XXT,175,IL-13,Cuprizone,7.86,10.86263158
XXT,181,IL-13,Cuprizone,7.86,10.86263158
XXT,182,IL-13,Cuprizone,7.86,10.86263158
XYT,186,IL-13,Cuprizone,7.86,10.86263158
XYT,187,IL-13,Cuprizone,7.86,10.86263158
XYT,183,IL-13,Cuprizone,7.86,10.86263158
XYT,180,IL-13,Cuprizone,7.86,10.86263158
XYO,172,IL-13,Control,7.86,10.86263158
XYO,173,IL-13,Control,7.86,10.86263158
XYO,174,IL-13,Control,7.86,10.86263158
XXO,859,LIX,Control,87.08,41.52684211
XXO,839,LIX,Control,104.57,41.52684211
XXO,895,LIX,Control,65.58,41.52684211
XXO,199,LIX,Control,38.02,41.52684211
XXO,201,LIX,Control,50.89,41.52684211
XYO,154,LIX,Control,68.38,41.52684211
XYO,155,LIX,Control,68.38,41.52684211
XXT,153,LIX,Control,44.61,41.52684211
XXT,162,LIX,Control,16,41.52684211
XXT,170,LIX,Control,50.89,41.52684211
XXT,158,LIX,Control,16,41.52684211
XXT,160,LIX,Control,38.02,41.52684211
XYT,165,LIX,Control,16,41.52684211
XYT,167,LIX,Control,41.36,41.52684211
XYT,168,LIX,Control,19.23,41.52684211
XYT,159,LIX,Control,16,41.52684211
XXO,202,LIX,Cuprizone,16,41.52684211
XXO,203,LIX,Cuprizone,16,41.52684211
XXO,204,LIX,Cuprizone,16,41.52684211
XXO,164,LIX,Cuprizone,38.02,41.52684211
XYO,176,LIX,Cuprizone,16,41.52684211
XYO,179,LIX,Cuprizone,34.57,41.52684211
XYO,185,LIX,Cuprizone,16,41.52684211
XYO,177,LIX,Cuprizone,16,41.52684211
XXT,178,LIX,Cuprizone,16,41.52684211
XXT,193,LIX,Cuprizone,16,41.52684211
XXT,184,LIX,Cuprizone,16,41.52684211
XXT,175,LIX,Cuprizone,16,41.52684211
XXT,181,LIX,Cuprizone,27.28,41.52684211
XXT,182,LIX,Cuprizone,16,41.52684211
XYT,186,LIX,Cuprizone,44.61,41.52684211
XYT,187,LIX,Cuprizone,23.38,41.52684211
XYT,183,LIX,Cuprizone,16,41.52684211
XYT,180,LIX,Cuprizone,16,41.52684211
XYO,172,LIX,Control,16,41.52684211
XYO,173,LIX,Control,16,41.52684211
XYO,174,LIX,Control,16,41.52684211
XXO,859,IL-15,Control,42.14,45.90052632
XXO,839,IL-15,Control,39.39,45.90052632
XXO,895,IL-15,Control,40.77,45.90052632
XXO,199,IL-15,Control,32.32,45.90052632
XXO,201,IL-15,Control,51.46,45.90052632
XYO,154,IL-15,Control,52.76,45.90052632
XYO,155,IL-15,Control,48.83,45.90052632
XXT,153,IL-15,Control,44.84,45.90052632
XXT,162,IL-15,Control,38.7,45.90052632
XXT,170,IL-15,Control,35.19,45.90052632
XXT,158,IL-15,Control,38,45.90052632
XXT,160,IL-15,Control,40.77,45.90052632
XYT,165,IL-15,Control,44.84,45.90052632
XYT,167,IL-15,Control,50.15,45.90052632
XYT,168,IL-15,Control,29.4,45.90052632
XYT,159,IL-15,Control,39.39,45.90052632
XXO,202,IL-15,Cuprizone,36.6,45.90052632
XXO,203,IL-15,Cuprizone,30.87,45.90052632
XXO,204,IL-15,Cuprizone,33.76,45.90052632
XXO,164,IL-15,Cuprizone,30.87,45.90052632
XYO,176,IL-15,Cuprizone,36.6,45.90052632
XYO,179,IL-15,Cuprizone,35.19,45.90052632
XYO,185,IL-15,Cuprizone,27.91,45.90052632
XYO,177,IL-15,Cuprizone,40.77,45.90052632
XXT,178,IL-15,Cuprizone,43.49,45.90052632
XXT,193,IL-15,Cuprizone,30.87,45.90052632
XXT,184,IL-15,Cuprizone,32.32,45.90052632
XXT,175,IL-15,Cuprizone,27.91,45.90052632
XXT,181,IL-15,Cuprizone,36.6,45.90052632
XXT,182,IL-15,Cuprizone,36.6,45.90052632
XYT,186,IL-15,Cuprizone,32.32,45.90052632
XYT,187,IL-15,Cuprizone,24.88,45.90052632
XYT,183,IL-15,Cuprizone,29.4,45.90052632
XYT,180,IL-15,Cuprizone,29.4,45.90052632
XYO,172,IL-15,Control,82.36,45.90052632
XYO,173,IL-15,Control,56.62,45.90052632
XYO,174,IL-15,Control,64.18,45.90052632
XXO,859,IL-17a,Control,32,16.23842105
XXO,839,IL-17a,Control,39.24,16.23842105
XXO,895,IL-17a,Control,20.31,16.23842105
XXO,199,IL-17a,Control,17.97,16.23842105
XXO,201,IL-17a,Control,25.05,16.23842105
XYO,154,IL-17a,Control,20.38,16.23842105
XYO,155,IL-17a,Control,23.84,16.23842105
XXT,153,IL-17a,Control,14.77,16.23842105
XXT,162,IL-17a,Control,9.19,16.23842105
XXT,170,IL-17a,Control,24.92,16.23842105
XXT,158,IL-17a,Control,14.21,16.23842105
XXT,160,IL-17a,Control,25.85,16.23842105
XYT,165,IL-17a,Control,6.33,16.23842105
XYT,167,IL-17a,Control,9.32,16.23842105
XYT,168,IL-17a,Control,9.74,16.23842105
XYT,159,IL-17a,Control,9.05,16.23842105
XXO,202,IL-17a,Cuprizone,9.88,16.23842105
XXO,203,IL-17a,Cuprizone,13.51,16.23842105
XXO,204,IL-17a,Cuprizone,7.41,16.23842105
XXO,164,IL-17a,Cuprizone,18.66,16.23842105
XYO,176,IL-17a,Cuprizone,6.87,16.23842105
XYO,179,IL-17a,Cuprizone,10.57,16.23842105
XYO,185,IL-17a,Cuprizone,7.41,16.23842105
XYO,177,IL-17a,Cuprizone,6.73,16.23842105
XXT,178,IL-17a,Cuprizone,13.79,16.23842105
XXT,193,IL-17a,Cuprizone,9.74,16.23842105
XXT,184,IL-17a,Cuprizone,10.85,16.23842105
XXT,175,IL-17a,Cuprizone,5.67,16.23842105
XXT,181,IL-17a,Cuprizone,8.91,16.23842105
XXT,182,IL-17a,Cuprizone,7.13,16.23842105
XYT,186,IL-17a,Cuprizone,6.53,16.23842105
XYT,187,IL-17a,Cuprizone,8.64,16.23842105
XYT,183,IL-17a,Cuprizone,6.2,16.23842105
XYT,180,IL-17a,Cuprizone,7.95,16.23842105
XYO,172,IL-17a,Control,2.12,16.23842105
XYO,173,IL-17a,Control,2.12,16.23842105
XYO,174,IL-17a,Control,2.12,16.23842105
XXO,859,IP-10,Control,38.56,40.83631579
XXO,839,IP-10,Control,18.79,40.83631579
XXO,895,IP-10,Control,25.92,40.83631579
XXO,199,IP-10,Control,43.42,40.83631579
XXO,201,IP-10,Control,59.4,40.83631579
XYO,154,IP-10,Control,54.42,40.83631579
XYO,155,IP-10,Control,66.8,40.83631579
XXT,153,IP-10,Control,29.47,40.83631579
XXT,162,IP-10,Control,24.25,40.83631579
XXT,170,IP-10,Control,30.13,40.83631579
XXT,158,IP-10,Control,28.42,40.83631579
XXT,160,IP-10,Control,26.98,40.83631579
XYT,165,IP-10,Control,78.17,40.83631579
XYT,167,IP-10,Control,36.94,40.83631579
XYT,168,IP-10,Control,37.48,40.83631579
XYT,159,IP-10,Control,43.03,40.83631579
XXO,202,IP-10,Cuprizone,148.4,40.83631579
XXO,203,IP-10,Cuprizone,190.33,40.83631579
XXO,204,IP-10,Cuprizone,258.02,40.83631579
XXO,164,IP-10,Cuprizone,241.99,40.83631579
XYO,176,IP-10,Cuprizone,235.44,40.83631579
XYO,179,IP-10,Cuprizone,198.55,40.83631579
XYO,185,IP-10,Cuprizone,229.66,40.83631579
XYO,177,IP-10,Cuprizone,253.41,40.83631579
XXT,178,IP-10,Cuprizone,31.63,40.83631579
XXT,193,IP-10,Cuprizone,199.04,40.83631579
XXT,184,IP-10,Cuprizone,189.71,40.83631579
XXT,175,IP-10,Cuprizone,289.78,40.83631579
XXT,181,IP-10,Cuprizone,307.55,40.83631579
XXT,182,IP-10,Cuprizone,181.37,40.83631579
XYT,186,IP-10,Cuprizone,324.42,40.83631579
XYT,187,IP-10,Cuprizone,168.42,40.83631579
XYT,183,IP-10,Cuprizone,150.58,40.83631579
XYT,180,IP-10,Cuprizone,113.79,40.83631579
XYO,172,IP-10,Control,49.57,40.83631579
XYO,173,IP-10,Control,71.44,40.83631579
XYO,174,IP-10,Control,12.7,40.83631579
XXO,859,KC,Control,26.1,18.01578947
XXO,839,KC,Control,33.72,18.01578947
XXO,895,KC,Control,23.33,18.01578947
XXO,199,KC,Control,29.73,18.01578947
XXO,201,KC,Control,21.45,18.01578947
XYO,154,KC,Control,28.83,18.01578947
XYO,155,KC,Control,24.26,18.01578947
XXT,153,KC,Control,15.22,18.01578947
XXT,162,KC,Control,12.78,18.01578947
XXT,170,KC,Control,23.79,18.01578947
XXT,158,KC,Control,12.78,18.01578947
XXT,160,KC,Control,21.45,18.01578947
XYT,165,KC,Control,9.35,18.01578947
XYT,167,KC,Control,17.4,18.01578947
XYT,168,KC,Control,18.12,18.01578947
XYT,159,KC,Control,11.8,18.01578947
XXO,202,KC,Cuprizone,13.76,18.01578947
XXO,203,KC,Cuprizone,19.08,18.01578947
XXO,204,KC,Cuprizone,14.25,18.01578947
XXO,164,KC,Cuprizone,23.33,18.01578947
XYO,176,KC,Cuprizone,12.29,18.01578947
XYO,179,KC,Cuprizone,20.5,18.01578947
XYO,185,KC,Cuprizone,14.73,18.01578947
XYO,177,KC,Cuprizone,16.67,18.01578947
XXT,178,KC,Cuprizone,21.92,18.01578947
XXT,193,KC,Cuprizone,14.73,18.01578947
XXT,184,KC,Cuprizone,21.21,18.01578947
XXT,175,KC,Cuprizone,14.98,18.01578947
XXT,181,KC,Cuprizone,20.27,18.01578947
XXT,182,KC,Cuprizone,10.82,18.01578947
XYT,186,KC,Cuprizone,11.8,18.01578947
XYT,187,KC,Cuprizone,14.25,18.01578947
XYT,183,KC,Cuprizone,8.38,18.01578947
XYT,180,KC,Cuprizone,15.22,18.01578947
XYO,172,KC,Control,5.96,18.01578947
XYO,173,KC,Control,5.02,18.01578947
XYO,174,KC,Control,1.21,18.01578947
XXO,859,MCP-1,Control,25.79,26.89789474
XXO,839,MCP-1,Control,25.79,26.89789474
XXO,895,MCP-1,Control,25.79,26.89789474
XXO,199,MCP-1,Control,50.85,26.89789474
XXO,201,MCP-1,Control,30.5,26.89789474
XYO,154,MCP-1,Control,30.5,26.89789474
XYO,155,MCP-1,Control,30.5,26.89789474
XXT,153,MCP-1,Control,25.79,26.89789474
XXT,162,MCP-1,Control,25.79,26.89789474
