"","Gene","G","Symbol","Name","Chr","Qualifier","Annotated.Term","Context","Proteoform","Evidence","Inferred.From","Reference.s."
"101","Rps5","MGI:1097682","Rps5","ribosomal protein S5","7","","cytosolic ribosome","",NA,"ISO","P46782 ","J:164563 "
"102","Rps5","MGI:1097682","Rps5","ribosomal protein S5","7","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000128891 ","J:265628 "
"103","Rps5","MGI:1097682","Rps5","ribosomal protein S5","7","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"104","Rps5","MGI:1097682","Rps5","ribosomal protein S5","7","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:3601 ","J:155856 "
"105","Rps5","MGI:1097682","Rps5","ribosomal protein S5","7","","cytosolic small ribosomal subunit","",NA,"ISO","P46782 ","J:164563 "
"106","Rps5","MGI:1097682","Rps5","ribosomal protein S5","7","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"107","Rpl30","MGI:98037","Rpl30","ribosomal protein L30","15","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000154874 ","J:265628 "
"108","Rpl30","MGI:98037","Rpl30","ribosomal protein L30","15","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"109","Rpl30","MGI:98037","Rpl30","ribosomal protein L30","15","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"110","Rpl30","MGI:98037","Rpl30","ribosomal protein L30","15","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:621201 ","J:155856 "
"111","Rpl30","MGI:98037","Rpl30","ribosomal protein L30","15","","cytosolic large ribosomal subunit","",NA,"ISO","P62888 ","J:164563 "
"112","Rpl30","MGI:98037","Rpl30","ribosomal protein L30","15","","cytosolic ribosome","",NA,"ISO","P62888 ","J:164563 "
"113","Rpl37a","MGI:98068","Rpl37a","ribosomal protein L37a","1","","cytosolic large ribosomal subunit","",NA,"IBA","PTN008298523 ","J:265628 "
"114","Rpl37a","MGI:98068","Rpl37a","ribosomal protein L37a","1","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"115","Rpl37a","MGI:98068","Rpl37a","ribosomal protein L37a","1","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"116","Rpl37a","MGI:98068","Rpl37a","ribosomal protein L37a","1","","cytosolic large ribosomal subunit","",NA,"ISO","P61513 ","J:164563 "
"117","Rpl37a","MGI:98068","Rpl37a","ribosomal protein L37a","1","","cytosolic ribosome","",NA,"ISO","P61513 ","J:164563 "
"118","Rpl10","MGI:105943","Rpl10","ribosomal protein L10","X","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000197715 ","J:265628 "
"119","Rpl10","MGI:105943","Rpl10","ribosomal protein L10","X","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"120","Rpl10","MGI:105943","Rpl10","ribosomal protein L10","X","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:621178 ","J:155856 "
"121","Rpl10","MGI:105943","Rpl10","ribosomal protein L10","X","","cytosolic large ribosomal subunit","",NA,"ISO","P27635 ","J:73065 "
"122","Rpl10","MGI:105943","Rpl10","ribosomal protein L10","X","","cytosolic ribosome","",NA,"ISO","P27635 ","J:164563 "
"123","Rps20","MGI:1914677","Rps20","ribosomal protein S20","4","","cytosolic ribosome","",NA,"ISO","P60866 ","J:164563 "
"124","Rps20","MGI:1914677","Rps20","ribosomal protein S20","4","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000193513 ","J:265628 "
"125","Rps20","MGI:1914677","Rps20","ribosomal protein S20","4","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"126","Rps20","MGI:1914677","Rps20","ribosomal protein S20","4","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621037 ","J:155856 "
"127","Rps20","MGI:1914677","Rps20","ribosomal protein S20","4","","cytosolic small ribosomal subunit","",NA,"ISO","P60866 ","J:164563 "
"128","Rps20","MGI:1914677","Rps20","ribosomal protein S20","4","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"129","Rps15a","MGI:2389091","Rps15a","ribosomal protein S15A","7","","cytosolic ribosome","",NA,"ISO","P62244 ","J:164563 "
"130","Rps15a","MGI:2389091","Rps15a","ribosomal protein S15A","7","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000204723 ","J:265628 "
"131","Rps15a","MGI:2389091","Rps15a","ribosomal protein S15A","7","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
