G,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1298373,Rpl9,ribosomal protein L9,5,,cytosolic ribosome,,,ISO,P32969 ,J:164563 
MGI:3649210,Rpl9-ps1,"ribosomal protein L9, pseudogene 1",11,,cytosolic large ribosomal subunit,,,ISO,RGD:62049 ,J:155856 
MGI:3649210,Rpl9-ps1,"ribosomal protein L9, pseudogene 1",11,,cytosolic large ribosomal subunit,,,ISO,P32969 ,J:164563 
MGI:3649210,Rpl9-ps1,"ribosomal protein L9, pseudogene 1",11,,cytosolic ribosome,,,ISO,P32969 ,J:164563 
MGI:3642682,Rpl9-ps6,"ribosomal protein L9, pseudogene 6",19,,cytosolic large ribosomal subunit,,,IBA,PTN000183647 ,J:265628 
MGI:3642682,Rpl9-ps6,"ribosomal protein L9, pseudogene 6",19,,cytosolic large ribosomal subunit,,,ISO,RGD:62049 ,J:155856 
MGI:3642682,Rpl9-ps6,"ribosomal protein L9, pseudogene 6",19,,cytosolic large ribosomal subunit,,,ISO,P32969 ,J:164563 
MGI:3642682,Rpl9-ps6,"ribosomal protein L9, pseudogene 6",19,,cytosolic ribosome,,,ISO,P32969 ,J:164563 
MGI:105943,Rpl10,ribosomal protein L10,X,,cytosolic large ribosomal subunit,,,IBA,PTN000197715 ,J:265628 
MGI:105943,Rpl10,ribosomal protein L10,X,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:105943,Rpl10,ribosomal protein L10,X,,cytosolic large ribosomal subunit,,,ISO,RGD:621178 ,J:155856 
MGI:105943,Rpl10,ribosomal protein L10,X,,cytosolic large ribosomal subunit,,,ISO,P27635 ,J:73065 
MGI:105943,Rpl10,ribosomal protein L10,X,,cytosolic ribosome,,,ISO,P27635 ,J:164563 
MGI:3704336,Rpl10-ps3,"ribosomal protein L10, pseudogene 3",9,,cytosolic large ribosomal subunit,,,ISO,RGD:621178 ,J:155856 
MGI:3704336,Rpl10-ps3,"ribosomal protein L10, pseudogene 3",9,,cytosolic ribosome,,,ISO,P27635 ,J:164563 
MGI:1343877,Rpl10a,ribosomal protein L10A,17,,cytosolic large ribosomal subunit,,,IBA,PTN004606439 ,J:265628 
MGI:1343877,Rpl10a,ribosomal protein L10A,17,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1343877,Rpl10a,ribosomal protein L10A,17,,cytosolic large ribosomal subunit,,,ISO,RGD:620497 ,J:155856 
MGI:1343877,Rpl10a,ribosomal protein L10A,17,,cytosolic large ribosomal subunit,,,ISO,P62906 ,J:164563 
MGI:1343877,Rpl10a,ribosomal protein L10A,17,,cytosolic ribosome,,,ISO,P62906 ,J:164563 
MGI:3647985,Rpl10l,ribosomal protein L10-like,12,,cytosolic large ribosomal subunit,,,IBA,PTN000197715 ,J:265628 
MGI:3647985,Rpl10l,ribosomal protein L10-like,12,,cytosolic large ribosomal subunit,is a part of testis,,IDA,,J:197929 
MGI:3647985,Rpl10l,ribosomal protein L10-like,12,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:3647985,Rpl10l,ribosomal protein L10-like,12,,cytosolic large ribosomal subunit,,,ISO,Q96L21 ,J:164563 
MGI:1914275,Rpl11,ribosomal protein L11,4,,cytosolic large ribosomal subunit,,,IBA,PTN000242048 ,J:265628 
MGI:1914275,Rpl11,ribosomal protein L11,4,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1914275,Rpl11,ribosomal protein L11,4,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1914275,Rpl11,ribosomal protein L11,4,,cytosolic large ribosomal subunit,,,ISO,RGD:1308681 ,J:155856 
MGI:1914275,Rpl11,ribosomal protein L11,4,,cytosolic large ribosomal subunit,,,ISO,P62913 ,J:164563 
MGI:1914275,Rpl11,ribosomal protein L11,4,,cytosolic ribosome,,,ISO,RGD:1308681 ,J:155856 
MGI:1914275,Rpl11,ribosomal protein L11,4,,cytosolic ribosome,,,ISO,P62913 ,J:164563 
MGI:98002,Rpl12,ribosomal protein L12,2,,cytosolic large ribosomal subunit,,,IBA,PTN000184010 ,J:265628 
MGI:98002,Rpl12,ribosomal protein L12,2,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98002,Rpl12,ribosomal protein L12,2,,cytosolic large ribosomal subunit,,,ISO,RGD:1565106 ,J:155856 
MGI:98002,Rpl12,ribosomal protein L12,2,,cytosolic large ribosomal subunit,,,ISO,P30050 ,J:164563 
MGI:98002,Rpl12,ribosomal protein L12,2,,cytosolic ribosome,,,ISO,P30050 ,J:164563 
MGI:105922,Rpl13,ribosomal protein L13,8,,cytosolic large ribosomal subunit,,,IBA,PTN000197497 ,J:265628 
MGI:105922,Rpl13,ribosomal protein L13,8,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:105922,Rpl13,ribosomal protein L13,8,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:105922,Rpl13,ribosomal protein L13,8,,cytosolic large ribosomal subunit,,,ISO,RGD:621179 ,J:155856 
MGI:105922,Rpl13,ribosomal protein L13,8,,cytosolic large ribosomal subunit,,,ISO,P26373 ,J:164563 
MGI:105922,Rpl13,ribosomal protein L13,8,,cytosolic ribosome,,,ISO,P26373 ,J:164563 
MGI:3642685,Rpl13-ps6,"ribosomal protein L13, pseudogene 6",3,,cytosolic large ribosomal subunit,,,ISO,P26373 ,J:164563 
MGI:3642685,Rpl13-ps6,"ribosomal protein L13, pseudogene 6",3,,cytosolic ribosome,,,ISO,P26373 ,J:164563 
MGI:1351455,Rpl13a,ribosomal protein L13A,7,,cytosolic large ribosomal subunit,,,IBA,PTN000166703 ,J:265628 
MGI:1351455,Rpl13a,ribosomal protein L13A,7,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1351455,Rpl13a,ribosomal protein L13A,7,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1351455,Rpl13a,ribosomal protein L13A,7,,cytosolic large ribosomal subunit,,,ISO,RGD:628697 ,J:155856 
MGI:1351455,Rpl13a,ribosomal protein L13A,7,,cytosolic large ribosomal subunit,,,ISO,P40429 ,J:164563 
MGI:1351455,Rpl13a,ribosomal protein L13A,7,,cytosolic ribosome,,,ISO,P40429 ,J:164563 
MGI:1914365,Rpl14,ribosomal protein L14,9,,cytosolic large ribosomal subunit,,,IBA,PTN000874665 ,J:265628 
MGI:1914365,Rpl14,ribosomal protein L14,9,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
