,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color
Rpl23,5.12E-53,-0.615769785,0.986,1,9.99E-49,Rpl23,blue
Rps26,2.26E-49,-0.613525947,0.997,0.998,4.42E-45,Rps26,blue
Rpl37,1.35E-69,-0.612568388,1,1,2.63E-65,Rpl37,blue
Rps19,1.01E-42,-0.598417826,0.978,1,1.98E-38,Rps19,blue
Rpl11,2.34E-47,-0.590697215,0.994,0.998,4.56E-43,Rpl11,blue
Rpl17,1.38E-47,-0.58564044,0.994,1,2.69E-43,Rpl17,blue
Rps24,9.59E-54,-0.578822674,1,1,1.87E-49,Rps24,blue
Rps16,6.57E-50,-0.572969448,0.992,1,1.28E-45,Rps16,blue
Rps27a,1.42E-54,-0.570338452,1,1,2.77E-50,Rps27a,blue
Rps5,3.67E-41,-0.569812138,0.98,0.996,7.17E-37,Rps5,blue
Rpl41,6.43E-67,-0.566987413,1,1,1.25E-62,Rpl41,blue
Rpl34,2.51E-48,-0.559740728,0.997,1,4.90E-44,Rpl34,blue
Rpl21,1.76E-56,-0.555870236,1,1,3.44E-52,Rpl21,blue
Rpl36,1.13E-53,-0.554328201,0.992,0.998,2.20E-49,Rpl36,blue
Rpl27a,2.68E-48,-0.553611984,0.983,1,5.22E-44,Rpl27a,blue
Fau,1.79E-62,-0.553407888,1,1,3.50E-58,Fau,blue
Rps11,4.53E-45,-0.546396282,1,0.998,8.83E-41,Rps11,blue
Rplp2,2.02E-38,-0.544502128,0.964,0.993,3.93E-34,Rplp2,blue
Gstp1,8.65E-26,-0.536080249,0.457,0.748,1.69E-21,Gstp1,blue
Mt1,5.30E-37,-0.525623416,1,1,1.03E-32,Mt1,blue
Rps14,2.35E-42,-0.523987221,0.98,0.994,4.59E-38,Rps14,blue
6330403K07Rik,1.14E-15,-0.523397144,0.972,0.968,2.22E-11,6330403K07Rik,blue
Sec61g,4.71E-32,-0.523083652,0.826,0.959,9.19E-28,Sec61g,blue
Ndufb4,2.42E-31,-0.518796184,0.885,0.989,4.71E-27,Ndufb4,blue
Sparc,1.06E-18,-0.517430197,0.944,0.957,2.07E-14,Sparc,blue
Rpl37a,1.03E-44,-0.517423973,0.997,0.998,2.01E-40,Rpl37a,blue
Ppia,2.36E-56,-0.51456103,1,1,4.61E-52,Ppia,blue
Rps8,8.72E-45,-0.513264151,1,1,1.70E-40,Rps8,blue
Caly,2.87E-24,-0.511510474,0.784,0.933,5.61E-20,Caly,blue
Pcsk1n,3.06E-43,-0.509921573,1,1,5.98E-39,Pcsk1n,blue
Gpx3,1.61E-11,-0.509707233,0.507,0.652,3.13E-07,Gpx3,blue
Slc32a1,1.29E-13,-0.507391057,0.415,0.634,2.52E-09,Slc32a1,blue
Rps15a,3.87E-34,-0.503896051,0.986,0.998,7.55E-30,Rps15a,blue
Rpl36al,1.63E-27,-0.501552566,0.854,0.944,3.19E-23,Rpl36al,blue
Elob,4.44E-38,-0.500792113,0.975,0.996,8.66E-34,Elob,blue
Rab3b,1.61E-17,-0.496424681,0.218,0.484,3.14E-13,Rab3b,blue
Rps23,7.09E-38,-0.493024559,0.989,1,1.38E-33,Rps23,blue
Rpl26,4.42E-42,-0.491476628,0.997,1,8.63E-38,Rpl26,blue
Rpl38,3.15E-64,-0.490507454,1,1,6.15E-60,Rpl38,blue
Ndufa13,5.50E-36,-0.490080474,0.95,0.998,1.07E-31,Ndufa13,blue
Rpl32,2.52E-43,-0.48951765,0.994,1,4.93E-39,Rpl32,blue
Rps2,1.27E-31,-0.488707786,0.955,0.983,2.49E-27,Rps2,blue
Ndufc2,3.08E-26,-0.487334074,0.801,0.953,6.01E-22,Ndufc2,blue
Rps12,1.85E-37,-0.486076882,0.992,1,3.60E-33,Rps12,blue
Atp5g2,3.69E-24,-0.482501664,0.72,0.901,7.20E-20,Atp5g2,blue
Rpl24,1.92E-39,-0.482252964,0.992,0.998,3.74E-35,Rpl24,blue
Rpl39,1.59E-35,-0.481475291,0.992,0.998,3.10E-31,Rpl39,blue
Nrsn2,6.70E-23,-0.475109631,0.832,0.936,1.31E-18,Nrsn2,blue
Ndufa11,5.81E-26,-0.472131826,0.857,0.953,1.13E-21,Ndufa11,blue
Dbi,1.24E-21,-0.472020525,0.961,0.993,2.42E-17,Dbi,blue
Nenf,9.94E-22,-0.471136878,0.759,0.912,1.94E-17,Nenf,blue
Rpl19,2.51E-42,-0.466786642,0.994,0.998,4.90E-38,Rpl19,blue
Rpl27,7.33E-28,-0.464892761,0.93,0.983,1.43E-23,Rpl27,blue
Ubb,9.06E-49,-0.462326486,1,1,1.77E-44,Ubb,blue
Rps9,1.98E-26,-0.461573957,0.95,0.979,3.86E-22,Rps9,blue
Rplp1,6.28E-48,-0.456860872,1,1,1.22E-43,Rplp1,blue
Rpl30,5.14E-34,-0.455092434,0.994,0.998,1.00E-29,Rpl30,blue
Gm1673,5.42E-22,-0.45277942,0.812,0.942,1.06E-17,Gm1673,blue
Gm10076,9.46E-14,-0.450600898,0.692,0.806,1.85E-09,Gm10076,blue
Gas5,1.82E-24,-0.448971436,0.983,0.993,3.55E-20,Gas5,blue
Rps3a1,3.74E-29,-0.443790444,0.994,0.998,7.30E-25,Rps3a1,blue
Gad2,6.66E-13,-0.441679203,0.49,0.703,1.30E-08,Gad2,blue
Cox7c,9.08E-35,-0.438195047,1,1,1.77E-30,Cox7c,blue
Rpl18,1.29E-24,-0.437930713,0.916,0.968,2.53E-20,Rpl18,blue
Rpl7a,5.50E-23,-0.437778643,0.885,0.972,1.07E-18,Rpl7a,blue
Ly6h,4.04E-18,-0.436372461,0.952,0.972,7.89E-14,Ly6h,blue
Rpl13,4.17E-40,-0.436004568,0.997,1,8.14E-36,Rpl13,blue
Rps18,1.81E-22,-0.428378779,0.894,0.95,3.53E-18,Rps18,blue
Pam16,1.24E-19,-0.423689983,0.501,0.766,2.41E-15,Pam16,blue
Ndufb8,1.52E-21,-0.42342846,0.899,0.966,2.97E-17,Ndufb8,blue
Tomm6,9.56E-21,-0.42331124,0.863,0.936,1.87E-16,Tomm6,blue
Rps3,6.90E-28,-0.422121552,0.978,0.993,1.35E-23,Rps3,blue
Cox5b,1.63E-26,-0.419503027,0.986,0.996,3.17E-22,Cox5b,blue
Atp5g1,2.12E-21,-0.418861913,0.888,0.961,4.14E-17,Atp5g1,blue
Rps20,2.52E-30,-0.417308902,0.997,0.998,4.91E-26,Rps20,blue
Chchd2,4.39E-33,-0.410755146,0.997,0.998,8.57E-29,Chchd2,blue
Ndufa1,7.66E-17,-0.409304457,0.689,0.888,1.50E-12,Ndufa1,blue
Agt,4.81E-11,-0.405452437,0.697,0.832,9.38E-07,Agt,blue
Ndufb1-ps,6.64E-25,-0.40253826,0.98,0.989,1.30E-20,Ndufb1-ps,blue
Ndufa5,9.71E-23,-0.400881445,0.93,0.97,1.89E-18,Ndufa5,blue
Nnat,1.41E-16,-0.399055304,0.913,0.976,2.75E-12,Nnat,blue
Rpl6,9.62E-30,-0.397078963,0.989,1,1.88E-25,Rpl6,blue
Rps7,3.07E-28,-0.396729179,0.994,0.998,5.98E-24,Rps7,blue
Rps13,2.53E-25,-0.395884731,0.992,0.998,4.93E-21,Rps13,blue
Tomm7,3.47E-18,-0.39519096,0.818,0.935,6.78E-14,Tomm7,blue
Rnasek,1.22E-17,-0.388556088,0.807,0.927,2.39E-13,Rnasek,blue
Tppp3,4.74E-12,-0.380852044,0.465,0.66,9.24E-08,Tppp3,blue
Hap1,2.26E-12,-0.380639521,0.782,0.912,4.42E-08,Hap1,blue
Rtl8a,3.07E-18,-0.379174104,0.924,0.964,5.99E-14,Rtl8a,blue
Fkbp2,1.46E-14,-0.377018619,0.658,0.822,2.85E-10,Fkbp2,blue
Atp5j2,6.59E-26,-0.376642915,0.989,0.996,1.29E-21,Atp5j2,blue
Cox5a,5.91E-17,-0.376189784,0.888,0.964,1.15E-12,Cox5a,blue
Rps25,1.53E-20,-0.37349109,0.944,0.993,2.99E-16,Rps25,blue
Ecel1,2.80E-11,-0.373125122,0.196,0.406,5.46E-07,Ecel1,blue
Rpl3,2.81E-22,-0.3724806,0.997,0.994,5.48E-18,Rpl3,blue
Tbca,3.53E-14,-0.372170773,0.787,0.897,6.89E-10,Tbca,blue
Ndufa12,1.23E-16,-0.37150232,0.835,0.95,2.39E-12,Ndufa12,blue
Mif,2.97E-19,-0.37118742,0.952,0.985,5.79E-15,Mif,blue
Pfdn2,2.34E-13,-0.371051503,0.7,0.832,4.56E-09,Pfdn2,blue
Cst3,3.93E-19,-0.369987709,1,1,7.67E-15,Cst3,blue
Bex1,1.03E-13,-0.369660657,0.756,0.897,2.01E-09,Bex1,blue
Rpl28,4.49E-23,-0.369402516,0.992,0.998,8.76E-19,Rpl28,blue
Ndufa6,8.70E-20,-0.368662142,0.941,0.979,1.70E-15,Ndufa6,blue
Chchd10,3.62E-18,-0.367080461,0.975,0.987,7.07E-14,Chchd10,blue
Rpl14,1.78E-20,-0.365010935,0.983,1,3.48E-16,Rpl14,blue
Rpl18a,1.16E-21,-0.364302123,0.986,0.998,2.27E-17,Rpl18a,blue
Ddx3y,2.04E-25,-0.360771208,0,0.258,3.97E-21,Ddx3y,blue
Calb1,6.04E-09,-0.360281806,0.549,0.712,0.000117873,Calb1,blue
Ndufs5,1.10E-17,-0.358598907,0.922,0.955,2.15E-13,Ndufs5,blue
Rpl8,5.36E-23,-0.35639062,0.997,0.998,1.05E-18,Rpl8,blue
Atpif1,1.41E-18,-0.354393878,0.964,0.991,2.75E-14,Atpif1,blue
Atp6v1f,7.71E-16,-0.352911123,0.838,0.959,1.50E-11,Atp6v1f,blue
Gaa,3.78E-13,-0.352367195,0.955,0.991,7.38E-09,Gaa,blue
Smim26,2.43E-13,-0.352254845,0.403,0.621,4.75E-09,Smim26,blue
Ndufv3,1.63E-17,-0.349469719,0.877,0.955,3.18E-13,Ndufv3,blue
Atp5h,1.09E-20,-0.348584255,0.986,0.993,2.12E-16,Atp5h,blue
Romo1,7.37E-16,-0.346395069,0.737,0.893,1.44E-11,Romo1,blue
Pdyn,9.18E-09,-0.346259096,0.115,0.269,0.000179136,Pdyn,blue
Pcbd1,1.79E-11,-0.345708437,0.331,0.546,3.49E-07,Pcbd1,blue
Mrpl52,1.05E-13,-0.345302085,0.692,0.817,2.04E-09,Mrpl52,blue
Bex2,8.59E-18,-0.345170234,0.98,0.993,1.68E-13,Bex2,blue
Ndufa3,3.65E-19,-0.343795274,0.938,0.983,7.12E-15,Ndufa3,blue
Gnas,2.12E-25,-0.3436748,1,1,4.15E-21,Gnas,blue
Ndufb11,2.18E-14,-0.343128024,0.812,0.901,4.25E-10,Ndufb11,blue
Ndufab1,2.19E-14,-0.342934155,0.779,0.921,4.28E-10,Ndufab1,blue
Ndufb2,5.60E-14,-0.342245015,0.863,0.935,1.09E-09,Ndufb2,blue
Drap1,1.02E-12,-0.338440414,0.622,0.789,1.99E-08,Drap1,blue
Smdt1,1.06E-15,-0.335517337,0.874,0.957,2.07E-11,Smdt1,blue
Eno1,1.24E-13,-0.334121059,0.779,0.867,2.42E-09,Eno1,blue
Ndufa7,1.96E-14,-0.334082533,0.854,0.942,3.82E-10,Ndufa7,blue
Grcc10,7.39E-15,-0.332499175,0.896,0.961,1.44E-10,Grcc10,blue
Ndufb3,1.56E-13,-0.332014695,0.759,0.862,3.04E-09,Ndufb3,blue
Bex3,5.74E-13,-0.331851673,0.888,0.944,1.12E-08,Bex3,blue
Dlk1,5.18E-07,-0.331632331,0.255,0.396,0.010110969,Dlk1,blue
Atp5l,6.22E-21,-0.328102395,0.983,0.989,1.21E-16,Atp5l,blue
Podxl2,1.23E-13,-0.326081214,0.88,0.951,2.39E-09,Podxl2,blue
Gstm1,5.26E-09,-0.325733821,0.759,0.819,0.000102609,Gstm1,blue
Ssr4,6.96E-12,-0.323599579,0.482,0.695,1.36E-07,Ssr4,blue
Tle5,2.75E-17,-0.323147018,0.961,0.993,5.36E-13,Tle5,blue
Tceal9,7.49E-11,-0.322828362,0.543,0.718,1.46E-06,Tceal9,blue
Arhgdig,1.60E-11,-0.321202728,0.546,0.744,3.13E-07,Arhgdig,blue
Rpl22,6.04E-11,-0.321037306,0.748,0.862,1.18E-06,Rpl22,blue
Ngb,3.56E-08,-0.320460763,0.347,0.508,0.000694563,Ngb,blue
Ndufb6,2.22E-13,-0.319163375,0.782,0.905,4.33E-09,Ndufb6,blue
Tmem158,2.97E-10,-0.317562127,0.328,0.529,5.79E-06,Tmem158,blue
Itih3,1.71E-10,-0.317153907,0.479,0.693,3.33E-06,Itih3,blue
Psmb1,1.34E-12,-0.317094262,0.768,0.886,2.61E-08,Psmb1,blue
Uqcrb,1.27E-14,-0.316486613,0.877,0.944,2.48E-10,Uqcrb,blue
Vstm2l,1.46E-11,-0.314707203,0.583,0.787,2.85E-07,Vstm2l,blue
Nop10,2.60E-10,-0.314023465,0.675,0.807,5.07E-06,Nop10,blue
Atp5md,8.98E-24,-0.313955832,1,0.996,1.75E-19,Atp5md,blue
Rps6,8.59E-15,-0.313518231,0.961,0.985,1.68E-10,Rps6,blue
Gm11808,8.06E-12,-0.312460021,0.311,0.533,1.57E-07,Gm11808,blue
Trmt112,1.47E-10,-0.312382958,0.577,0.761,2.86E-06,Trmt112,blue
Cited1,3.43E-12,-0.312145215,0.045,0.209,6.68E-08,Cited1,blue
Fezf1,3.90E-13,-0.311900293,0.014,0.166,7.62E-09,Fezf1,blue
Atp5k,2.13E-17,-0.311695999,0.989,0.994,4.16E-13,Atp5k,blue
Micos13,9.08E-12,-0.311687804,0.647,0.821,1.77E-07,Micos13,blue
Rpl12,5.98E-14,-0.311415623,0.922,0.987,1.17E-09,Rpl12,blue
Hspe1,6.18E-13,-0.308369572,0.798,0.92,1.21E-08,Hspe1,blue
Timm8b,6.92E-13,-0.308177724,0.871,0.927,1.35E-08,Timm8b,blue
Cox6b1,1.45E-14,-0.30816701,0.966,0.989,2.82E-10,Cox6b1,blue
Ubl5,4.33E-14,-0.307637519,0.927,0.961,8.45E-10,Ubl5,blue
Cox17,4.13E-13,-0.307156113,0.852,0.923,8.05E-09,Cox17,blue
Ndufa8,1.96E-12,-0.304739827,0.658,0.836,3.83E-08,Ndufa8,blue
Rpl29,1.09E-14,-0.301812598,0.947,0.976,2.12E-10,Rpl29,blue
Ndufb10,1.12E-11,-0.301093868,0.807,0.929,2.18E-07,Ndufb10,blue
Rpl15,5.90E-15,-0.299486961,0.95,0.979,1.15E-10,Rpl15,blue
Ftl1,2.44E-12,-0.299228977,0.874,0.955,4.76E-08,Ftl1,blue
Dynlrb1,1.23E-12,-0.295336417,0.891,0.953,2.41E-08,Dynlrb1,blue
Rpl10a,5.06E-15,-0.294806119,0.955,0.989,9.87E-11,Rpl10a,blue
Cox6c,4.50E-20,-0.293651632,1,1,8.78E-16,Cox6c,blue
Eif1b,2.60E-10,-0.293293935,0.695,0.832,5.07E-06,Eif1b,blue
Serp2,4.84E-10,-0.293236952,0.709,0.847,9.45E-06,Serp2,blue
Ndufb9,6.76E-12,-0.292373498,0.871,0.972,1.32E-07,Ndufb9,blue
Uqcrh,1.72E-13,-0.292049312,0.983,0.993,3.35E-09,Uqcrh,blue
2010204K13Rik,7.54E-08,-0.290424223,0.493,0.652,0.001471415,2010204K13Rik,blue
Hint1,6.25E-15,-0.29010121,0.972,0.993,1.22E-10,Hint1,blue
Pnck,6.64E-09,-0.28947307,0.664,0.822,0.000129509,Pnck,blue
Micos10,2.18E-11,-0.286147298,0.804,0.903,4.25E-07,Micos10,blue
Nme2,1.73E-08,-0.285367114,0.779,0.895,0.000336924,Nme2,blue
Otp,7.95E-12,-0.285321427,0.05,0.217,1.55E-07,Otp,blue
Gapdh,1.97E-25,-0.284915682,1,1,3.84E-21,Gapdh,blue
Vat1,1.71E-08,-0.283658799,0.476,0.652,0.000333858,Vat1,blue
Ndufc1,2.09E-13,-0.283118652,0.958,0.979,4.09E-09,Ndufc1,blue
2410006H16Rik,2.31E-08,-0.282827301,0.569,0.703,0.000450454,2410006H16Rik,blue
Ndufa4,1.95E-14,-0.282290715,0.997,1,3.81E-10,Ndufa4,blue
Arhgap36,3.63E-09,-0.281999503,0.134,0.301,7.09E-05,Arhgap36,blue
Pfdn5,2.95E-13,-0.279988869,0.961,0.991,5.75E-09,Pfdn5,blue
Lamtor2,1.15E-09,-0.279918368,0.557,0.727,2.25E-05,Lamtor2,blue
Sem1,3.28E-09,-0.279596572,0.77,0.847,6.40E-05,Sem1,blue
Rpsa,1.86E-19,-0.278361626,0.997,1,3.63E-15,Rpsa,blue
Churc1,1.60E-10,-0.27740877,0.305,0.52,3.13E-06,Churc1,blue
Gng3,2.67E-11,-0.277321145,0.902,0.968,5.21E-07,Gng3,blue
Rps4x,4.25E-13,-0.276707288,0.975,0.996,8.29E-09,Rps4x,blue
Tma7,1.75E-09,-0.275504243,0.832,0.907,3.42E-05,Tma7,blue
Selenom,1.41E-10,-0.275390171,0.86,0.938,2.75E-06,Selenom,blue
Bola2,5.96E-09,-0.275245808,0.697,0.8,0.000116359,Bola2,blue
Pnmal2,1.81E-10,-0.274011072,0.908,0.968,3.54E-06,Pnmal2,blue
Rbis,1.46E-10,-0.272886211,0.527,0.733,2.84E-06,Rbis,blue
Cox8a,1.63E-16,-0.272055612,1,1,3.18E-12,Cox8a,blue
Bmyc,6.69E-09,-0.269447842,0.392,0.572,0.000130584,Bmyc,blue
Rpl23a,6.31E-11,-0.269398419,0.933,0.993,1.23E-06,Rpl23a,blue
