"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","color"
"145","Ndufb8",6.2075545597105e-19,-0.31849522427157,0.935,0.975,1.21115597014511e-14,"blue"
"146","Ndufb9",1.29746999550953e-15,-0.270762460303609,0.925,0.967,2.53149370823865e-11,"blue"
"147","Ndufc1",1.09885424585511e-10,-0.215749674000798,0.962,0.971,2.14397451908791e-06,"blue"
"148","Ndufc2",6.37578260754156e-09,-0.232862050818347,0.813,0.856,0.000124397894455743,"blue"
"149","Ndufv3",5.70818524153301e-19,-0.316561208601243,0.796,0.909,1.11372402247551e-14,"blue"
"150","Neat1",2.94404485610613e-08,0.299180110518882,0.365,0.243,0.000574412591874868,"red"
"151","Nenf",8.96531174261758e-07,-0.208849650336274,0.674,0.768,0.0174922197410212,"blue"
"152","Ngb",1.29158801224719e-06,-0.143842292275552,0.112,0.213,0.025200173706955,"blue"
"153","Nnat",2.35647789632707e-10,-0.288969131691092,0.726,0.863,4.59772402352375e-06,"blue"
"154","Nop10",1.25871163859051e-08,-0.187002762037721,0.447,0.629,0.000245587227805395,"blue"
"155","Nptn",3.12422282520822e-16,0.338787241643705,0.934,0.853,6.09567115426375e-12,"red"
"156","Nptxr",7.06700173037325e-17,0.349205702871185,0.613,0.412,1.37884270761312e-12,"red"
"157","Nrgn",2.38955370512179e-20,0.392737697047731,0.949,0.788,4.66225823406312e-16,"red"
"158","Nrsn1",2.76915756449755e-07,0.246306355792776,0.719,0.655,0.00540290332409117,"red"
"159","Nsf",9.0728963294436e-17,0.348674191688046,0.955,0.876,1.77021280283774e-12,"red"
"160","Nupr1",8.72816204914868e-07,0.160035767129571,0.145,0.064,0.017029516974094,"red"
"161","Olfm1",1.56244223784397e-16,0.350779775176776,0.932,0.809,3.04848105025737e-12,"red"
"162","Otp",6.47881218035467e-16,-0.196607044094818,0.021,0.153,1.264081044509e-11,"blue"
"163","Oxt",2.74177940739464e-71,-1.95106006498987,0.002,0.433,5.34948580176768e-67,"blue"
"164","Pabpn1",6.2839764723539e-08,-0.177360955150174,0.112,0.227,0.00122606664952097,"blue"
"165","Pam16",7.83902899618885e-09,-0.192866028741982,0.353,0.524,0.000152947294744641,"blue"
"166","Pcbd1",4.82775384785912e-19,-0.307197906154728,0.183,0.42,9.41943053255794e-15,"blue"
"167","Pcsk1n",1.5419798317723e-08,-0.135197306103517,1,1,0.000300855684977094,"blue"
"168","Pdyn",1.5141546584181e-06,-0.137462473371042,0.082,0.173,0.0295426715403956,"blue"
"169","Pfdn2",1.75411046064782e-19,-0.412625377026546,0.562,0.761,3.42244491976997e-15,"blue"
"170","Pfdn5",3.05264727497545e-28,-0.396889827188369,0.944,0.993,5.95602009820461e-24,"blue"
"171","Pin4",9.37518029123103e-07,-0.162545208021185,0.269,0.4,0.0182919142662209,"blue"
"172","Pitx2",2.8726747112382e-35,0.353308509527138,0.188,0,5.60487562909685e-31,"red"
"173","Pja2",6.81658179585647e-09,0.244899159746981,0.838,0.748,0.000132998327418956,"red"
"174","Pmch",4.87587598420692e-13,-1.6624634256709,0.162,0.323,9.51332163278613e-09,"blue"
"175","Pnisr",2.21128488791466e-10,0.259954139983656,0.262,0.129,4.3144379448103e-06,"red"
"176","Pomp",5.16470719434798e-07,-0.202407996988463,0.613,0.736,0.0100768602068924,"blue"
"177","Ppia",1.42066359003637e-38,-0.329000520994353,1,1,2.77185673051996e-34,"blue"
"178","Ppp3ca",1.54338083375232e-28,0.466541809983819,0.951,0.783,3.01129034473414e-24,"red"
"179","Ppp3r1",1.94895399052405e-10,0.273098011472939,0.808,0.685,3.80260413091148e-06,"red"
"180","Prkcb",3.07331393996027e-13,0.35457259999713,0.618,0.468,5.99634282825648e-09,"red"
"181","Prxl2b",5.09374439648655e-12,-0.30210652242705,0.407,0.6,9.9384046919849e-08,"blue"
"182","Psap",1.06844854700452e-29,0.345626912769721,1,0.999,2.08464996006053e-25,"red"
"183","Psenen",3.83413663208307e-07,-0.164564574690681,0.318,0.471,0.00748078398285727,"blue"
"184","Psmb3",1.07470109683614e-12,-0.283637280154088,0.419,0.623,2.09684931003699e-08,"blue"
"185","Ptn",1.0752697002722e-06,0.235183371518509,0.686,0.599,0.0209795871220109,"red"
"186","Rab3b",2.75096873641343e-22,-0.491821855677761,0.126,0.352,5.36741510161624e-18,"blue"
"187","Rab6a",1.95907361283293e-09,0.268028839545007,0.888,0.785,3.82234852599833e-05,"red"
"188","Rab6b",7.01235850315847e-11,0.26552684361675,0.941,0.839,1.36818126755125e-06,"red"
"189","Rbis",1.53325283092858e-07,-0.184534211794243,0.394,0.563,0.00299152959842475,"blue"
"190","Rgs4",1.18501186320167e-08,0.310065898257049,0.483,0.36,0.000231207664629277,"red"
"191","Rnf5",1.02407142361967e-06,-0.142159260072441,0.216,0.345,0.0199806575462434,"blue"
"192","Romo1",9.93477236373235e-10,-0.2208045350004,0.637,0.775,1.93837343588782e-05,"blue"
"193","Rpl10",9.0516077865589e-47,-0.62025767367837,0.888,0.96,1.76605919523551e-42,"blue"
"194","Rpl10a",1.2316449568097e-11,-0.232932253169071,0.939,0.975,2.40306247523141e-07,"blue"
"195","Rpl11",5.42028795714395e-39,-0.456408777229635,0.995,1,1.05755238331836e-34,"blue"
"196","Rpl12",1.68844052730825e-08,-0.197686340203275,0.944,0.98,0.000329431631283112,"blue"
"197","Rpl13",2.40801480176987e-38,-0.356503969586829,1,1,4.69827767973319e-34,"blue"
"198","Rpl13a",1.85174409491484e-12,-0.196107997066116,1,1,3.61293790358834e-08,"blue"
